strategy,baseline,mse,mae,sd_error,r2,pearson_r
subject_loo,MeanEstimator,12.700756897574607,3.103901931268576,3.216928603894393,-0.6297919637731195,0.26107238764107055
subject_loo,SVM,14.68723540727602,2.7996196045869426,3.281633394358446,-0.5007674264580865,0.2699242128040644
subject_loo,GaussianNB,18.86446890927154,3.7429907077275497,3.8806012234432536,-2.0684469613761416,0.0011151851752466448
subject_loo,MLP,13.9244133838669,3.05526025266639,3.36361185557884,-1.027457117121845,0.2614295339060782
subject_loo,LightGBM,13.067593409681825,3.037313151960325,3.2699852553946704,-0.7352054185969509,0.2721457214067609
recording_loo,MeanEstimator,13.790391636553329,3.2619797793571954,3.2170157912005037,-1.2702775950677438,0.07154320746297312
recording_loo,SVM,16.50387341441909,3.05951504585581,3.4086851042506914,-1.281677741766146,0.052118552277648625
recording_loo,GaussianNB,19.53744037842853,3.7890649419619202,3.777552392742284,-2.5449083336346927,-0.0273126384481167
recording_loo,MLP,15.26057815867801,3.2298076563817233,3.454617290982494,-1.6539758725089606,0.04836369581146698
recording_loo,LightGBM,14.845333429311697,3.262377002261773,3.3679764748399115,-1.5904048939768909,0.055553573856168034
combined_loo,MeanEstimator,13.694029943135492,3.2436785948333293,2.5944686513462853,-4.429577513726376,0.08250550120503876
combined_loo,SVM,17.035838122995806,3.088144600619064,2.806290150751789,-3.2391425922036103,0.007860020185591687
combined_loo,GaussianNB,19.74625135136854,3.8349669153184776,3.180721723706057,-10.155221265340405,-0.01883125986591004
combined_loo,MLP,16.42262094761189,3.3535168334370895,2.907221456812783,-5.4676614929257035,-0.0330289867147537
combined_loo,LightGBM,15.44799951521087,3.334822178445218,2.8230770903424314,-5.2698071488751985,-0.01213198960667939
