config,strategy,run_dir,timestamp,mse,mae,sd_error,r2,pearson_r,window_length,kt,ks,hidden_channels,use_preprocess_mlp,add_self_loops
config_0045,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-22-49,2025-12-30_23-22-49,12.313338994979858,2.946982884407044,3.2711284,-0.3822173237800598,0.3117824,30,2,1,512,False,True
config_0009,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_20-59-26,2025-12-30_20-59-26,12.449597120285034,2.9593979835510256,3.299876,-0.2724420189857482,0.32236895,5,2,6,64,False,True
config_0006,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_20-26-42,2025-12-30_20-26-42,12.584031343460085,2.949588191509247,3.293742,-0.2527156591415405,0.32285792,5,13,1,128,False,False
config_0039,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-05-40,2025-12-30_23-05-40,12.592048025131223,3.009156119823456,3.3131225,-0.2907257139682769,0.32499096,10,9,4,64,True,False
config_0021,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-55-39,2025-12-30_21-55-39,12.602679872512818,2.9993283987045287,3.3047523,-0.3494765102863312,0.31574816,5,22,6,32,False,False
config_0026,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-14-49,2025-12-30_22-14-49,12.617567014694211,2.986819338798523,3.3182762,-0.2997135043144226,0.31561074,5,8,5,32,True,False
config_0011,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-09-45,2025-12-30_21-09-45,12.618467903137208,2.9596814632415773,3.3139408,-0.3560763239860535,0.26388392,30,6,3,128,True,False
config_0033,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-46-30,2025-12-30_22-46-30,12.650827264785766,2.998089301586151,3.3063798,-0.3329030990600586,0.31766433,5,28,3,32,True,False
config_0027,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-19-05,2025-12-30_22-19-05,12.697659063339234,2.985238265991211,3.2980778,-0.4220944225788116,0.3206615,5,25,5,64,True,False
config_0002,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_20-08-39,2025-12-30_20-08-39,12.71375494003296,2.9758292198181158,3.2979283,-0.3670187413692474,0.32236248,5,1,1,64,True,True
config_0003,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_20-13-10,2025-12-30_20-13-10,12.714388751983645,3.00296802520752,3.3074539,-0.5524281740188599,0.3432666,10,23,6,512,False,True
config_0008,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_20-45-48,2025-12-30_20-45-48,12.714973402023316,2.985772442817688,3.3228881,-0.4841516196727752,0.32395512,5,18,3,512,False,True
config_0041,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-13-28,2025-12-30_23-13-28,12.739516925811769,2.9999488830566405,3.3158119,-0.4035257041454315,0.32951003,10,6,4,256,False,True
config_0046,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-25-23,2025-12-30_23-25-23,12.771835565567017,2.991092801094055,3.310144,-0.384704041481018,0.31728593,5,17,1,64,True,True
config_0012,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-11-01,2025-12-30_21-11-01,12.777378177642822,2.997814440727234,3.3116531,-0.4000373780727386,0.3161071,5,20,6,64,True,True
config_0031,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-36-05,2025-12-30_22-36-05,12.78125319480896,2.9979196071624754,3.3120952,-0.4026955306529999,0.31604597,5,19,5,64,True,True
config_0007,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_20-30-40,2025-12-30_20-30-40,12.792155218124387,2.9795854091644287,3.3051643,-0.3981129467487335,0.31485787,5,24,4,512,True,False
config_0024,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-11-52,2025-12-30_22-11-52,12.809710550308228,2.9973705887794493,3.310262,-0.3500339865684509,0.3324294,10,5,3,64,True,False
config_0017,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-37-07,2025-12-30_21-37-07,12.826500606536865,2.990047001838684,3.3115833,-0.4527130722999573,0.3404023,10,8,6,512,False,False
config_0044,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-20-16,2025-12-30_23-20-16,12.829694890975953,3.005306363105774,3.3109875,-0.377596378326416,0.33206254,10,7,3,64,True,True
config_0022,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-59-59,2025-12-30_21-59-59,12.838527297973632,2.9955461859703063,3.3107414,-0.3554585039615631,0.325478,5,10,4,64,False,True
config_0019,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-43-58,2025-12-30_21-43-58,12.853092002868651,2.9879117012023926,3.2983887,-0.3193900406360626,0.31969157,5,28,1,64,True,False
config_0032,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-41-14,2025-12-30_22-41-14,12.879578113555908,3.02795832157135,3.3147006,-0.4211753368377685,0.31587735,5,23,6,32,True,True
config_0038,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-02-35,2025-12-30_23-02-35,12.891976356506348,2.996202063560486,3.326137,-0.3849739015102386,0.32706356,10,7,5,256,True,False
config_0036,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-54-27,2025-12-30_22-54-27,12.946147346496582,3.0507157325744627,3.3588367,-0.4741028130054474,0.19398555,60,12,4,256,False,True
config_0047,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-30-16,2025-12-30_23-30-16,12.948149871826171,3.01626205444336,3.3030734,-0.4965180397033691,0.33690792,10,13,1,512,True,True
config_0040,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-08-08,2025-12-30_23-08-08,12.979663562774656,3.073395347595215,3.0897274,-1.7474813401699063,0.028329868,5,2,6,512,True,True
config_0013,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-16-08,2025-12-30_21-16-08,13.018136692047118,2.954240775108337,3.3316517,-0.4114673495292663,0.22226067,60,13,3,512,True,False
config_0014,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-22-39,2025-12-30_21-22-39,13.020265007019043,2.9932788610458374,3.3331158,-0.3922927260398864,0.30654836,5,8,1,128,False,False
config_0016,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-30-46,2025-12-30_21-30-46,13.029724740982056,3.105339884757996,3.3357453,-0.6005622863769531,0.21621077,60,29,6,256,True,False
config_0028,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-23-41,2025-12-30_22-23-41,13.060075044631958,3.0308213949203493,3.3220057,-0.4546218872070312,0.3287534,10,9,5,512,False,True
config_0023,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-04-24,2025-12-30_22-04-24,13.068461751937866,3.0703293323516845,3.2881737,-0.6502323687076569,0.31194603,30,17,2,512,True,False
config_0001,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_19-58-42,2025-12-30_19-58-42,13.074989700317383,3.027054786682129,3.3425968,-0.645346337556839,0.3194639,10,24,1,512,True,False
config_0020,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-48-24,2025-12-30_21-48-24,13.080454349517822,3.0201634645462034,3.3414924,-0.5535641252994538,0.31976044,5,13,4,512,False,False
config_0048,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-37-17,2025-12-30_23-37-17,13.080622005462647,3.020342206954956,3.3414798,-0.5547164261341095,0.31982428,5,14,6,512,False,False
config_0032,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-41-14,2025-12-30_22-41-14,13.08682107925415,3.0600499153137206,3.0543647,-1.865408706665039,0.07788308,5,23,6,32,True,True
config_0037,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-57-54,2025-12-30_22-57-54,13.097451400756835,3.020960962772369,3.31722,-0.373783653974533,0.3258275,5,2,4,128,True,True
config_0015,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-26-29,2025-12-30_21-26-29,13.167195796966553,3.0496907472610477,3.329909,-0.691496604681015,0.3240398,5,7,5,128,True,False
config_0049,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-45-16,2025-12-30_23-45-16,13.182703638076784,3.068476343154907,3.340638,-0.4477038204669952,0.3201957,10,22,6,128,True,False
config_0028,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-23-41,2025-12-30_22-23-41,13.184080171585084,3.0963101148605348,3.110854,-1.9172168850898743,0.056336395,10,9,5,512,False,True
config_0000,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_19-54-10,2025-12-30_19-54-10,13.215916538238526,3.0173911690711974,3.334662,-0.3324125468730926,0.3146412,5,1,6,128,True,True
config_0040,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-08-08,2025-12-30_23-08-08,13.261207485198977,3.0506932735443115,3.3512394,-0.3772140264511108,0.30971757,5,2,6,512,True,True
config_0029,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-30-06,2025-12-30_22-30-06,13.27838201522827,3.0400736331939697,3.3318868,-0.4134909570217132,0.3365284,10,23,3,256,False,False
config_0002,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_20-08-39,2025-12-30_20-08-39,13.287202644348143,3.0938677549362184,3.0833318,-1.939120000600815,0.04648616,5,1,1,64,True,True
config_0010,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-03-54,2025-12-30_21-03-54,13.310396337509156,3.040117585659027,3.3335223,-0.4098957240581512,0.33530658,10,28,1,256,False,False
config_0026,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-14-49,2025-12-30_22-14-49,13.339487266540528,3.127448296546936,3.0707746,-2.066758692264557,0.07047638,5,8,5,32,True,False
config_0005,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_20-25-24,2025-12-30_20-25-24,13.341392946243284,3.078425097465515,3.4250748,-0.5382980823516845,0.16392763,30,9,2,64,False,True
config_0041,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-13-28,2025-12-30_23-13-28,13.342630434036256,3.116249084472656,3.097212,-2.102541178464889,0.043711536,10,6,4,256,False,True
config_0048,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-37-17,2025-12-30_23-37-17,13.410351371765136,3.130788564682007,3.1107178,-2.269073688983917,0.052386206,5,14,6,512,False,False
config_0020,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-48-24,2025-12-30_21-48-24,13.412985181808471,3.130996298789978,3.11092,-2.267520433664322,0.0523251,5,13,4,512,False,False
config_0014,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-22-39,2025-12-30_21-22-39,13.416989040374755,3.1071527004241943,3.1069348,-1.9161917448043824,0.032269858,5,8,1,128,False,False
config_0006,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_20-26-42,2025-12-30_20-26-42,13.446458625793458,3.098175859451294,3.102587,-1.8151773810386655,0.049542032,5,13,1,128,False,False
config_0003,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_20-13-10,2025-12-30_20-13-10,13.450962734222411,3.101037549972534,3.1006937,-1.7566278457641602,0.052818578,10,23,6,512,False,True
config_0025,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-14-09,2025-12-30_22-14-09,13.456598949432372,3.085475397109985,3.4262002,-0.6104213297367096,0.1352621,60,1,1,128,False,True
config_0043,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-18-42,2025-12-30_23-18-42,13.458915519714356,3.087417149543762,3.4263625,-0.6101958155632019,0.13438436,60,9,4,128,False,False
