model,metric_type,accuracy,precision,recall,f1,auc
Mean,aggregated,0.5698287192695087,0.5698287192695087,1.0,0.703930637004361,0.4791666666666667
Mean,emotion_emotion-anger,0.5698287192695087,0.5698287192695087,1.0,0.703930637004361,0.4791666666666667
SVM,aggregated,0.5355968955968956,0.5625589508505041,0.8123405342904061,0.6266950855987248,0.5116113573117628
SVM,emotion_emotion-anger,0.5355968955968956,0.5625589508505041,0.8123405342904061,0.6266950855987248,0.5116113573117628
LightGBM,aggregated,0.5458538596696492,0.5781304347044595,0.7387659966643062,0.6180567591740544,0.5125383360574468
LightGBM,emotion_emotion-anger,0.5458538596696492,0.5781304347044595,0.7387659966643062,0.6180567591740544,0.5125383360574468
MLP,aggregated,0.5263701201201201,0.5860348665007123,0.6299950488427221,0.569653494087638,0.5156935131738056
MLP,emotion_emotion-anger,0.5263701201201201,0.5860348665007123,0.6299950488427221,0.569653494087638,0.5156935131738056
GNN,aggregated,0.5699498079761237,0.5699498079761237,1.0,0.7040221814711004,0.5584241093023691
GNN,emotion_emotion-anger,0.5699498079761237,0.5699498079761237,1.0,0.7040221814711004,0.5584241093023691
