model,metric_type,accuracy,precision,recall,f1,auc
Mean,aggregated,0.40450271759876555,0.3966608624745271,0.75,0.46188696468419393,0.4
Mean,emotion_emotion-valence,0.40450271759876555,0.3966608624745271,0.75,0.46188696468419393,0.4
SVM,aggregated,0.5918705543364646,0.547792679645828,0.5807773207092115,0.5205502733658809,0.43484191057948457
SVM,emotion_emotion-valence,0.5918705543364646,0.547792679645828,0.5807773207092115,0.5205502733658809,0.43484191057948457
LightGBM,aggregated,0.5991535875297378,0.550611093223169,0.5749482231816808,0.5197665025007107,0.44289495871294554
LightGBM,emotion_emotion-valence,0.5991535875297378,0.550611093223169,0.5749482231816808,0.5197665025007107,0.44289495871294554
MLP,aggregated,0.5915425577615044,0.5500138283043072,0.5624542838023128,0.5137563177689194,0.4254372746564828
MLP,emotion_emotion-valence,0.5915425577615044,0.5500138283043072,0.5624542838023128,0.5137563177689194,0.4254372746564828
GNN,aggregated,0.5981158004813586,0.5516968887492861,0.5817841890825711,0.5300027937250695,0.4301923614942858
GNN,emotion_emotion-valence,0.5981158004813586,0.5516968887492861,0.5817841890825711,0.5300027937250695,0.4301923614942858
