epoch,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,is_best_epoch,best_epoch,best_val_loss
1,1.0578452769447775,1.3748703598976135,0.43609022556390975,0.14163614163614163,3.178,1,1,1.3748703598976135
2,0.9837049035465016,1.6666940450668335,0.36466165413533835,0.1430678466076696,3.177,0,1,1.3748703598976135
3,0.9612899913507349,1.8184911608695984,0.31203007518796994,0.13662551440329218,3.176,0,1,1.3748703598976135
4,0.9506557303316453,1.8451579809188843,0.30451127819548873,0.13138686131386862,3.178,0,1,1.3748703598976135
5,0.9456913891960593,1.8602979183197021,0.2781954887218045,0.12553011026293467,3.177,0,1,1.3748703598976135
6,0.9375618626089657,1.8577472567558289,0.2819548872180451,0.1278772378516624,3.176,0,1,1.3748703598976135
7,0.9329579402418697,1.8727420568466187,0.3007518796992481,0.13104013104013104,3.181,0,1,1.3748703598976135
8,0.9302171784288743,1.900378942489624,0.2857142857142857,0.12859560067681894,3.173,0,1,1.3748703598976135
9,0.9228334602187661,1.891660451889038,0.2857142857142857,0.12958226768968456,3.178,0,1,1.3748703598976135
10,0.918803400853101,1.905261754989624,0.2894736842105263,0.1273779983457403,3.179,0,1,1.3748703598976135
11,0.9131012173259959,1.9281827211380005,0.2744360902255639,0.12289562289562289,3.179,0,1,1.3748703598976135
12,0.9089049837168526,1.9063324332237244,0.3082706766917293,0.13078149920255183,3.18,0,1,1.3748703598976135
13,0.9056310303070966,1.9431788325309753,0.2781954887218045,0.12457912457912458,3.175,0,1,1.3748703598976135
14,0.9009684078833636,1.8997920155525208,0.2819548872180451,0.12254901960784315,3.179,0,1,1.3748703598976135
15,0.8969489967121798,1.9147921800613403,0.3007518796992481,0.12944983818770225,3.178,0,1,1.3748703598976135
16,0.8920792060739854,1.923545002937317,0.2932330827067669,0.12682926829268293,3.179,0,1,1.3748703598976135
17,0.8889285290942472,1.933823585510254,0.2781954887218045,0.12241521918941274,3.189,0,1,1.3748703598976135
18,0.8875680039910709,1.913313627243042,0.2932330827067669,0.12470023980815348,3.178,0,1,1.3748703598976135
19,0.8833028779310339,1.9262019991874695,0.2819548872180451,0.12376237623762376,3.179,0,1,1.3748703598976135
20,0.8828556958366843,1.9299482107162476,0.2932330827067669,0.1223529411764706,3.18,0,1,1.3748703598976135
21,0.8778143630308264,1.9250208139419556,0.29699248120300753,0.12690763052208834,3.179,0,1,1.3748703598976135
