model,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,loss,suite_experiment_id,experiment_id,scope,task_type,experiment_group,strategy,trainer_run_dir,label_entropy,f1_comparable,auc_comparable
Random,aggregated,0.3258039963634279,0.3116287673635798,0.3267681200598753,0.229507682001441,0.2267036701939264,0.4848093816503653,0.7119948539507999,0.3258039963634279,0.4261318233308821,0.4822980916854177,24.300487071404568,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_19-25-13,1.4910515041395802,0.2267036701939264,0.4848093816503653
Majority,aggregated,0.3566947136673036,0.4035087719298245,0.1188982378891011,0.2833333333333332,0.1473531310245745,0.5,0.2415144137319151,0.3566947136673036,0.2713300342608835,0.5,23.18707276396247,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_19-25-13,1.4910515041395802,0.1473531310245745,0.5
SVM,aggregated,0.3936735747636579,0.3725849379901392,0.3040097730591364,0.2654995558793013,0.2134882270029789,0.492943831023117,0.6885001894911934,0.3936735747636579,0.4260029171220892,0.5075523946844223,1.1228741691714843,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_19-25-13,1.4910515041395802,0.2134882270029789,0.492943831023117
LightGBM,aggregated,0.3737728371268157,0.3467761328695234,0.3209565985730384,0.2505494486089627,0.2165598258927474,0.4910609613658162,0.683752090290091,0.3737728371268157,0.4270228902326618,0.502485461225406,1.1451088214963794,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_19-25-13,1.4910515041395802,0.2165598258927474,0.4910609613658162
MLP,aggregated,0.3912208837419521,0.3645508750621807,0.3281672748163485,0.2668669463314962,0.2355049295357434,0.4939219585382268,0.7069311648050641,0.3912208837419521,0.4532309077687406,0.4979602387544525,1.2269132901499806,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_19-25-13,1.4910515041395802,0.2355049295357434,0.4939219585382268
GazeMAE_MLP,aggregated,0.4650804864976144,0.3967536229402278,0.3337460589728199,0.2891806834188949,0.2550950449033196,0.5303866855228082,0.6933251988618372,0.4650804864976144,0.5028821277284974,0.5234520191971618,1.113267215774417,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_19-25-13,1.4910515041395802,0.2550950449033196,0.5303866855228082
Random,aggregated,0.3147705448910601,0.3266228459078397,0.3231804880045414,0.3266228459078397,0.3036829408777459,0.4938101627593406,0.3778750200197018,0.3147705448910601,0.3285344292574205,0.4914962194162621,24.698172971960236,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_19-25-13,1.4910515041395802,0.3036829408777459,0.4938101627593406
Majority,aggregated,0.4709208058698305,0.3333333333333332,0.1569736019566101,0.3333333333333332,0.211996557997266,0.5,0.2283503146121075,0.4709208058698305,0.3058519377478629,0.5,19.069947088621248,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_19-25-13,1.4910515041395802,0.211996557997266,0.5
SVM,aggregated,0.4851068745350755,0.3833765624065273,0.4192659814544715,0.3833765624065273,0.3368025811489609,0.6125285490116558,0.463406530287443,0.4851068745350755,0.4209283134301111,0.6024853421924216,1.0161671330984925,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_19-25-13,1.4910515041395802,0.3368025811489609,0.6125285490116558
LightGBM,aggregated,0.4701733020570021,0.3867069615186195,0.4253184593950611,0.3867069615186195,0.3540853593714785,0.6063757998672935,0.4737655314973507,0.4701733020570021,0.4297707059071283,0.5953022383321479,1.0354729821032207,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_19-25-13,1.4910515041395802,0.3540853593714785,0.6063757998672935
