model,fold_id,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,loss
Random,s_P1,aggregated,0.3125,0.3186182510539916,0.3159663865546219,0.3186182510539916,0.3043876262626262,0.48791855177833715,0.34864145658263307,0.3125,0.3212851167929293,0.485828278754024,24.780011705018037
Random,s_P10,aggregated,0.30131004366812225,0.3305764411027569,0.3102293410993811,0.3305764411027569,0.29596732303914625,0.4914650736594539,0.3556646949510622,0.30131004366812225,0.30901490927064523,0.47853055932422633,25.183338612483592
Random,s_P13,aggregated,0.2627118644067797,0.27447478991596636,0.27357411681533694,0.27447478991596636,0.25118738700086646,0.45418216403559214,0.3318165862962544,0.2627118644067797,0.27900007819991146,0.450834307232827,26.574558007230433
Random,s_P14,aggregated,0.3456221198156682,0.36317486695550677,0.35746417325364693,0.36317486695550677,0.33150489961458046,0.5212200076887653,0.42499860072016277,0.3456221198156682,0.3644028922312322,0.5188977226330355,23.586169498869282
Random,s_P16,aggregated,0.32124352331606215,0.3532136351808483,0.3382149961433849,0.3532136351808483,0.2993107355301671,0.5097145331088831,0.47168274834150825,0.32124352331606215,0.3481282132693562,0.4993231465553771,24.46486318121423
Random,s_P17,aggregated,0.3179916317991632,0.3306100217864924,0.3204481792717087,0.3306100217864924,0.3171018354129784,0.49524896026165593,0.3322703139833339,0.3179916317991632,0.31759759941996524,0.4898318481052294,24.582073231908343
Random,s_P18,aggregated,0.3026315789473684,0.319653853672841,0.31240524761189425,0.319653853672841,0.29515343369509606,0.48724471237423606,0.36025424865403405,0.3026315789473684,0.31359288790494144,0.4822533566134464,25.135705652936952
Random,s_P19,aggregated,0.3406113537117904,0.3482750449400281,0.3468147069530397,0.3482750449400281,0.3400015602158524,0.5107285458257432,0.3607036179206216,0.3406113537117904,0.34268503076568224,0.5097730700671878,23.766775815531393
Random,s_P2,aggregated,0.3070539419087137,0.3136362566284702,0.315713891190279,0.3136362566284702,0.3030058870395005,0.4856944909614847,0.3487340444915036,0.3070539419087137,0.3140028019730938,0.4866290879417488,24.976307535197357
Random,s_P20,aggregated,0.33185840707964603,0.346631962309454,0.33638077419171947,0.346631962309454,0.32342741280341647,0.5073676024200887,0.37495451416994147,0.33185840707964603,0.34118614411791887,0.5021548637960852,24.082263990073844
Random,s_P21,aggregated,0.3515981735159817,0.3588090529553944,0.36069486069486073,0.3588090529553944,0.34121975674227617,0.5200174701391596,0.4093790532146696,0.3515981735159817,0.36533300759530574,0.521838830984387,23.37077069066043
Random,s_P22,aggregated,0.32710280373831774,0.3220181447131802,0.33443239245655115,0.3220181447131802,0.3151737363288769,0.4956561066088874,0.3776077335210249,0.32710280373831774,0.341042014061301,0.5039411027568922,24.253673308564803
Random,s_P23,aggregated,0.30833333333333335,0.3015885203385203,0.31708683473389354,0.3015885203385203,0.2902581390267503,0.48032184133991507,0.38128151260504206,0.30833333333333335,0.3303668414645566,0.4885827435119649,24.93019359413936
Random,s_P24,aggregated,0.2727272727272727,0.27601902173913045,0.28334691298982706,0.27601902173913045,0.25119787045252884,0.45653512304431265,0.37106008810137614,0.2727272727272727,0.2985146175918137,0.45557683652424213,26.213566101176106
Random,s_P27,aggregated,0.3094170403587444,0.3263736263736264,0.3135683760683761,0.3263736263736264,0.30657563023018825,0.49066600421645495,0.335526618374152,0.3094170403587444,0.3126893808455988,0.48243757308892526,24.89113283374009
Random,s_P28,aggregated,0.32547169811320753,0.35414238244884383,0.3386645575687854,0.35414238244884383,0.3116179059383927,0.5112529172023884,0.4167382692735551,0.32547169811320753,0.3434891989467366,0.5025451779338992,24.312464314357317
Random,s_P29,aggregated,0.3333333333333333,0.3480103936644762,0.3547298768011841,0.3480103936644762,0.30077442904355545,0.5141244840106464,0.5064353484344996,0.3333333333333333,0.3747407151639382,0.5203578615352248,24.02910225941143
Random,s_P30,aggregated,0.33185840707964603,0.35290876681251016,0.34520654089476643,0.35290876681251016,0.30671034078998555,0.5130362584615861,0.44906421175518174,0.33185840707964603,0.36320495559483834,0.5097456251659929,24.082263990073844
Random,s_P4,aggregated,0.3107569721115538,0.3158849245333299,0.3142175728615093,0.3158849245333299,0.3092694328649385,0.4862540537040587,0.3263808410938449,0.3107569721115538,0.3129658436073226,0.4849347743121813,24.84283679807676
Random,s_P5,aggregated,0.2872727272727273,0.27367018227673967,0.2810924369747899,0.27367018227673967,0.2746801346801347,0.4579863799367175,0.3090603514132926,0.2872727272727273,0.295287419651056,0.4634538663950428,25.689294779152583
Random,s_P7,aggregated,0.3130434782608696,0.34197235513024987,0.32172405547584887,0.34197235513024987,0.30448321867611666,0.4999434828531711,0.3811579127939617,0.3130434782608696,0.3238330100687093,0.48687191586413864,24.760422762958733
Random,s_P8,aggregated,0.3105022831050228,0.31544011544011546,0.3179945054945055,0.31544011544011546,0.30801600392243667,0.4872448170739549,0.33983767374178336,0.3105022831050228,0.31539476512640013,0.4885742780616916,24.852016720350175
Majority,s_P1,aggregated,0.3958333333333333,0.3333333333333333,0.13194444444444445,0.3333333333333333,0.1890547263681592,0.5,0.15668402777777776,0.3958333333333333,0.22450248756218905,0.5,21.77637392259161
Majority,s_P10,aggregated,0.4978165938864629,0.3333333333333333,0.16593886462882096,0.3333333333333333,0.22157434402332363,0.5,0.2478213611487195,0.4978165938864629,0.3309101557029549,0.5,18.10052462772259
Majority,s_P13,aggregated,0.5042372881355932,0.3333333333333333,0.16807909604519775,0.3333333333333333,0.22347417840375586,0.5,0.25425524274633726,0.5042372881355932,0.3380520410599188,0.5,17.869099349689435
Majority,s_P14,aggregated,0.4838709677419355,0.3333333333333333,0.16129032258064516,0.3333333333333333,0.21739130434782608,0.5,0.23413111342351717,0.4838709677419355,0.3155680224403927,0.5,18.60317594277014
Majority,s_P16,aggregated,0.6321243523316062,0.3333333333333333,0.21070811744386875,0.3333333333333333,0.2582010582010582,0.5,0.39958119681065263,0.6321243523316062,0.48964553006003786,0.5,13.25958233485657
Majority,s_P17,aggregated,0.41841004184100417,0.3333333333333333,0.1394700139470014,0.3333333333333333,0.19665683382497542,0.5,0.17506696311339084,0.41841004184100417,0.2468495822070821,0.5,20.962626866473986
