run_name,description,wrapper_config_path,suite_run_dir,runtime_seconds,error,experiment_id,experiment_display_name,cv_strategy,model,summary_model_name,status,accuracy,balanced_accuracy,macro_f1,weighted_f1,auc,loss
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,Majority,Majority,success,0.3566947136673036,0.4035087719298245,0.1473531310245745,0.2713300342608835,0.5,23.18707276396247
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GazeMAE_MLP,GazeMAE_MLP,success,0.4650804864976144,0.3967536229402278,0.2550950449033196,0.5028821277284974,0.5303866855228082,1.113267215774417
GNN_v2,Current v2 GNN with split temporal edges and learned signed edge attributes.,results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/GNN_v2.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_16-17-07,11248.939,,multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GNN_v2,GNN,success,0.397469619453509,0.3842246267118405,0.2065200239357486,0.4042838465483801,0.4908423094191697,1.1816258117556573
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,success,0.3936735747636579,0.3725849379901392,0.2134882270029789,0.4260029171220892,0.492943831023117,1.1228741691714843
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,success,0.3912208837419521,0.3645508750621807,0.2355049295357434,0.4532309077687406,0.4939219585382268,1.2269132901499806
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_valence_3class,Table-6 Valence,recording_loo,Random,Random,success,0.3350937069307161,0.3567667710952152,0.236801892070505,0.4339654395101059,0.5162883002829928,23.96565196363201
GNN_v1,Frozen v1 GNN with old graph schema and handcrafted edge attributes.,results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/GNN_v1.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41,10345.271,,multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GNN_v1,GNN,success,0.3962148310816717,0.3512765090549579,0.2153708227523365,0.4279904578880422,0.4772364542141615,1.133011257648468
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,success,0.3737728371268157,0.3467761328695234,0.2165598258927474,0.4270228902326618,0.4910609613658162,1.1451088214963794
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_valence_3class,Table-6 Valence,recording_loo,MLP,MLP,success,0.4124307518000946,0.3333262147996954,0.2464310119825773,0.5059422091995411,0.4828633727338103,1.2119545615486995
GNN_v2,Current v2 GNN with split temporal edges and learned signed edge attributes.,results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/GNN_v2.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_16-17-07,11248.939,,multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GNN_v2,GNN,success,0.406794838437657,0.3312693340710058,0.2386141641706976,0.4898199176322627,0.5200067244123041,1.1086629062891007
