experiment_id,experiment_display_name,cv_strategy,source_model,split,fold,class_index,class_name,count,total,proportion
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P1,0,Calm,95,240,0.3958333333333333
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P1,1,Medium aroused,102,240,0.425
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P1,2,Excited/Activated,43,240,0.17916666666666667
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P10,0,Calm,114,229,0.4978165938864629
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P10,1,Medium aroused,80,229,0.34934497816593885
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P10,2,Excited/Activated,35,229,0.15283842794759825
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P13,0,Calm,119,236,0.5042372881355932
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P13,1,Medium aroused,85,236,0.3601694915254237
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P13,2,Excited/Activated,32,236,0.13559322033898305
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P14,0,Calm,105,217,0.4838709677419355
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P14,1,Medium aroused,83,217,0.3824884792626728
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P14,2,Excited/Activated,29,217,0.1336405529953917
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P16,0,Calm,122,193,0.6321243523316062
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P16,1,Medium aroused,50,193,0.25906735751295334
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P16,2,Excited/Activated,21,193,0.10880829015544041
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P17,0,Calm,100,239,0.41841004184100417
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P17,1,Medium aroused,85,239,0.35564853556485354
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P17,2,Excited/Activated,54,239,0.22594142259414227
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P18,0,Calm,112,228,0.49122807017543857
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P18,1,Medium aroused,79,228,0.34649122807017546
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P18,2,Excited/Activated,37,228,0.16228070175438597
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P19,0,Calm,97,229,0.42358078602620086
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P19,1,Medium aroused,73,229,0.31877729257641924
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P19,2,Excited/Activated,59,229,0.2576419213973799
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P2,0,Calm,116,241,0.48132780082987553
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P2,1,Medium aroused,63,241,0.26141078838174275
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P2,2,Excited/Activated,62,241,0.2572614107883817
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P20,0,Calm,94,226,0.415929203539823
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P20,1,Medium aroused,95,226,0.42035398230088494
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P20,2,Excited/Activated,37,226,0.16371681415929204
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P21,0,Calm,100,219,0.45662100456621
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P21,1,Medium aroused,82,219,0.3744292237442922
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P21,2,Excited/Activated,37,219,0.1689497716894977
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P22,0,Calm,94,214,0.4392523364485981
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,test,s_P22,1,Medium aroused,81,214,0.37850467289719625
