epoch,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,learning_rate,grad_norm_mean,grad_norm_max,is_best_epoch,best_epoch,best_val_loss,early_stopped
1,1.0868500190622665,1.2444398999214172,0.06550111073137388,0.0681849589563583,1.115,5e-05,0.10228829602038558,0.408007949590683,1,1,1.2444398999214172,1
2,1.0530027782215792,1.322304368019104,0.11896573820915926,0.09348261003385656,1.107,5e-05,0.08920615050383908,0.42649760842323303,0,1,1.2444398999214172,1
3,1.024368184454301,1.401176929473877,0.19548872180451127,0.11672278338945007,1.162,5e-05,0.07792760645920899,0.36911541223526,0,1,1.2444398999214172,1
4,1.0033258585368885,1.4794859290122986,0.24436090225563908,0.1270772238514174,1.146,5e-05,0.06818242978932147,0.38353660702705383,0,1,1.2444398999214172,1
5,0.9860854744911194,1.5530124306678772,0.2556390977443609,0.12318840579710144,1.154,5e-05,0.0584976475718207,0.2992757558822632,0,1,1.2444398999214172,1
6,0.9762121193549212,1.6237152218818665,0.2669172932330827,0.12105711849957373,1.17,5e-05,0.051604441855162546,0.2755577266216278,0,1,1.2444398999214172,1
7,0.9670948912115658,1.6780858039855957,0.2819548872180451,0.12853470437017994,1.125,5e-05,0.04677854536380121,0.3285501301288605,0,1,1.2444398999214172,1
8,0.9621921953032998,1.7193759083747864,0.2894736842105263,0.13028764805414553,1.086,5e-05,0.04320773513325277,0.25929561257362366,0,1,1.2444398999214172,1
9,0.958200058516334,1.7513433694839478,0.2857142857142857,0.13092161929371232,1.092,5e-05,0.04366244295771348,0.2889004647731781,0,1,1.2444398999214172,1
10,0.9549949344466714,1.7729827165603638,0.2857142857142857,0.12859560067681894,1.087,5e-05,0.04430081033182734,0.24170295894145966,0,1,1.2444398999214172,1
11,0.9514305907137254,1.785317599773407,0.3007518796992481,0.13234077750206782,1.117,5e-05,0.042159714906620877,0.30922651290893555,0,1,1.2444398999214172,1
12,0.9504191524842206,1.7976279854774475,0.29699248120300753,0.13435374149659865,1.111,5e-05,0.04623949890682364,0.30729204416275024,0,1,1.2444398999214172,1
13,0.9467540663831374,1.798969030380249,0.3082706766917293,0.1373534338358459,1.084,5e-05,0.0462352321620154,0.3893885612487793,0,1,1.2444398999214172,1
14,0.94502814727671,1.8148247003555298,0.3007518796992481,0.1343408900083963,1.088,5e-05,0.04078887463397879,0.24586188793182373,0,1,1.2444398999214172,1
15,0.9421912571963142,1.8164094686508179,0.3007518796992481,0.13266998341625208,1.079,5e-05,0.04366620611598626,0.2532235085964203,0,1,1.2444398999214172,1
16,0.940431791193345,1.8191277980804443,0.30451127819548873,0.1330049261083744,1.082,5e-05,0.04468763810283639,0.25339049100875854,0,1,1.2444398999214172,1
17,0.9393907189369202,1.8175353407859802,0.3007518796992481,0.13071895424836602,1.072,5e-05,0.045789307818180296,0.29398974776268005,0,1,1.2444398999214172,1
18,0.9375475855434642,1.8274396657943726,0.3007518796992481,0.13071895424836602,1.077,5e-05,0.045402623121601766,0.2705872356891632,0,1,1.2444398999214172,1
19,0.9359298699042377,1.8309016227722168,0.3007518796992481,0.13234077750206782,1.081,5e-05,0.045652285737438715,0.36066168546676636,0,1,1.2444398999214172,1
20,0.9331696313970229,1.832558512687683,0.3007518796992481,0.1288244766505636,1.086,5e-05,0.04232723715984049,0.21648171544075012,0,1,1.2444398999214172,1
21,0.9331405373180613,1.8378479480743408,0.3007518796992481,0.13104013104013104,1.083,5e-05,0.05213284197407849,0.35848504304885864,0,1,1.2444398999214172,1
