epoch,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,learning_rate,grad_norm_mean,grad_norm_max,is_best_epoch,best_epoch,best_val_loss,early_stopped
1,1.099141193760766,1.0761004090309143,0.36206506188237175,0.3430775843003726,1.038,5e-05,0.05821506607562605,0.3157484233379364,0,40,1.0124033093452454,1
2,1.0827624731593661,1.0617744326591492,0.36650681281875613,0.33737769743620877,1.037,5e-05,0.04985964963697085,0.3277672231197357,0,40,1.0124033093452454,1
3,1.0755691197183397,1.0510724782943726,0.3724456077276355,0.33860770937103196,1.039,5e-05,0.047999363365545486,0.5030345916748047,0,40,1.0124033093452454,1
4,1.0602942804495494,1.0441372394561768,0.3810486334350231,0.3488459467244424,1.045,5e-05,0.044342646472899226,0.37065428495407104,0,40,1.0124033093452454,1
5,1.0545550452338324,1.040035367012024,0.37495076540520705,0.3407120659499028,1.041,5e-05,0.041928484636086095,0.3936482071876526,0,40,1.0124033093452454,1
6,1.0465210146374173,1.0360008776187897,0.3740105749468618,0.3401460382243864,1.039,5e-05,0.041104944583353106,0.3179597854614258,0,40,1.0124033093452454,1
7,1.0418007671833038,1.0336169600486755,0.3688823698186567,0.3322513918301846,1.037,5e-05,0.039279470431872396,0.31715643405914307,0,40,1.0124033093452454,1
8,1.0379069248835247,1.0315400958061218,0.3681691757279791,0.32735770979176254,1.039,5e-05,0.04209033890822526,0.4643298089504242,0,40,1.0124033093452454,1
9,1.0372672080993652,1.029774248600006,0.38391038815793327,0.35318461136653706,1.044,5e-05,0.04060064559576638,0.40844792127609253,0,40,1.0124033093452454,1
10,1.031206534968482,1.0276747345924377,0.38391038815793327,0.3532716770929219,1.039,5e-05,0.03954992368887884,0.49672815203666687,0,40,1.0124033093452454,1
11,1.0313516325420804,1.0266558825969696,0.37878218302972816,0.34558737859934546,1.046,5e-05,0.03887450857901701,0.43001696467399597,0,40,1.0124033093452454,1
12,1.024565428495407,1.0250978767871857,0.3813462855938307,0.34948601407692825,1.044,5e-05,0.040988550878322746,0.38602215051651,0,40,1.0124033093452454,1
13,1.0217806696891785,1.0243893563747406,0.3890385932861384,0.3606366826718353,1.039,5e-05,0.04325439235621198,0.43340688943862915,0,40,1.0124033093452454,1
14,1.0116798679033916,1.0230633914470673,0.3820889521277738,0.3545102412246406,1.038,5e-05,0.045404453644284394,0.50783371925354,0,40,1.0124033093452454,1
15,1.024385518497891,1.0240710079669952,0.3820889521277738,0.35439894099658265,1.04,5e-05,0.052045152759569877,0.6208485960960388,0,40,1.0124033093452454,1
16,1.014324300818973,1.0231977701187134,0.38498017929394956,0.35892857142857143,1.062,5e-05,0.0460172030637323,0.8222150802612305,0,40,1.0124033093452454,1
