model,fold_id,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,loss
GNN,r_107.avi,aggregated,0.4873417721518987,0.42541209815767883,0.4236111111111111,0.42541209815767883,0.34710167880899584,0.553652649533879,0.6082542194092827,0.4873417721518987,0.5174973837524007,0.5436680598886747,1.0393333435058594
GNN,r_111.avi,aggregated,0.47129909365558914,0.2736327204148986,0.3119845857418112,0.1824218136099324,0.22966545108609482,0.49522630834512027,0.823546792867995,0.47129909365558914,0.5993611376033056,0.42760746726377435,0.9849804639816284
GNN,r_138.avi,aggregated,0.4511494252873563,0.3010872519706442,0.30128574170024947,0.20072483464709612,0.2406883545497407,0.47409622179940203,0.6654292312680736,0.4511494252873563,0.5375778341380937,0.4784552274012491,1.0454275608062744
GNN,r_146.avi,aggregated,0.43866171003717475,0.33114630467571643,0.33832199546485264,0.2207642031171443,0.2650672264707352,0.5185897435897436,0.6319196823710899,0.43866171003717475,0.5160245958524182,0.5032554514513841,0.8961691558361053
GNN,r_30.avi,aggregated,0.526829268292683,0.3754598969830758,0.3391360412637008,0.2503065979887172,0.27049525816649106,0.4646185921020358,0.6203613718922489,0.526829268292683,0.5540512477832892,0.4640092846844583,1.044674038887024
GNN,r_52.avi,aggregated,0.42033898305084744,0.30960324079590135,0.3300124533001245,0.2064021605306009,0.2524808524808525,0.5060764923150244,0.6447179010912468,0.42033898305084744,0.5075954553920656,0.5859747933608919,1.1207118034362793
GNN,r_53.avi,aggregated,0.33223684210526316,0.3037518037518037,0.31491854003536246,0.3037518037518037,0.28525254484806356,0.48073439544524516,0.4204761116410311,0.33223684210526316,0.34736036980029494,0.49129486346073886,1.2224804162979126
GNN,r_55.avi,aggregated,0.44398340248962653,0.4503648233486943,0.3542679127725856,0.3002432155657962,0.2578723882453986,0.6320084485407067,0.8746360569279094,0.44398340248962653,0.5620859377896119,0.6843668534205278,1.071494698524475
GNN,r_58.avi,aggregated,0.5583756345177665,0.3922245226593053,0.36381381381381384,0.3922245226593053,0.35469828980689205,0.5362116427819609,0.7046325513330591,0.5583756345177664,0.613873436955214,0.558143253709428,0.9769261479377747
GNN,r_69.avi,aggregated,0.5887850467289719,,0.3333333333333333,0.19626168224299065,0.24705882352941178,,1.0,0.5887850467289719,0.7411764705882353,,0.8959943652153015
GNN,r_73.avi,aggregated,0.5,0.30100235849056606,0.30742204655248134,0.2006682389937107,0.24282186948853615,0.39924823113207547,0.7677811615801639,0.5000000000000001,0.6056067308526325,0.447257771419734,1.0141924619674683
GNN,r_79.avi,aggregated,0.049079754601226995,0.042074592074592077,0.40277777777777773,0.02804972804972805,0.05233494363929147,0.5363636363636364,0.7653374233128835,0.049079754601226995,0.09215790877567352,0.5359474880947275,1.171786904335022
GNN,r_80.avi,aggregated,0.13978494623655913,0.35159176029962547,0.3328511732561877,0.23439450686641697,0.10570073221930217,0.5706928838951311,0.9031635922481102,0.13978494623655913,0.20797310201750865,0.5551461211120509,1.1706008315086365
GNN,r_90.avi,aggregated,0.16015625,0.311577964519141,0.29205974842767296,0.311577964519141,0.13607532058630228,0.46170547685211644,0.5890238060141509,0.16015625,0.12114228930716678,0.32337634389668535,1.133465051651001
GNN,r_cats_f.avi,aggregated,0.2568493150684932,,0.3333333333333333,0.08561643835616439,0.13623978201634876,,1.0,0.2568493150684932,0.4087193460490463,,1.1431632041931152
GNN,r_dallas_f.avi,aggregated,0.11363636363636363,,0.3333333333333333,0.03787878787878788,0.06802721088435375,,1.0,0.11363636363636363,0.20408163265306123,,1.2296441793441772
GNN,r_detroit_f.avi,aggregated,0.6145038167938931,,0.3333333333333333,0.20483460559796438,0.25374310480693457,,1.0,0.6145038167938931,0.7612293144208038,,0.8536147773265839
GNN,r_earworm_f.avi,aggregated,0.4010416666666667,0.3499304440877475,0.3600989653621232,0.3499304440877475,0.3390204796602933,0.4960827715752503,0.4182305724246514,0.4010416666666667,0.3915210536634948,0.5130957710303702,1.0844529867172241
GNN,r_funny_f.avi,aggregated,0.3584905660377358,0.37375992063492064,0.3715219421101774,0.37375992063492064,0.26823530394958967,0.5717741909284909,0.6229596744358121,0.3584905660377358,0.4356973979615489,0.561169008844173,1.5047126412391663
GNN,r_newyork_f.avi,aggregated,0.12941176470588237,0.2512442396313364,0.2847653554175293,0.2512442396313364,0.0990444024499752,0.3934858669228036,0.6574239840863881,0.12941176470588237,0.13036649503595416,0.3969215719648299,1.2000706195831299
