experiment_id,experiment_display_name,cv_strategy,model,summary_model_name,true_class_index,true_class_name,pred_class_index,pred_class_name,count,row_normalized
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_attention,GNN,0,Calm,0,Calm,1437,0.6114893617021276
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_attention,GNN,0,Calm,1,Medium aroused,831,0.3536170212765957
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_attention,GNN,0,Calm,2,Excited/Activated,82,0.03489361702127659
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_attention,GNN,1,Medium aroused,0,Calm,1353,0.7696245733788396
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_attention,GNN,1,Medium aroused,1,Medium aroused,393,0.2235494880546075
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_attention,GNN,1,Medium aroused,2,Excited/Activated,12,0.006825938566552901
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_attention,GNN,2,Excited/Activated,0,Calm,671,0.724622030237581
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_attention,GNN,2,Excited/Activated,1,Medium aroused,230,0.24838012958963282
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_attention,GNN,2,Excited/Activated,2,Excited/Activated,25,0.026997840172786176
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_mean,GNN,0,Calm,0,Calm,1374,0.5846808510638298
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_mean,GNN,0,Calm,1,Medium aroused,886,0.3770212765957447
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_mean,GNN,0,Calm,2,Excited/Activated,90,0.03829787234042553
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_mean,GNN,1,Medium aroused,0,Calm,1293,0.735494880546075
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_mean,GNN,1,Medium aroused,1,Medium aroused,380,0.2161547212741752
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_mean,GNN,1,Medium aroused,2,Excited/Activated,85,0.04835039817974972
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_mean,GNN,2,Excited/Activated,0,Calm,691,0.7462203023758099
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_mean,GNN,2,Excited/Activated,1,Medium aroused,222,0.23974082073434125
