model,fold_id,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,loss
Random,skf_0_P1_P14_P2_P27,aggregated,0.5289139633286318,0.5291238140795662,0.529069582378406,0.5291238140795662,0.5287555322061961,0.5291238140795662,0.530034420487005,0.5289139633286318,0.5291333294981584,0.5291238140795662,16.979661822235723
Random,skf_1_P17_P20_P8,aggregated,0.484375,0.4838926584754569,0.48390839694656484,0.4838926584754569,0.4838709677419355,0.483892658475457,0.4846860687022901,0.484375,0.4845010080645161,0.4838926584754569,18.58500877876353
Random,skf_2_P13_P28_P30,aggregated,0.5041152263374485,0.5041152263374485,0.5041186440677966,0.5041152263374485,0.5040123313021128,0.5041152263374487,0.5041186440677966,0.5041152263374485,0.5040123313021128,0.5041152263374487,17.87349890283381
Random,skf_3_P19_P22_P4,aggregated,0.49145299145299143,0.4918931763759665,0.4918931763759665,0.4918931763759665,0.49145299145299143,0.4918931763759665,0.49233336129894156,0.49145299145299143,0.49145299145299143,0.4918931763759665,18.329892108140772
Random,skf_4_P10_P16_P5,aggregated,0.49506903353057197,0.4950046685340803,0.4950024909702329,0.4950046685340803,0.4949727626459144,0.49500466853408026,0.4950206389412345,0.49506903353057197,0.49501402159648195,0.49500466853408026,18.199556740855996
Random,skf_5_P21_P23_P24,aggregated,0.5254901960784314,0.5256552233296419,0.5256710169908889,0.5256552233296419,0.5254610049061073,0.5256552233296419,0.5257485116676563,0.5254901960784314,0.5254172181476211,0.5256552233296419,17.103066902286958
Random,skf_6_P18_P29_P7,aggregated,0.53125,0.5300116928673508,0.5280904732124244,0.5300116928673508,0.521935629517819,0.530011692867351,0.5602123288861094,0.5312499999999999,0.538896125022686,0.530011692867351,16.895462526148663
Majority,skf_0_P1_P14_P2_P27,aggregated,0.5218617771509168,0.5,0.2609308885754584,0.5,0.34291010194624655,0.5,0.2723397144511131,0.5218617771509168,0.35790335040934057,0.5,17.23384837646081
Majority,skf_1_P17_P20_P8,aggregated,0.51953125,0.5,0.259765625,0.5,0.34190231362467866,0.5,0.2699127197265625,0.51953125,0.3552578727506427,0.5,17.317849089302378
Majority,skf_2_P13_P28_P30,aggregated,0.5,0.5,0.25,0.5,0.3333333333333333,0.5,0.25,0.5,0.3333333333333333,0.5,18.02182669455857
Majority,skf_3_P19_P22_P4,aggregated,0.48504273504273504,0.5,0.24252136752136752,0.5,0.32661870503597124,0.5,0.23526645481773686,0.48504273504273504,0.3168480600135276,0.5,18.560941168327414
Majority,skf_4_P10_P16_P5,aggregated,0.5029585798816568,0.5,0.2514792899408284,0.5,0.3346456692913386,0.5,0.25296733307657293,0.5029585798816568,0.3366258211806365,0.5,17.91518866678012
Majority,skf_5_P21_P23_P24,aggregated,0.49411764705882355,0.5,0.24705882352941178,0.5,0.33070866141732286,0.5,0.24415224913494812,0.49411764705882355,0.32681797128300144,0.5,18.233848185082795
Majority,skf_6_P18_P29_P7,aggregated,0.6270833333333333,0.5,0.31354166666666666,0.5,0.3854033290653009,0.5,0.3932335069444444,0.6270833333333333,0.48336000853606487,0.5,13.441279076358269
LightGBM,skf_0_P1_P14_P2_P27,aggregated,0.6614950634696756,0.6725863031172765,0.7273419449695442,0.6725863031172765,0.6435693338919145,0.8178824842541657,0.7331908083692461,0.6614950634696756,0.6400743803264392,0.8178824842541658,0.5952046361279173
LightGBM,skf_1_P17_P20_P8,aggregated,0.705078125,0.7014945901338713,0.7095018670056408,0.7014945901338713,0.7008315823281983,0.788113576624488,0.7086344666123778,0.705078125,0.7022238914009202,0.788113576624488,0.5608789984780913
LightGBM,skf_2_P13_P28_P30,aggregated,0.6604938271604939,0.6604938271604939,0.6667311752287122,0.6604938271604939,0.6572886527884028,0.7568290741587496,0.6667311752287122,0.6604938271604939,0.6572886527884028,0.7568290741587496,0.5850705497270403
LightGBM,skf_3_P19_P22_P4,aggregated,0.7158119658119658,0.7180525344105873,0.7220092309982877,0.7180525344105873,0.71499869504897,0.7822947703218966,0.7233648827577959,0.7158119658119658,0.7145432634216924,0.7822947703218968,0.5694664050020753
LightGBM,skf_4_P10_P16_P5,aggregated,0.6923076923076923,0.69234360410831,0.692355577689243,0.69234360410831,0.6923064952849274,0.7530812324929972,0.6923843089181735,0.6923076923076923,0.6923029042166324,0.7530812324929973,0.5912016923668152
LightGBM,skf_5_P21_P23_P24,aggregated,0.6607843137254902,0.6630214101144334,0.6899156050099446,0.6630214101144334,0.6491165276733837,0.7396794635166728,0.6908259578625838,0.6607843137254902,0.6483637672829251,0.7396794635166727,0.6560915532574334
LightGBM,skf_6_P18_P29_P7,aggregated,0.7354166666666667,0.7222387200950278,0.7181215389099388,0.7222387200950278,0.7198928461478373,0.7913101579465098,0.7384100541630235,0.7354166666666667,0.7366530771504672,0.7913101579465099,0.5427574881078354
SVM,skf_0_P1_P14_P2_P27,aggregated,0.6375176304654443,0.6471418320975844,0.6796763955684495,0.6471418320975844,0.6236707043795243,0.7763692896436258,0.6839896685657868,0.6375176304654443,0.6205144197569985,0.776369289643626,0.6319123681626608
SVM,skf_1_P17_P20_P8,aggregated,0.71484375,0.709976159911975,0.725571315996848,0.709976159911975,0.7080684214637194,0.8019133198850785,0.7239937327620174,0.71484375,0.7098056851909709,0.8019133198850785,0.5480347762709032
SVM,skf_2_P13_P28_P30,aggregated,0.6851851851851852,0.6851851851851851,0.6871662330549089,0.6851851851851851,0.684349941206685,0.7476587241104845,0.687166233054909,0.6851851851851852,0.684349941206685,0.7476587241104845,0.6002676112478532
SVM,skf_3_P19_P22_P4,aggregated,0.6944444444444444,0.696282011442777,0.6985576923076924,0.696282011442777,0.6939399898473908,0.7614930447657522,0.6996651051939514,0.6944444444444444,0.6935682864600881,0.7614930447657522,0.5873677247927879
SVM,skf_4_P10_P16_P5,aggregated,0.6686390532544378,0.6684640522875817,0.6690903127050076,0.6684640522875817,0.6682660850599782,0.738787737317149,0.6690466424355977,0.6686390532544378,0.6683319029766476,0.738787737317149,0.6052618827552716
SVM,skf_5_P21_P23_P24,aggregated,0.6627450980392157,0.6655592469545958,0.7136392505557321,0.6655592469545958,0.6436695697387235,0.7252214839424143,0.7149010890478771,0.6627450980392157,0.6426996276217493,0.7252214839424143,0.6758878864504582
SVM,skf_6_P18_P29_P7,aggregated,0.7354166666666667,0.7063883887971195,0.7171875,0.7063883887971195,0.710429937440326,0.7791718480298446,0.7310872395833333,0.7354166666666667,0.732049660600706,0.7791718480298447,0.5520658621357557
MLP,skf_0_P1_P14_P2_P27,aggregated,0.6473906911142454,0.6583313401897473,0.7070552786871573,0.6583313401897473,0.6292089232519998,0.7940365143904966,0.7124164445270421,0.6473906911142454,0.6256188926549959,0.7940365143904966,0.7719080410002732
MLP,skf_1_P17_P20_P8,aggregated,0.69140625,0.6845161684699554,0.7129453262786596,0.6845161684699554,0.6781257957728546,0.7795708784155511,0.7106539351851852,0.69140625,0.6806797292780749,0.7795708784155511,0.5867301220990544
MLP,skf_2_P13_P28_P30,aggregated,0.6358024691358025,0.6358024691358024,0.635989010989011,0.6358024691358024,0.6356775300171527,0.7155582651696049,0.635989010989011,0.6358024691358025,0.6356775300171527,0.7155582651696049,0.7781462975983365
MLP,skf_3_P19_P22_P4,aggregated,0.6623931623931624,0.6669530407443289,0.6826882688268827,0.6669530407443289,0.6563621154382377,0.7480761145740034,0.6847471926679847,0.6623931623931624,0.6550002661258354,0.7480761145740034,0.6444005696557861
MLP,skf_4_P10_P16_P5,aggregated,0.6824457593688363,0.6819094304388422,0.6882367149758454,0.6819094304388422,0.6795736913383972,0.7512916277622161,0.6880499099562644,0.6824457593688363,0.6797531955902996,0.751291627762216,0.6369799021809981
MLP,skf_5_P21_P23_P24,aggregated,0.6627450980392157,0.6650055370985604,0.6928941311852704,0.6650055370985604,0.6508851248089659,0.7007198228128461,0.6938265755093752,0.6627450980392157,0.6501281052410776,0.7007198228128462,0.8568924783474173
MLP,skf_6_P18_P29_P7,aggregated,0.725,0.7048757400842629,0.7058231246853499,0.7048757400842629,0.7053352183942257,0.7863546094025502,0.7243912103074714,0.725,0.7246828261031326,0.7863546094025502,0.5553637420512546
MOMENT_GazeMAE_all_signals,skf_0_P1_P14_P2_P27,aggregated,0.6586741889985895,0.6583911344973292,0.6582019429845517,0.6583911344973292,0.6582492789648964,0.7185760982221159,0.6589724496390346,0.6586741889985895,0.6587761674066759,0.7185760982221159,0.6183985356268059
MOMENT_GazeMAE_all_signals,skf_1_P17_P20_P8,aggregated,0.68359375,0.67730301363164,0.6995528035775713,0.67730301363164,0.6720647773279352,0.7710281802066141,0.6976970996732026,0.68359375,0.6744666466346154,0.7710281802066141,0.5975054078458484
MOMENT_GazeMAE_all_signals,skf_2_P13_P28_P30,aggregated,0.6934156378600823,0.6934156378600823,0.6934451219512194,0.6934156378600823,0.6934039553404717,0.7634168233162288,0.6934451219512197,0.6934156378600823,0.6934039553404717,0.7634168233162288,0.8021006006740329
MOMENT_GazeMAE_all_signals,skf_3_P19_P22_P4,aggregated,0.6047008547008547,0.6102966713583271,0.6274070945945946,0.6102966713583271,0.5931065921619678,0.6464803407242218,0.6292552769115269,0.6047008547008547,0.5910519127246968,0.6464803407242217,0.6837211413623868
MOMENT_GazeMAE_all_signals,skf_4_P10_P16_P5,aggregated,0.6370808678500987,0.6377450980392156,0.6449402325200589,0.6377450980392156,0.6327591093754921,0.7275132275132274,0.6451488882192614,0.6370808678500987,0.632523377095059,0.7275132275132276,0.6732666386678066
MOMENT_GazeMAE_all_signals,skf_5_P21_P23_P24,aggregated,0.6803921568627451,0.6806478405315615,0.6809010396611475,0.6806478405315615,0.6803319348896947,0.730343300110742,0.6810537045006682,0.6803921568627451,0.6802803160556514,0.730343300110742,0.6321506588802455
MOMENT_GazeMAE_all_signals,skf_6_P18_P29_P7,aggregated,0.6708333333333333,0.6820653686965237,0.6703067761593082,0.6820653686965237,0.6652483271244196,0.694816162141094,0.702426763774834,0.6708333333333333,0.676238178051637,0.694816162141094,1.187233631850466
BasicGCN,skf_0_P1_P14_P2_P27,aggregated,0.5853314527503526,0.6004783544606553,0.6884870782483847,0.6004783544606553,0.5379694648366847,0.6965159850115602,0.6950805305998053,0.5853314527503526,0.53150152816125,0.6965159850115602,0.6957170565923055
BasicGCN,skf_1_P17_P20_P8,aggregated,0.42578125,0.42245858548811055,0.42043530075895374,0.42245858548811055,0.4197964847363552,0.3854453206186197,0.42170814581634575,0.42578125000000006,0.42209831753006477,0.3854453206186197,0.7034530341625214
BasicGCN,skf_2_P13_P28_P30,aggregated,0.6213991769547325,0.6213991769547325,0.632384716245914,0.6213991769547325,0.6133785279468733,0.6776744737421463,0.6323847162459141,0.6213991769547325,0.6133785279468733,0.6776744737421463,0.6676631271839142
BasicGCN,skf_3_P19_P22_P4,aggregated,0.6388888888888888,0.6409326046027016,0.6431595365418895,0.6409326046027016,0.6380145998764274,0.7343301588462171,0.6441560209942564,0.6388888888888888,0.6374824239557986,0.7343301588462171,0.6103011071681976
BasicGCN,skf_4_P10_P16_P5,aggregated,0.6351084812623274,0.6351307189542483,0.6351307189542483,0.6351307189542483,0.6351084812623274,0.6773887332710862,0.6351529566461692,0.6351084812623274,0.6351084812623274,0.6773887332710862,0.7109470367431641
BasicGCN,skf_5_P21_P23_P24,aggregated,0.5725490196078431,0.5760889627168697,0.6188725490196079,0.5760889627168697,0.532070707070707,0.6766642057339731,0.6197808535178778,0.5725490196078431,0.5304515745692215,0.6766642057339731,0.7276013493537903
BasicGCN,skf_6_P18_P29_P7,aggregated,0.6916666666666667,0.6545221700476995,0.66758590148755,0.6545221700476995,0.6582972582972583,0.748324950351714,0.6840906955990794,0.6916666666666667,0.6854377104377104,0.7483249503517141,0.5946440696716309
HeteroGCNMean,skf_0_P1_P14_P2_P27,aggregated,0.5994358251057827,0.6139918679741689,0.6996536989974027,0.6139918679741689,0.5580343816397128,0.6924101092242685,0.7063348905901774,0.5994358251057827,0.5521198897159885,0.6924101092242685,0.7177318533261617
HeteroGCNMean,skf_1_P17_P20_P8,aggregated,0.61328125,0.60397946084724,0.635645933014354,0.60397946084724,0.5848444641014301,0.6699064735008252,0.6338423295454545,0.61328125,0.5890887605042017,0.6699064735008252,0.6771889925003052
HeteroGCNMean,skf_2_P13_P28_P30,aggregated,0.5864197530864198,0.5864197530864197,0.5887046307884856,0.5864197530864197,0.5837392138063279,0.6611458280411183,0.5887046307884857,0.5864197530864198,0.5837392138063279,0.6611458280411183,0.7168598175048828
HeteroGCNMean,skf_3_P19_P22_P4,aggregated,0.6196581196581197,0.6211088160564462,0.6219828776581056,0.6211088160564462,0.6193174548046867,0.7079532783738827,0.6227577969914341,0.6196581196581197,0.6189767899512539,0.7079532783738827,0.6295152902603149
HeteroGCNMean,skf_4_P10_P16_P5,aggregated,0.6370808678500987,0.6372315592903828,0.637561226718248,0.6372315592903828,0.6369099514260805,0.70359477124183,0.6376188697824258,0.6370808678500987,0.6368633378558937,0.7035947712418301,0.6507033109664917
HeteroGCNMean,skf_5_P21_P23_P24,aggregated,0.5764705882352941,0.5796880767811,0.613359880973219,0.5796880767811,0.5440472839853645,0.6811246462409254,0.6141560527589297,0.5764705882352941,0.5426168440919852,0.6811246462409254,0.7254965603351593
HeteroGCNMean,skf_6_P18_P29_P7,aggregated,0.69375,0.6471259674455725,0.6709731688378915,0.6471259674455725,0.651574482373797,0.7555262718313258,0.684080590544388,0.69375,0.6823853395618016,0.7555262718313258,0.608025074005127
HeteroGCNMLP,skf_0_P1_P14_P2_P27,aggregated,0.5825105782792666,0.5982699513672964,0.6990825984430016,0.5982699513672964,0.5299924750062708,0.7386032049748863,0.7062385046312705,0.5825105782792666,0.5231230184600141,0.7386032049748863,0.7068839073181152
HeteroGCNMLP,skf_1_P17_P20_P8,aggregated,0.501953125,0.48445809646066385,0.4223367697594501,0.48445809646066385,0.3631933978139038,0.573063756953359,0.42581346649484536,0.501953125,0.37480509046545996,0.573063756953359,0.6896319091320038
HeteroGCNMLP,skf_2_P13_P28_P30,aggregated,0.5925925925925926,0.5925925925925926,0.5938384965245,0.5925925925925926,0.5912357908687748,0.6625514403292181,0.5938384965245002,0.5925925925925926,0.5912357908687749,0.6625514403292181,0.8236750960350037
