epoch,model,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,learning_rate,grad_norm_mean,grad_norm_max,is_best_epoch,best_epoch,best_val_loss,early_stopped
1,HeteroGCNMLP,0.699967140952746,0.6848321557044983,0.6236288437331415,0.5515046296296297,0.945,5e-05,0.032139422934097384,0.2979903221130371,0,111,0.5167500972747803,1
2,HeteroGCNMLP,0.6824074536561966,0.6578635573387146,0.617784571120302,0.6171241771528369,0.995,5e-05,0.025452218172611774,0.2642848491668701,0,111,0.5167500972747803,1
3,HeteroGCNMLP,0.6722423781951269,0.6398858428001404,0.6096925013486783,0.6005036075734831,0.95,5e-05,0.020218124046049776,0.1962892860174179,0,111,0.5167500972747803,1
4,HeteroGCNMLP,0.6636166920264562,0.6294938921928406,0.6369358029131451,0.6211355829460496,0.974,5e-05,0.018515575759268002,0.19706228375434875,0,111,0.5167500972747803,1
5,HeteroGCNMLP,0.6597599337498347,0.6239193677902222,0.628034526164359,0.607188703465982,0.916,5e-05,0.017991234193080647,0.15263132750988007,0,111,0.5167500972747803,1
6,HeteroGCNMLP,0.6572681268056234,0.6201459765434265,0.6191332494155728,0.592391304347826,1.064,5e-05,0.018704174723756874,0.16443076729774475,0,111,0.5167500972747803,1
7,HeteroGCNMLP,0.6552466203769048,0.6179055571556091,0.6251573458011148,0.5977706504022293,0.999,5e-05,0.013486886213352103,0.10951703786849976,0,111,0.5167500972747803,1
8,HeteroGCNMLP,0.6537830332914988,0.616157591342926,0.6251573458011148,0.5977706504022293,0.946,5e-05,0.01879634372163191,0.1999582201242447,0,111,0.5167500972747803,1
9,HeteroGCNMLP,0.6496775597333908,0.6144388318061829,0.6191332494155728,0.592391304347826,1.002,5e-05,0.016452679006392103,0.14954791963100433,0,111,0.5167500972747803,1
10,HeteroGCNMLP,0.6502911001443863,0.6130592226982117,0.6131091530300306,0.5870344397693626,0.967,5e-05,0.0184693722028211,0.20298852026462555,0,111,0.5167500972747803,1
11,HeteroGCNMLP,0.6465505162874857,0.6136847734451294,0.6176946592339507,0.5873015873015873,0.967,5e-05,0.015153841103493383,0.12929879128932953,0,111,0.5167500972747803,1
12,HeteroGCNMLP,0.6463323483864466,0.6119604706764221,0.6176946592339507,0.5873015873015873,0.942,5e-05,0.017528898158886568,0.2131202071905136,0,111,0.5167500972747803,1
13,HeteroGCNMLP,0.6457141290108362,0.6104007363319397,0.6116705628484086,0.581996950418003,0.945,5e-05,0.016474231400486355,0.1357792615890503,0,111,0.5167500972747803,1
14,HeteroGCNMLP,0.6430032600959142,0.6103947758674622,0.6116705628484086,0.581996950418003,0.994,5e-05,0.019014729717529946,0.16857001185417175,0,111,0.5167500972747803,1
15,HeteroGCNMLP,0.6432340840498606,0.6093615889549255,0.6056464664628664,0.5767140468227425,0.962,5e-05,0.01656605298634584,0.1477726846933365,0,111,0.5167500972747803,1
16,HeteroGCNMLP,0.6425081143776575,0.6087526679039001,0.6056464664628664,0.5767140468227425,0.907,5e-05,0.019923125751054187,0.16985984146595,0,111,0.5167500972747803,1
17,HeteroGCNMLP,0.6407178640365601,0.6093476414680481,0.6056464664628664,0.5767140468227425,0.952,5e-05,0.015893471148851004,0.13535229861736298,0,111,0.5167500972747803,1
18,HeteroGCNMLP,0.6397702842950821,0.6099295020103455,0.5981837798957022,0.5662232504337767,1.003,5e-05,0.020651732179799907,0.18605056405067444,0,111,0.5167500972747803,1
19,HeteroGCNMLP,0.6380086839199066,0.6074602007865906,0.6131091530300306,0.5870344397693626,0.935,5e-05,0.02105553881378053,0.2032546103000641,0,111,0.5167500972747803,1
20,HeteroGCNMLP,0.6370028853416443,0.6056273579597473,0.6131091530300306,0.5870344397693626,0.97,5e-05,0.01854283553499651,0.1647472381591797,0,111,0.5167500972747803,1
21,HeteroGCNMLP,0.6371464480956396,0.6062783598899841,0.6131091530300306,0.5870344397693626,0.974,5e-05,0.02279855518811572,0.18639251589775085,0,111,0.5167500972747803,1
22,HeteroGCNMLP,0.6347880264123281,0.6049086451530457,0.6056464664628664,0.5767140468227425,0.967,5e-05,0.020082452514016306,0.16406221687793732,0,111,0.5167500972747803,1
23,HeteroGCNMLP,0.6333412428696951,0.6039718389511108,0.6205718395971948,0.5971906630861392,0.937,5e-05,0.017845977607989418,0.19822371006011963,0,111,0.5167500972747803,1
24,HeteroGCNMLP,0.631377657254537,0.6063591241836548,0.6056464664628664,0.5767140468227425,0.99,5e-05,0.022616680478743056,0.22019250690937042,0,111,0.5167500972747803,1
25,HeteroGCNMLP,0.6326127797365189,0.6019125580787659,0.6294731163459809,0.6114976385150577,0.91,5e-05,0.01984983938908282,0.18593887984752655,0,111,0.5167500972747803,1
26,HeteroGCNMLP,0.6312594960133234,0.600988507270813,0.635497212731523,0.6170343137254902,1.0,5e-05,0.021965303569824915,0.18312367796897888,0,111,0.5167500972747803,1
27,HeteroGCNMLP,0.630128875374794,0.598195493221283,0.6443984894803093,0.630634705261571,0.999,5e-05,0.021108107113595117,0.21787536144256592,0,111,0.5167500972747803,1
28,HeteroGCNMLP,0.6281281113624573,0.6001214385032654,0.6593238626146376,0.6492362804119608,0.92,5e-05,0.02369521600190057,0.1839008927345276,0,111,0.5167500972747803,1
29,HeteroGCNMLP,0.6261554559071859,0.5971265435218811,0.6578852724330156,0.6457108397406905,0.941,5e-05,0.022181603923577906,0.21585893630981445,0,111,0.5167500972747803,1
30,HeteroGCNMLP,0.6256037553151449,0.5971948504447937,0.6667865491818018,0.6583481877599524,0.963,5e-05,0.020570587801379905,0.17833761870861053,0,111,0.5167500972747803,1
31,HeteroGCNMLP,0.6249628861745199,0.5935758352279663,0.6756878259305881,0.6703296703296704,0.948,5e-05,0.02187265428111077,0.18079984188079834,0,111,0.5167500972747803,1
32,HeteroGCNMLP,0.6232003569602966,0.5941628813743591,0.6665168135227477,0.6639496639496639,0.908,5e-05,0.023569730920628543,0.23306915163993835,0,111,0.5167500972747803,1
33,HeteroGCNMLP,0.6208291202783585,0.5948003530502319,0.6607624527962597,0.6525553200926519,0.994,5e-05,0.02952838566897549,0.2295903116464615,0,111,0.5167500972747803,1
34,HeteroGCNMLP,0.6203049669663111,0.5920124053955078,0.6667865491818018,0.6583481877599524,0.947,5e-05,0.028492701103696953,0.2551535964012146,0,111,0.5167500972747803,1
35,HeteroGCNMLP,0.6196080148220062,0.5888574123382568,0.6814421866570761,0.6805641001372391,0.948,5e-05,0.025312665078698945,0.22962282598018646,0,111,0.5167500972747803,1
36,HeteroGCNMLP,0.6189836611350378,0.5877370238304138,0.6874662830426183,0.6865501519756838,0.939,5e-05,0.025782735683289662,0.2558901906013489,0,111,0.5167500972747803,1
37,HeteroGCNMLP,0.6168645024299622,0.5907883644104004,0.6711023197266679,0.6672453703703703,0.967,5e-05,0.023296412689439643,0.2553368806838989,0,111,0.5167500972747803,1
