epoch,model,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,learning_rate,grad_norm_mean,grad_norm_max,is_best_epoch,best_epoch,best_val_loss,early_stopped
1,HeteroGCNMean,0.6864465624094009,0.6618386507034302,0.5882035605106996,0.5876099706744868,0.917,5e-05,0.026825113215756192,0.22578054666519165,0,259,0.521683931350708,1
2,HeteroGCNMean,0.6766195247570673,0.6508437395095825,0.6010609602589463,0.576379974326059,0.913,5e-05,0.02036153673837984,0.17040200531482697,0,259,0.521683931350708,1
3,HeteroGCNMean,0.6714149465163549,0.6424602270126343,0.6162560690523287,0.5819039451114923,0.957,5e-05,0.019039674064228355,0.14286072552204132,0,259,0.521683931350708,1
4,HeteroGCNMean,0.6657341321309408,0.6371345520019531,0.6087933824851646,0.5709891533106686,0.898,5e-05,0.02135859013847757,0.2120431363582611,0,259,0.521683931350708,1
5,HeteroGCNMean,0.662095457315445,0.6329843401908875,0.6027692860996223,0.5658233276157805,0.979,5e-05,0.019678201077224736,0.17341755330562592,0,259,0.521683931350708,1
6,HeteroGCNMean,0.6612754712502161,0.6299800872802734,0.6027692860996223,0.5658233276157805,0.922,5e-05,0.014872169605759586,0.13344791531562805,0,259,0.521683931350708,1
7,HeteroGCNMean,0.657929390668869,0.6270250678062439,0.6027692860996223,0.5658233276157805,0.9,5e-05,0.016262519063769888,0.14591296017169952,0,259,0.521683931350708,1
8,HeteroGCNMean,0.6565356701612473,0.624302089214325,0.6027692860996223,0.5658233276157805,0.867,5e-05,0.016349142519925013,0.16722232103347778,0,259,0.521683931350708,1
9,HeteroGCNMean,0.6549705316623052,0.6229508519172668,0.6148174788707067,0.5761790915018474,0.877,5e-05,0.016843533976609985,0.15604610741138458,0,259,0.521683931350708,1
10,HeteroGCNMean,0.6538147926330566,0.6216962933540344,0.6073547923035425,0.5649794801641587,0.926,5e-05,0.015671460783778457,0.15630044043064117,0,259,0.521683931350708,1
11,HeteroGCNMean,0.6519454121589661,0.6209617257118225,0.6073547923035425,0.5649794801641587,0.925,5e-05,0.016100524403762452,0.15846934914588928,0,259,0.521683931350708,1
12,HeteroGCNMean,0.6511001586914062,0.6194936037063599,0.6073547923035425,0.5649794801641587,0.898,5e-05,0.016277274097830197,0.11818709969520569,0,259,0.521683931350708,1
13,HeteroGCNMean,0.6501297652721405,0.6179965734481812,0.6073547923035425,0.5649794801641587,0.898,5e-05,0.016444205828456526,0.13348449766635895,0,259,0.521683931350708,1
14,HeteroGCNMean,0.6486398031314214,0.617432177066803,0.6013306959180004,0.5598782873288415,0.906,5e-05,0.01676441643346487,0.14063364267349243,0,259,0.521683931350708,1
15,HeteroGCNMean,0.6482040037711462,0.6166623830795288,0.6013306959180004,0.5598782873288415,0.867,5e-05,0.019093191933311653,0.14052915573120117,0,259,0.521683931350708,1
16,HeteroGCNMean,0.6461913138628006,0.614399790763855,0.6087933824851646,0.5709891533106686,0.869,5e-05,0.01609465750111109,0.15696656703948975,0,259,0.521683931350708,1
17,HeteroGCNMean,0.6462479929129282,0.6138200163841248,0.6087933824851646,0.5709891533106686,0.954,5e-05,0.01867719960156185,0.18341824412345886,0,259,0.521683931350708,1
18,HeteroGCNMean,0.6430785208940506,0.6128607392311096,0.6027692860996223,0.5658233276157805,0.904,5e-05,0.01804675977431894,0.14746946096420288,0,259,0.521683931350708,1
19,HeteroGCNMean,0.6423936635255814,0.6115124821662903,0.6042078762812444,0.5714285714285714,0.93,5e-05,0.017892314971408942,0.14602430164813995,0,259,0.521683931350708,1
20,HeteroGCNMean,0.6416102647781372,0.6094993352890015,0.6056464664628664,0.5767140468227425,0.949,5e-05,0.017799858606035977,0.164500892162323,0,259,0.521683931350708,1
21,HeteroGCNMean,0.6391336818536123,0.6092193722724915,0.6056464664628664,0.5767140468227425,0.922,5e-05,0.02096994585566822,0.21887493133544922,0,259,0.521683931350708,1
22,HeteroGCNMean,0.6390345096588135,0.6090588569641113,0.5981837798957022,0.5662232504337767,0.915,5e-05,0.01889741962016463,0.15775297582149506,0,259,0.521683931350708,1
23,HeteroGCNMean,0.6358515322208405,0.6068335771560669,0.6131091530300306,0.5870344397693626,0.896,5e-05,0.02018924274926305,0.1831706464290619,0,259,0.521683931350708,1
24,HeteroGCNMean,0.6359129548072815,0.6057925224304199,0.6205718395971948,0.5971906630861392,0.927,5e-05,0.018428022464656368,0.17383621633052826,0,259,0.521683931350708,1
