model,model_display,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,loss,suite_experiment_id,experiment_id,scope,task_type,experiment_group,strategy,trainer_run_dir,label_entropy,f1_comparable,auc_comparable
Random,Naključni,aggregated,0.502143722158088,0.5018226182426754,0.5016129513980724,0.5018226182426754,0.5005757636489282,0.5018226182426754,0.5066809449761837,0.502143722158088,0.5033113494500314,0.5018226182426754,17.944559116129877,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_16-30-20,0.9986639008296057,0.5005757636489282,0.5018226182426754
Majority,Večinski,aggregated,0.524662571057297,0.5,0.2623312855286485,0.5,0.3435980740566061,0.5,0.2772046296752496,0.524662571057297,0.3621289940013816,0.5,17.132897531684893,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_16-30-20,0.9986639008296057,0.3435980740566061,0.5
SVM,SVM,aggregated,0.6748325843286622,0.6742136402115259,0.6749712538988967,0.6742136402115259,0.6719894556372916,0.7264588954865491,0.6791603314853008,0.6748325843286622,0.6744529807804008,0.7264588954865491,0.6136712756447292,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_16-30-20,0.9986639008296057,0.6719894556372916,0.7264588954865491
LightGBM,LightGBM,aggregated,0.6967544093630824,0.6960579426232282,0.6963668774224995,0.6960579426232282,0.694385684623983,0.7659593332850421,0.7005744738235348,0.6967544093630824,0.6968893583581742,0.7659593332850421,0.5776623910470702,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_16-30-20,0.9986639008296057,0.694385684623983,0.7659593332850421
MLP,MLP,aggregated,0.6702361757085697,0.6688227255448567,0.6701394855862561,0.6688227255448567,0.6667015135912511,0.7256499951303977,0.6742865781364955,0.6702361757085697,0.6695134297463384,0.7256499951303977,0.6165807561091585,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_16-30-20,0.9986639008296057,0.6667015135912511,0.7256499951303977
GazeMAE_MLP,GazeMAE+MLP,aggregated,0.6571722317251805,0.6581058454354555,0.6650681206823973,0.6581058454354555,0.6515701970001053,0.718965060384454,0.6699399440068783,0.6571722317251805,0.6536031140800034,0.7189623427050756,0.7193995092715874,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_16-30-20,0.9986639008296057,0.6515701970001053,0.718965060384454
BasicGCN,GCN,aggregated,0.6435868045139446,0.6459604920720923,0.646356705575555,0.6459604920720923,0.6407159485206533,0.7067404804834307,0.6516567638602843,0.6435868045139446,0.6422519725037323,0.7067404804834307,0.6183869114943913,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_16-30-20,0.9986639008296057,0.6407159485206533,0.7067404804834307
HeteroGCNMean,HeteroGCN-mean,aggregated,0.61687066166325,0.6129037154751833,0.6012139461105963,0.6129037154751833,0.5921842898053361,0.646853904955826,0.6062781652314951,0.61687066166325,0.5968173894737421,0.646853904955826,0.6513856110118683,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_16-30-20,0.9986639008296057,0.5921842898053361,0.646853904955826
HeteroGCNMLP,HeteroGCN-MLP,aggregated,0.6590385526459658,0.6620867876052883,0.6612867769029335,0.6620867876052883,0.6583401023103069,0.7216924027000484,0.6668299450125461,0.6590385526459658,0.6596747037250751,0.7216924027000484,0.616450948374612,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_16-30-20,0.9986639008296057,0.6583401023103069,0.7216924027000484
HeteroGCNMLPWeights,HeteroGCN-MLP-w,aggregated,0.6431561810072292,0.6455824608553307,0.6479195424294685,0.6455824608553307,0.6398327018752296,0.7032215769880844,0.6533269035266173,0.6431561810072292,0.6413862061388347,0.7032215769880843,0.6321677210785095,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_16-30-20,0.9986639008296057,0.6398327018752296,0.7032215769880844
