model,fold_id,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,loss
Random,skf_0_P1_P14_P2_P27,aggregated,0.5280898876404494,0.5283176956944455,0.5282694295611827,0.5283176956944455,0.5279558011049723,0.5283176956944455,0.529167139164849,0.5280898876404494,0.528291017443665,0.5283176956944454,17.00936452070697
Random,skf_1_P17_P20_P8,aggregated,0.47876447876447875,0.4783154121863799,0.4783464566929134,0.4783154121863799,0.4782667084471104,0.47831541218637996,0.47926610525035723,0.47876447876447875,0.4789511426334919,0.47831541218637996,18.78723246150894
Random,skf_2_P13_P28_P30,aggregated,0.5020491803278688,0.5020491803278688,0.50205086825693,0.5020491803278688,0.5019467019467019,0.5020491803278688,0.5020508682569301,0.5020491803278688,0.501946701946702,0.5020491803278688,17.94796674908907
Random,skf_3_P19_P22_P4,aggregated,0.49471458773784355,0.494974245242524,0.4949722669529433,0.494974245242524,0.49470555369315006,0.4949742452425239,0.4951506602557047,0.49471458773784355,0.49466490049202944,0.4949742452425239,18.21233226215433
Random,skf_4_P10_P16_P5,aggregated,0.49506903353057197,0.4950046685340803,0.4950024909702329,0.4950046685340803,0.4949727626459144,0.49500466853408026,0.4950206389412345,0.49506903353057197,0.49501402159648195,0.49500466853408026,18.199556740855996
Random,skf_5_P21_P23_P24,aggregated,0.49250936329588013,0.4923112539110182,0.49230769230769234,0.4923112539110182,0.4922939288157595,0.4923112539110182,0.49242293287237104,0.49250936329588013,0.4924506084376654,0.49231125391101815,18.29181660758567
Random,skf_6_P18_P29_P7,aggregated,0.5238095238095238,0.5217858718024111,0.5203414550446122,0.5217858718024111,0.5138888888888888,0.5217858718024111,0.5536882700918391,0.5238095238095238,0.5318610536001841,0.5217858718024111,17.16364447100817
Majority,skf_0_P1_P14_P2_P27,aggregated,0.5210674157303371,0.5,0.26053370786516855,0.5,0.3425669436749769,0.5,0.27151125173589197,0.5210674157303371,0.35700094411072036,0.5,17.26248006416987
Majority,skf_1_P17_P20_P8,aggregated,0.5212355212355212,0.5,0.2606177606177606,0.5,0.3426395939086294,0.5,0.2716864685976655,0.5212355212355212,0.35719185465378356,0.5,17.25642092760821
Majority,skf_2_P13_P28_P30,aggregated,0.5,0.5,0.25,0.5,0.3333333333333333,0.5,0.25,0.5,0.3333333333333333,0.5,18.021826694558573
Majority,skf_3_P19_P22_P4,aggregated,0.4904862579281184,0.5,0.2452431289640592,0.5,0.32907801418439714,0.5,0.24057676921632867,0.4904862579281184,0.3228164874874424,0.5,18.36473671623094
Majority,skf_4_P10_P16_P5,aggregated,0.5029585798816568,0.5,0.2514792899408284,0.5,0.3346456692913386,0.5,0.25296733307657293,0.5029585798816568,0.3366258211806365,0.5,17.91518866678012
Majority,skf_5_P21_P23_P24,aggregated,0.5074906367041199,0.5,0.25374531835205993,0.5,0.33664596273291925,0.5,0.257546746342353,0.5074906367041199,0.3416893479424012,0.5,17.75183678153148
Majority,skf_6_P18_P29_P7,aggregated,0.629399585921325,0.5,0.3146997929606625,0.5,0.386277001270648,0.5,0.39614383875793546,0.629399585921325,0.48624516930135403,0.5,13.35779287091505
LightGBM,skf_0_P1_P14_P2_P27,aggregated,0.6952247191011236,0.6934377247828252,0.6950892857142856,0.6934377247828252,0.6936529306444226,0.7676960896680922,0.6951457162921348,0.6952247191011236,0.6945775120895409,0.7676960896680923,0.5777102397594528
LightGBM,skf_1_P17_P20_P8,aggregated,0.7200772200772201,0.7178464755077658,0.7208244394992204,0.7178464755077658,0.7181349094661789,0.7798387096774193,0.7205675828229078,0.7200772200772201,0.7191286497788046,0.7798387096774192,0.5684981783853932
LightGBM,skf_2_P13_P28_P30,aggregated,0.7151639344262295,0.7151639344262295,0.715341166977659,0.7151639344262295,0.715105315105315,0.7954346949744691,0.7153411669776589,0.7151639344262295,0.715105315105315,0.7954346949744691,0.5542605816282615
