epoch,model,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,learning_rate,grad_norm_mean,grad_norm_max,is_best_epoch,best_epoch,best_val_loss,early_stopped
1,HeteroGCNMean,0.6959976057211558,0.7021913528442383,0.46517857142857144,0.4108182291420188,0.697,5e-05,0.023633329996033247,0.2516149878501892,0,108,0.5746351480484009,1
2,HeteroGCNMean,0.6936892320712408,0.7053003907203674,0.48392857142857143,0.33166702890675936,0.679,5e-05,0.017373806394445242,0.15316812694072723,0,108,0.5746351480484009,1
3,HeteroGCNMean,0.6932465682427088,0.7053044438362122,0.4919642857142857,0.32541224807062347,0.656,5e-05,0.019092075603432873,0.1531674712896347,0,108,0.5746351480484009,1
4,HeteroGCNMean,0.691594789425532,0.702028751373291,0.5107142857142857,0.36426863725277114,0.631,5e-05,0.016935037462020523,0.15631669759750366,0,108,0.5746351480484009,1
5,HeteroGCNMean,0.6870863089958826,0.7002620697021484,0.5107142857142857,0.36426863725277114,0.664,5e-05,0.029112433290715754,0.8143449425697327,0,108,0.5746351480484009,1
6,HeteroGCNMean,0.6895949244499207,0.700283408164978,0.5044642857142857,0.35157318741450067,0.694,5e-05,0.01992183170062287,0.32603102922439575,0,108,0.5746351480484009,1
7,HeteroGCNMean,0.6894747167825699,0.6978161931037903,0.5107142857142857,0.36426863725277114,0.665,5e-05,0.016800682316719686,0.19732257723808289,0,108,0.5746351480484009,1
8,HeteroGCNMean,0.6898482690254847,0.6946073174476624,0.5419642857142857,0.42425995057574,0.678,5e-05,0.02045530934365874,0.3960793614387512,0,108,0.5746351480484009,1
9,HeteroGCNMean,0.6863944629828135,0.6906605362892151,0.575,0.5133407583167885,0.651,5e-05,0.019249526130583852,0.32630521059036255,0,108,0.5746351480484009,1
10,HeteroGCNMean,0.6881655851999918,0.6911109685897827,0.5571428571428572,0.4800950683303625,0.642,5e-05,0.017412607767246478,0.47545844316482544,0,108,0.5746351480484009,1
11,HeteroGCNMean,0.6871948540210724,0.6876848340034485,0.5714285714285714,0.5276145710928319,0.68,5e-05,0.015955072823713886,0.19287627935409546,0,108,0.5746351480484009,1
12,HeteroGCNMean,0.6858067413171133,0.6891043186187744,0.5830357142857143,0.5143249607535322,0.641,5e-05,0.02013186778391601,0.23290793597698212,0,108,0.5746351480484009,1
13,HeteroGCNMean,0.6837453295787176,0.6860266923904419,0.59375,0.5406698564593301,0.634,5e-05,0.016242828246540025,0.23848693072795868,0,108,0.5746351480484009,1
14,HeteroGCNMean,0.6842618236939112,0.6859978437423706,0.5875,0.531677794322494,0.698,5e-05,0.017738048861452162,0.23879817128181458,0,108,0.5746351480484009,1
15,HeteroGCNMean,0.6832165668408076,0.6865836381912231,0.5821428571428571,0.5185761524995137,0.675,5e-05,0.02069506091380818,0.32253220677375793,0,108,0.5746351480484009,1
16,HeteroGCNMean,0.6829525927702585,0.6845247149467468,0.5883928571428572,0.5278678998595709,0.633,5e-05,0.019509409098538846,0.1705029308795929,0,108,0.5746351480484009,1
17,HeteroGCNMean,0.6823862244685491,0.6818763017654419,0.5991071428571428,0.5527897401921348,0.63,5e-05,0.022148977298011057,0.2246018499135971,0,108,0.5746351480484009,1
18,HeteroGCNMean,0.6798163006703059,0.6825622320175171,0.5821428571428571,0.5185761524995137,0.635,5e-05,0.017443770575206217,0.25347650051116943,0,108,0.5746351480484009,1
19,HeteroGCNMean,0.6790990978479385,0.681106448173523,0.5821428571428571,0.5185761524995137,0.688,5e-05,0.0253499896558495,0.3734038770198822,0,108,0.5746351480484009,1
20,HeteroGCNMean,0.6792368690172831,0.6815357208251953,0.5821428571428571,0.5185761524995137,0.668,5e-05,0.020048647591590685,0.41717877984046936,0,108,0.5746351480484009,1
21,HeteroGCNMean,0.6787983775138855,0.6787099242210388,0.5946428571428571,0.537037037037037,0.67,5e-05,0.015361742334210013,0.13929158449172974,0,108,0.5746351480484009,1
22,HeteroGCNMean,0.6790907134612402,0.6744675636291504,0.6151785714285715,0.5855590348130411,0.656,5e-05,0.020582091061780872,0.22814324498176575,0,108,0.5746351480484009,1
23,HeteroGCNMean,0.6750840246677399,0.670400083065033,0.61875,0.5988032095743234,0.638,5e-05,0.020026830434325543,0.2352905571460724,0,108,0.5746351480484009,1
24,HeteroGCNMean,0.675069734454155,0.6706622838973999,0.6276785714285714,0.6013563049853372,0.669,5e-05,0.02610023731836454,0.34735867381095886,0,108,0.5746351480484009,1
25,HeteroGCNMean,0.6740041573842367,0.6676558256149292,0.6267857142857143,0.6031746031746031,0.642,5e-05,0.026287171600094607,0.5872073173522949,0,108,0.5746351480484009,1
26,HeteroGCNMean,0.6734646807114283,0.6704187989234924,0.6116071428571428,0.5699177438307873,0.636,5e-05,0.020983923115440405,0.2739031910896301,0,108,0.5746351480484009,1
27,HeteroGCNMean,0.6715972175200781,0.662554144859314,0.6241071428571429,0.6076839826839826,0.678,5e-05,0.023268936188341128,0.23070640861988068,0,108,0.5746351480484009,1
28,HeteroGCNMean,0.6725466350714365,0.6605501174926758,0.6312500000000001,0.6138036948371652,0.667,5e-05,0.020384277834494365,0.22674699127674103,0,108,0.5746351480484009,1
29,HeteroGCNMean,0.6712125688791275,0.6597402691841125,0.6330357142857144,0.6108506667880388,0.649,5e-05,0.02253313978411932,0.5729405879974365,0,108,0.5746351480484009,1
30,HeteroGCNMean,0.6714805612961451,0.6592891812324524,0.6205357142857143,0.5954285714285714,0.657,5e-05,0.021151270901599694,0.28903859853744507,0,108,0.5746351480484009,1
31,HeteroGCNMean,0.6662820428609848,0.6525501608848572,0.6428571428571428,0.6296296296296295,0.667,5e-05,0.02865904263436438,0.2866974174976349,0,108,0.5746351480484009,1
32,HeteroGCNMean,0.6676922837893168,0.6492637991905212,0.6616071428571428,0.6511003757380569,0.63,5e-05,0.026126781162804716,0.31746888160705566,0,108,0.5746351480484009,1
33,HeteroGCNMean,0.6673343678315481,0.6473682522773743,0.6553571428571429,0.643992655949129,0.64,5e-05,0.025042876184848937,0.38202589750289917,0,108,0.5746351480484009,1
34,HeteroGCNMean,0.6659140288829803,0.643746554851532,0.6544642857142857,0.6447562446936861,0.632,5e-05,0.024410826615666358,0.3419969379901886,0,108,0.5746351480484009,1
35,HeteroGCNMean,0.6619909107685089,0.6422842741012573,0.6491071428571429,0.6368364418938307,0.682,5e-05,0.031614021708746276,1.0230047702789307,0,108,0.5746351480484009,1
36,HeteroGCNMean,0.6561959683895111,0.6424920558929443,0.6428571428571428,0.6296296296296295,0.685,5e-05,0.03185753467447534,0.9804675579071045,0,108,0.5746351480484009,1
37,HeteroGCNMean,0.662111759185791,0.6312171220779419,0.6714285714285715,0.6664294609500089,0.631,5e-05,0.03296841653240799,0.4449613094329834,0,108,0.5746351480484009,1
38,HeteroGCNMean,0.6589609136184057,0.6310251355171204,0.6732142857142858,0.6657158138705652,0.642,5e-05,0.029173855455441048,0.32466641068458557,0,108,0.5746351480484009,1
39,HeteroGCNMean,0.6579074462254842,0.6274080276489258,0.6598214285714286,0.6523444464253878,0.659,5e-05,0.03544947211376697,0.6269268989562988,0,108,0.5746351480484009,1
40,HeteroGCNMean,0.6608037501573563,0.6237213015556335,0.6714285714285715,0.6664294609500089,0.655,5e-05,0.037147911711537175,1.1197057962417603,0,108,0.5746351480484009,1
41,HeteroGCNMean,0.6542171140511831,0.6262936592102051,0.6544642857142857,0.6447562446936861,0.673,5e-05,0.029633042514629494,0.8671738505363464,0,108,0.5746351480484009,1
42,HeteroGCNMean,0.6494464923938116,0.6182865500450134,0.6705357142857142,0.6666073968705548,0.707,5e-05,0.03375518551636596,0.5145419836044312,0,108,0.5746351480484009,1
43,HeteroGCNMean,0.6513623297214508,0.6172279119491577,0.6767857142857143,0.6733188141695187,0.664,5e-05,0.03119004675689069,0.36685919761657715,0,108,0.5746351480484009,1
44,HeteroGCNMean,0.6541910717884699,0.6182191967964172,0.6589285714285714,0.6527777777777777,0.638,5e-05,0.03203846823356905,0.5823739767074585,0,108,0.5746351480484009,1
