epoch,model,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,learning_rate,grad_norm_mean,grad_norm_max,is_best_epoch,best_epoch,best_val_loss,early_stopped
1,HeteroGCNMLPWeights,0.6895862072706223,0.6920480132102966,0.5442828816920027,0.5443615257048093,0.764,5e-05,0.011531752237661766,0.18983334302902222,0,90,0.628804624080658,1
2,HeteroGCNMLPWeights,0.6858071833848953,0.6883521676063538,0.4901685393258427,0.4730364734840009,0.706,5e-05,0.008908265588928514,0.11048851907253265,0,90,0.628804624080658,1
3,HeteroGCNMLPWeights,0.6850985685984293,0.6873201727867126,0.5195803040317251,0.5092237925417162,0.693,5e-05,0.009090031021096305,0.11324795335531235,0,90,0.628804624080658,1
4,HeteroGCNMLPWeights,0.6828039338191351,0.6874616146087646,0.541226040978189,0.5388839228706424,0.702,5e-05,0.007976426291534779,0.12269002944231033,0,90,0.628804624080658,1
5,HeteroGCNMLPWeights,0.6818283597628275,0.6866701245307922,0.5429610046265697,0.5414603174603174,0.689,5e-05,0.011162749754694055,0.15410497784614563,0,90,0.628804624080658,1
6,HeteroGCNMLPWeights,0.6812001119057337,0.6854100227355957,0.5520489094514209,0.5515793010752688,0.672,5e-05,0.010586331621261573,0.15056921541690826,0,90,0.628804624080658,1
7,HeteroGCNMLPWeights,0.6792964388926824,0.6835987567901611,0.5727858559153999,0.5710382513661202,0.675,5e-05,0.01095537116412343,0.26454344391822815,0,90,0.628804624080658,1
8,HeteroGCNMLPWeights,0.6780814131100973,0.6852321624755859,0.5551057501652346,0.5546557040082221,0.715,5e-05,0.011513194622117333,0.15501952171325684,0,90,0.628804624080658,1
9,HeteroGCNMLPWeights,0.6765848050514857,0.6822043061256409,0.5555188367481825,0.5556110556110556,0.684,5e-05,0.010757910958354105,0.1658567637205124,0,90,0.628804624080658,1
10,HeteroGCNMLPWeights,0.6761931528647741,0.6817488670349121,0.5702247191011236,0.5703980099502488,0.686,5e-05,0.014202318522043208,0.23086322844028473,0,90,0.628804624080658,1
11,HeteroGCNMLPWeights,0.6743848224480947,0.6819960474967957,0.5680766688697951,0.5675642343268242,0.699,5e-05,0.010870003021316249,0.1577095091342926,0,90,0.628804624080658,1
12,HeteroGCNMLPWeights,0.6736820538838705,0.6791725158691406,0.562871777924653,0.5630374278237029,0.693,5e-05,0.011733985122371546,0.21255774796009064,0,90,0.628804624080658,1
13,HeteroGCNMLPWeights,0.6706486493349075,0.6786912083625793,0.5702247191011236,0.5703980099502488,0.712,5e-05,0.01136918288861657,0.1892547756433487,0,90,0.628804624080658,1
14,HeteroGCNMLPWeights,0.6705906391143799,0.6789717674255371,0.5827825512227363,0.5816422744229902,0.687,5e-05,0.014656663056937627,0.28563421964645386,0,90,0.628804624080658,1
15,HeteroGCNMLPWeights,0.6693395127852758,0.6819810271263123,0.5841044282881692,0.5787804878048781,0.672,5e-05,0.013696219977651742,0.25682082772254944,0,90,0.628804624080658,1
16,HeteroGCNMLPWeights,0.6674153407414755,0.6788911819458008,0.584517514871117,0.5826687931951089,0.723,5e-05,0.015816442181974446,0.4129291772842407,0,90,0.628804624080658,1
17,HeteroGCNMLPWeights,0.6658337066570917,0.6733713746070862,0.5706378056840714,0.5702976967451261,0.689,5e-05,0.014372305016189338,0.20489999651908875,0,90,0.628804624080658,1
18,HeteroGCNMLPWeights,0.665060798327128,0.6790071725845337,0.5806345009914078,0.5775440313111546,0.674,5e-05,0.021428987819190278,0.341187059879303,0,90,0.628804624080658,1
19,HeteroGCNMLPWeights,0.6643426865339279,0.6766178607940674,0.5940185062789161,0.5933812949640288,0.929,5e-05,0.0175434947693622,0.343255877494812,0,90,0.628804624080658,1
20,HeteroGCNMLPWeights,0.6635783463716507,0.676250696182251,0.5866655651024455,0.5862977602108037,0.688,5e-05,0.01684328614499071,0.22564205527305603,0,90,0.628804624080658,1
