epoch,model,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,learning_rate,grad_norm_mean,grad_norm_max,is_best_epoch,best_epoch,best_val_loss,early_stopped
1,BasicGCN,0.6930121829112371,0.6937456130981445,0.5044642857142857,0.35157318741450067,1.206,5e-05,0.01858633182781397,0.11157719045877457,0,255,0.5160780549049377,1
2,BasicGCN,0.6905791411797205,0.6953641772270203,0.5,0.3181818181818182,0.515,5e-05,0.01898732429685296,0.13215534389019012,0,255,0.5160780549049377,1
3,BasicGCN,0.6886594394842783,0.6930615305900574,0.4830357142857143,0.3406946826758147,0.484,5e-05,0.021152253808657828,0.14819465577602386,0,255,0.5160780549049377,1
4,BasicGCN,0.6876779993375143,0.6905874609947205,0.5196428571428571,0.4178921568627451,0.53,5e-05,0.016920575838394843,0.12240973860025406,0,255,0.5160780549049377,1
5,BasicGCN,0.6855559150377909,0.687653124332428,0.5276785714285714,0.46469907407407407,0.515,5e-05,0.017985654067498944,0.12387895584106445,0,255,0.5160780549049377,1
6,BasicGCN,0.6843933214743932,0.6862165331840515,0.5455357142857143,0.49600113577208843,0.489,5e-05,0.020667972123098878,0.15268899500370026,0,255,0.5160780549049377,1
7,BasicGCN,0.6830410609642664,0.6848671436309814,0.5517857142857143,0.5048104131295982,0.501,5e-05,0.019889055738134723,0.1410667896270752,0,255,0.5160780549049377,1
8,BasicGCN,0.6811597347259521,0.6810995936393738,0.5982142857142857,0.5791855203619909,0.525,5e-05,0.01868871797526084,0.17842388153076172,0,255,0.5160780549049377,1
9,BasicGCN,0.6804772665103277,0.6789369583129883,0.5901785714285714,0.5745351402458241,0.5,5e-05,0.018353162586348705,0.11626113951206207,0,255,0.5160780549049377,1
10,BasicGCN,0.6797673503557841,0.6753971576690674,0.5794642857142857,0.5721162417543234,0.479,5e-05,0.02223958154550369,0.21240726113319397,0,255,0.5160780549049377,1
11,BasicGCN,0.6773966004451116,0.6737003326416016,0.5803571428571428,0.5714285714285714,0.498,5e-05,0.02084031837017765,0.15920935571193695,0,255,0.5160780549049377,1
12,BasicGCN,0.6768172681331635,0.6727235913276672,0.5874999999999999,0.5777291210509854,0.483,5e-05,0.021370109083340468,0.18588194251060486,0,255,0.5160780549049377,1
13,BasicGCN,0.6750706980625788,0.6699526309967041,0.5732142857142857,0.5651010303760203,0.5,5e-05,0.022858382270593818,0.24224801361560822,0,255,0.5160780549049377,1
14,BasicGCN,0.6740235586961111,0.6663141846656799,0.5848214285714286,0.5795328142380423,0.51,5e-05,0.02619692930024124,0.2595800757408142,0,255,0.5160780549049377,1
15,BasicGCN,0.6732727239529291,0.6646177172660828,0.5848214285714286,0.5795328142380423,0.54,5e-05,0.026211229294392232,0.2722737789154053,0,255,0.5160780549049377,1
16,BasicGCN,0.671819935242335,0.661085307598114,0.5964285714285715,0.5933152584559314,0.517,5e-05,0.019520555631760753,0.18494649231433868,0,255,0.5160780549049377,1
17,BasicGCN,0.6718278378248215,0.6606603264808655,0.6044642857142857,0.5997153531400107,0.507,5e-05,0.02357094976482935,0.17937801778316498,0,255,0.5160780549049377,1
18,BasicGCN,0.6697119226058325,0.6576917171478271,0.6035714285714286,0.5999288762446657,0.511,5e-05,0.021573697766703287,0.17611844837665558,0,255,0.5160780549049377,1
19,BasicGCN,0.6694992731014887,0.6564540863037109,0.5982142857142857,0.592880978865406,0.47,5e-05,0.027666886628466253,0.26369619369506836,0,255,0.5160780549049377,1
20,BasicGCN,0.6685460011164347,0.6527029275894165,0.5892857142857143,0.5866666666666667,0.498,5e-05,0.033280566859899316,0.23680639266967773,0,255,0.5160780549049377,1
21,BasicGCN,0.6672527690728506,0.6528284549713135,0.5982142857142857,0.592880978865406,0.488,5e-05,0.029634821443743516,0.33990946412086487,0,255,0.5160780549049377,1
22,BasicGCN,0.6678001036246618,0.6514779925346375,0.5982142857142857,0.592880978865406,0.518,5e-05,0.03405784670459793,0.30051660537719727,0,255,0.5160780549049377,1
23,BasicGCN,0.6667499343554179,0.6485635638237,0.6169642857142856,0.6132645803698435,0.514,5e-05,0.027739828892570078,0.2809838056564331,0,255,0.5160780549049377,1
24,BasicGCN,0.6663049608469009,0.6466023921966553,0.6026785714285714,0.6,0.472,5e-05,0.030593647274751373,0.32135504484176636,0,255,0.5160780549049377,1
25,BasicGCN,0.6641959398984909,0.645596444606781,0.6107142857142858,0.6065092703748166,0.525,5e-05,0.023105732121901104,0.2681730091571808,0,255,0.5160780549049377,1
26,BasicGCN,0.6635353416204453,0.6441726088523865,0.6178571428571429,0.6130581747020103,0.514,5e-05,0.03067080275501118,0.31710413098335266,0,255,0.5160780549049377,1
