model,fold_id,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,loss
Random,skf_0_P1_P14_P2_P27,aggregated,0.5280898876404494,0.5283176956944455,0.5282694295611827,0.5283176956944455,0.5279558011049723,0.5283176956944455,0.529167139164849,0.5280898876404494,0.528291017443665,0.5283176956944454,17.00936452070697
Random,skf_1_P17_P20_P8,aggregated,0.48249027237354086,0.482127698277953,0.48214285714285715,0.482127698277953,0.48210606060606065,0.48212769827795293,0.4827682045580879,0.48249027237354086,0.48260004716424953,0.48212769827795293,18.652941248064515
Random,skf_2_P13_P28_P30,aggregated,0.49691991786447637,0.4968882817243473,0.4968853399959484,0.4968882817243473,0.4967841251766095,0.4968882817243473,0.4968876451871836,0.49691991786447637,0.49680109926259286,0.49688828172434724,18.1328441074614
Random,skf_3_P19_P22_P4,aggregated,0.488272921108742,0.4887075052777171,0.48870462737102704,0.4887075052777171,0.48827059465357336,0.4887075052777171,0.4890787727983408,0.488272921108742,0.4882403507363812,0.48870750527771706,18.44451346138191
Random,skf_4_P10_P16_P5,aggregated,0.49506903353057197,0.4950046685340803,0.4950024909702329,0.4950046685340803,0.4949727626459144,0.49500466853408026,0.4950206389412345,0.49506903353057197,0.49501402159648195,0.49500466853408026,18.199556740855996
Random,skf_5_P21_P23_P24,aggregated,0.5300970873786408,0.5302975436055284,0.5302929728751169,0.5302975436055284,0.5300953156577082,0.5302975436055284,0.5305323884819211,0.5300970873786408,0.5301148045879667,0.5302975436055284,16.93701770906087
Random,skf_6_P18_P29_P7,aggregated,0.5322245322245323,0.530781752932036,0.5287899235267657,0.530781752932036,0.5226848727821221,0.530781752932036,0.5612866058210187,0.5322245322245323,0.5399404332441287,0.5307817529320359,16.860336824431098
Majority,skf_0_P1_P14_P2_P27,aggregated,0.5210674157303371,0.5,0.26053370786516855,0.5,0.3425669436749769,0.5,0.27151125173589197,0.5210674157303371,0.35700094411072036,0.5,17.26248006416987
Majority,skf_1_P17_P20_P8,aggregated,0.5175097276264592,0.5,0.2587548638132296,0.5,0.34102564102564104,0.5,0.26781631818801194,0.5175097276264592,0.35296817320163626,0.5,17.390712141052628
Majority,skf_2_P13_P28_P30,aggregated,0.5010266940451745,0.5,0.25051334702258726,0.5,0.3337893296853625,0.5,0.25102774814583695,0.5010266940451745,0.334474728719624,0.5,17.984820890257627
Majority,skf_3_P19_P22_P4,aggregated,0.4861407249466951,0.5,0.24307036247334754,0.5,0.32711621233859395,0.5,0.23633280445169824,0.4861407249466951,0.3180490252162022,0.5,18.52136560080433
Majority,skf_4_P10_P16_P5,aggregated,0.5029585798816568,0.5,0.2514792899408284,0.5,0.3346456692913386,0.5,0.25296733307657293,0.5029585798816568,0.3366258211806365,0.5,17.91518866678012
Majority,skf_5_P21_P23_P24,aggregated,0.4893203883495146,0.5,0.2446601941747573,0.5,0.3285528031290743,0.5,0.23943444245451975,0.4893203883495146,0.3215351704408805,0.5,18.406758915219047
