epoch,model,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,learning_rate,grad_norm_mean,grad_norm_max,is_best_epoch,best_epoch,best_val_loss,early_stopped
1,BasicGCN,0.6933679133653641,0.6872643828392029,0.5357142857142857,0.5353535353535354,1.248,5e-05,0.048481215298264796,0.4184577167034149,0,165,0.4963650405406952,1
2,BasicGCN,0.6817567646503448,0.6738722324371338,0.6133928571428572,0.6127136752136753,0.504,5e-05,0.05235959321105208,0.960446298122406,0,165,0.4963650405406952,1
3,BasicGCN,0.6761950850486755,0.6625253558158875,0.6544642857142857,0.6530866393880093,0.465,5e-05,0.0405383574211905,0.4371153712272644,0,165,0.4963650405406952,1
4,BasicGCN,0.6753402551015218,0.654934823513031,0.6875,0.6863181312569522,0.435,5e-05,0.04002682480155529,0.6083475351333618,0,165,0.4963650405406952,1
5,BasicGCN,0.6712667296330134,0.6504507064819336,0.6892857142857143,0.6866527401217832,0.425,5e-05,0.03973439910516436,0.6436324119567871,0,165,0.4963650405406952,1
6,BasicGCN,0.6572200904289881,0.645548403263092,0.6875,0.6863181312569522,0.463,5e-05,0.030445234043793627,0.3568095266819,0,165,0.4963650405406952,1
7,BasicGCN,0.6631676902373632,0.6411951780319214,0.6803571428571429,0.6794871794871795,0.43,5e-05,0.03262342268844338,0.4848402142524719,0,165,0.4963650405406952,1
8,BasicGCN,0.6435183137655258,0.6374992728233337,0.69375,0.6928418803418803,0.434,5e-05,0.03375038879914008,0.5407452583312988,0,165,0.4963650405406952,1
9,BasicGCN,0.6545865684747696,0.6336772441864014,0.6794642857142856,0.6790871813157426,0.447,5e-05,0.03651788108492418,0.8454179763793945,0,165,0.4963650405406952,1
10,BasicGCN,0.6492009709278742,0.6313893795013428,0.6723214285714285,0.6721530844373076,0.435,5e-05,0.03215486791510231,0.3280627131462097,0,165,0.4963650405406952,1
11,BasicGCN,0.6523664096991221,0.6310060024261475,0.6875,0.6863181312569522,0.447,5e-05,0.032612587450365445,0.5425360798835754,0,165,0.4963650405406952,1
12,BasicGCN,0.6526998927195867,0.6301667094230652,0.6812499999999999,0.6797722825120085,0.464,5e-05,0.03523966012345716,0.5512998700141907,0,165,0.4963650405406952,1
13,BasicGCN,0.6352473298708597,0.629467248916626,0.6883928571428571,0.6865412831799387,0.424,5e-05,0.03712484216745136,0.7908479571342468,0,165,0.4963650405406952,1
14,BasicGCN,0.6414132714271545,0.6303306818008423,0.6892857142857143,0.6866527401217832,0.424,5e-05,0.03665125285918363,0.7564643025398254,0,165,0.4963650405406952,1
15,BasicGCN,0.6560911933581034,0.6322395205497742,0.6839285714285714,0.6799431009957326,0.424,5e-05,0.039015851300530646,0.8373609781265259,0,165,0.4963650405406952,1
16,BasicGCN,0.650208647052447,0.6326332688331604,0.6714285714285715,0.6664294609500089,0.448,5e-05,0.03208690843213191,0.6721033453941345,0,165,0.4963650405406952,1
17,BasicGCN,0.6553386350472769,0.6299880743026733,0.6785714285714286,0.6729699666295884,0.417,5e-05,0.038518227890003455,0.7795553803443909,0,165,0.4963650405406952,1
18,BasicGCN,0.6353511810302734,0.6263175010681152,0.6705357142857142,0.6666073968705548,0.462,5e-05,0.03792270064579312,0.5595669746398926,0,165,0.4963650405406952,1
19,BasicGCN,0.6318335632483164,0.623688280582428,0.6758928571428571,0.6733188141695187,0.444,5e-05,0.03319693688062659,0.5087020993232727,0,165,0.4963650405406952,1
20,BasicGCN,0.6360758592685064,0.6206755638122559,0.6821428571428572,0.6799431009957326,0.438,5e-05,0.04387912876728268,0.8058620691299438,0,165,0.4963650405406952,1
21,BasicGCN,0.6356734385093054,0.6231163144111633,0.6705357142857142,0.6666073968705548,0.469,5e-05,0.03899166201326574,0.7938353419303894,0,165,0.4963650405406952,1
22,BasicGCN,0.6571124941110611,0.6259540915489197,0.6857142857142857,0.6794871794871795,0.433,5e-05,0.046134853968070294,1.237375020980835,0,165,0.4963650405406952,1
23,BasicGCN,0.6429009338219961,0.6242578029632568,0.6857142857142857,0.6794871794871795,0.438,5e-05,0.03618567275708092,0.8357385396957397,0,165,0.4963650405406952,1
24,BasicGCN,0.6190738702813784,0.620225191116333,0.6910714285714286,0.6865412831799387,0.448,5e-05,0.03936369619616296,0.7966546416282654,0,165,0.4963650405406952,1
25,BasicGCN,0.6210936407248179,0.6162541508674622,0.6973214285714285,0.6932788051209103,0.437,5e-05,0.035978993552094045,0.5339563488960266,0,165,0.4963650405406952,1
26,BasicGCN,0.6270989129940668,0.6185096502304077,0.6910714285714286,0.6865412831799387,0.428,5e-05,0.03046724100894584,0.41165977716445923,0,165,0.4963650405406952,1
27,BasicGCN,0.6351237495740255,0.6196296811103821,0.70625,0.6993452407465146,0.434,5e-05,0.03968192150219133,0.8600314855575562,0,165,0.4963650405406952,1
28,BasicGCN,0.6265277961889902,0.6213640570640564,0.7151785714285714,0.7047772410091251,0.462,5e-05,0.033036113826547545,0.7355280518531799,0,165,0.4963650405406952,1
29,BasicGCN,0.6257282892862955,0.6189627647399902,0.7214285714285714,0.7117833683363868,0.43,5e-05,0.03212040191717209,0.6435370445251465,0,165,0.4963650405406952,1
30,BasicGCN,0.6488763143618902,0.6171370148658752,0.7071428571428571,0.6989160979526294,0.428,5e-05,0.03879993691029645,0.8781306743621826,0,165,0.4963650405406952,1
31,BasicGCN,0.6226399292548498,0.614116370677948,0.7071428571428571,0.6989160979526294,0.438,5e-05,0.041569674885464244,0.6599687337875366,0,165,0.4963650405406952,1
32,BasicGCN,0.6254889120658239,0.6112452149391174,0.7133928571428572,0.7058299162060973,0.452,5e-05,0.03886247954002242,0.7475828528404236,0,165,0.4963650405406952,1
33,BasicGCN,0.6198933025201162,0.6109308004379272,0.7133928571428572,0.7058299162060973,0.422,5e-05,0.03753262667865224,0.5612655878067017,0,165,0.4963650405406952,1
34,BasicGCN,0.6358260760704676,0.6085543036460876,0.7125,0.7061965811965811,0.464,5e-05,0.03767267482360181,0.7951259016990662,0,165,0.4963650405406952,1
35,BasicGCN,0.6228103339672089,0.6053453683853149,0.7250000000000001,0.7198007471980075,0.433,5e-05,0.0411514655875297,0.8643888235092163,0,165,0.4963650405406952,1
36,BasicGCN,0.6241230219602585,0.6031180024147034,0.7250000000000001,0.7198007471980075,0.468,5e-05,0.05047874895400384,1.048749566078186,0,165,0.4963650405406952,1
37,BasicGCN,0.6337872942288717,0.6015099287033081,0.73125,0.7265572895824997,0.425,5e-05,0.05981122081326854,1.5114715099334717,0,165,0.4963650405406952,1
38,BasicGCN,0.6336484650770823,0.598322331905365,0.73125,0.7265572895824997,0.434,5e-05,0.042147789758765174,0.6390975117683411,0,165,0.4963650405406952,1
39,BasicGCN,0.6069825366139412,0.5986884832382202,0.73125,0.7265572895824997,0.443,5e-05,0.039373089350052536,0.5814877152442932,0,165,0.4963650405406952,1
40,BasicGCN,0.6168554276227951,0.5987012982368469,0.73125,0.7265572895824997,0.437,5e-05,0.043689968233966515,0.9336310029029846,0,165,0.4963650405406952,1
41,BasicGCN,0.6278956234455109,0.5991322994232178,0.73125,0.7265572895824997,0.424,5e-05,0.03823005121956577,0.6669845581054688,0,165,0.4963650405406952,1
