epoch,model,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,learning_rate,grad_norm_mean,grad_norm_max,is_best_epoch,best_epoch,best_val_loss,early_stopped
1,HeteroGCNMean,0.6912409464518229,0.6678478121757507,0.6758928571428572,0.6763172091350476,0.661,5e-05,0.03826860049661727,0.4366599917411804,0,91,0.5439720749855042,1
2,HeteroGCNMean,0.6673335333665212,0.656549870967865,0.6651785714285714,0.6651785714285714,0.598,5e-05,0.03780378520971628,0.8939516544342041,0,91,0.5439720749855042,1
3,HeteroGCNMean,0.6672270447015762,0.6480806469917297,0.6339285714285714,0.6329254727474972,0.637,5e-05,0.02828560094665626,0.43961262702941895,0,91,0.5439720749855042,1
4,HeteroGCNMean,0.6751267413298289,0.6438342332839966,0.6285714285714286,0.6266002844950214,0.604,5e-05,0.029465058397305507,0.6958740949630737,0,91,0.5439720749855042,1
5,HeteroGCNMean,0.659915010134379,0.6423773765563965,0.6357142857142857,0.633317036312725,0.596,5e-05,0.028022783941071563,0.520530641078949,0,91,0.5439720749855042,1
6,HeteroGCNMean,0.6533540040254593,0.6419519186019897,0.6294642857142857,0.6266666666666667,0.636,5e-05,0.02357104737586947,0.42785102128982544,0,91,0.5439720749855042,1
7,HeteroGCNMean,0.6500579963127772,0.6391568779945374,0.6294642857142857,0.6266666666666667,0.6,5e-05,0.023468252835585846,0.48685044050216675,0,91,0.5439720749855042,1
8,HeteroGCNMean,0.6408070574204127,0.6351708769798279,0.6419642857142858,0.6399359886201992,0.583,5e-05,0.02477999104413874,0.6259102821350098,0,91,0.5439720749855042,1
9,HeteroGCNMean,0.6541275183359782,0.6311442852020264,0.6482142857142856,0.6465252767773777,0.618,5e-05,0.0216775607275885,0.45570099353790283,0,91,0.5439720749855042,1
10,HeteroGCNMean,0.6391666680574417,0.6283878087997437,0.6544642857142857,0.6530866393880093,0.584,5e-05,0.026469730192926075,0.621198832988739,0,91,0.5439720749855042,1
11,HeteroGCNMean,0.6418961932261785,0.6251001954078674,0.6464285714285715,0.6458955057681173,0.616,5e-05,0.022236355951285005,0.48203757405281067,0,91,0.5439720749855042,1
12,HeteroGCNMean,0.6653334945440292,0.6231006979942322,0.6464285714285715,0.6458955057681173,0.584,5e-05,0.0278709234483483,0.8622366189956665,0,91,0.5439720749855042,1
13,HeteroGCNMean,0.6578256885210673,0.622077226638794,0.6535714285714286,0.6527777777777777,0.613,5e-05,0.02613551518713982,0.5854539275169373,0,91,0.5439720749855042,1
14,HeteroGCNMean,0.6513769626617432,0.6222485899925232,0.6544642857142857,0.6530866393880093,0.588,5e-05,0.030242852076156068,0.7936701774597168,0,91,0.5439720749855042,1
15,HeteroGCNMean,0.6486865133047104,0.6208938360214233,0.6616071428571428,0.6598639455782312,0.584,5e-05,0.027124565931676354,0.6663659811019897,0,91,0.5439720749855042,1
16,HeteroGCNMean,0.6377426832914352,0.6218686699867249,0.6616071428571428,0.6598639455782312,0.6,5e-05,0.02409173557038337,0.5230897068977356,0,91,0.5439720749855042,1
17,HeteroGCNMean,0.6476386586825053,0.6212155818939209,0.66875,0.6666073968705548,0.591,5e-05,0.023769813437134944,0.3002413213253021,0,91,0.5439720749855042,1
18,HeteroGCNMean,0.659057542681694,0.6198239326477051,0.66875,0.6666073968705548,0.622,5e-05,0.036060397223349465,1.1905817985534668,0,91,0.5439720749855042,1
19,HeteroGCNMean,0.6273580516378084,0.6158562302589417,0.66875,0.6666073968705548,0.604,5e-05,0.029281519733986527,0.6329522132873535,0,91,0.5439720749855042,1
20,HeteroGCNMean,0.6425455113252004,0.6124498248100281,0.66875,0.6666073968705548,0.582,5e-05,0.021794920044568223,0.39578425884246826,0,91,0.5439720749855042,1
21,HeteroGCNMean,0.6445991595586141,0.612869143486023,0.6901785714285714,0.6866527401217832,0.66,5e-05,0.0276440025128139,0.6343036890029907,0,91,0.5439720749855042,1
22,HeteroGCNMean,0.6260056694348654,0.6150625348091125,0.6919642857142858,0.6863181312569522,0.691,5e-05,0.02865406033894639,0.6250725984573364,0,91,0.5439720749855042,1
23,HeteroGCNMean,0.6355351507663727,0.616943359375,0.7071428571428571,0.6989160979526294,0.622,5e-05,0.029922270693657313,0.5850242972373962,0,91,0.5439720749855042,1
24,HeteroGCNMean,0.6417396515607834,0.6184546947479248,0.7142857142857143,0.7053571428571428,0.62,5e-05,0.025351948461035386,0.42381227016448975,0,91,0.5439720749855042,1
25,HeteroGCNMean,0.622723658879598,0.6150659322738647,0.7142857142857143,0.7053571428571428,0.6,5e-05,0.026529015037447288,0.42438891530036926,0,91,0.5439720749855042,1
26,HeteroGCNMean,0.6344370047251383,0.6099326610565186,0.7071428571428571,0.6989160979526294,0.58,5e-05,0.02929170178063656,0.6757311224937439,0,91,0.5439720749855042,1
27,HeteroGCNMean,0.6323562612136205,0.6048921942710876,0.6991071428571429,0.6928418803418803,0.62,5e-05,0.02921510346291767,0.7896605134010315,0,91,0.5439720749855042,1
28,HeteroGCNMean,0.6345438013474146,0.6060843467712402,0.7142857142857143,0.7053571428571428,0.604,5e-05,0.03584686493598508,0.9683347940444946,0,91,0.5439720749855042,1
29,HeteroGCNMean,0.6118891363342603,0.6124346852302551,0.7428571428571429,0.7309899569583931,0.594,5e-05,0.03155940006210728,0.706378698348999,0,91,0.5439720749855042,1
30,HeteroGCNMean,0.6242818534374237,0.6102561354637146,0.7357142857142858,0.7245980923380055,0.686,5e-05,0.032203687195849894,0.9091253280639648,0,91,0.5439720749855042,1
31,HeteroGCNMean,0.6321761508782705,0.6040713787078857,0.7214285714285714,0.7117833683363868,0.622,5e-05,0.02926404779406998,0.6371576189994812,0,91,0.5439720749855042,1
32,HeteroGCNMean,0.6361170808474222,0.5985090136528015,0.7125,0.7061965811965811,0.599,5e-05,0.03267956836073912,0.7352526783943176,0,91,0.5439720749855042,1
33,HeteroGCNMean,0.6204634706179301,0.6009141206741333,0.7205357142857143,0.7122976047102904,0.635,5e-05,0.03666669217893607,0.9588371515274048,0,91,0.5439720749855042,1
34,HeteroGCNMean,0.6266489426294962,0.5987691283226013,0.7205357142857143,0.7122976047102904,0.641,5e-05,0.030118181289449864,0.38358405232429504,0,91,0.5439720749855042,1
35,HeteroGCNMean,0.6221120059490204,0.5996185541152954,0.7276785714285714,0.71875,0.681,5e-05,0.030649510086589667,0.7107819318771362,0,91,0.5439720749855042,1
36,HeteroGCNMean,0.6248272657394409,0.59988933801651,0.7428571428571429,0.7309899569583931,0.618,5e-05,0.03851486919131061,0.9223697185516357,0,91,0.5439720749855042,1
