epoch,model,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,learning_rate,grad_norm_mean,grad_norm_max,is_best_epoch,best_epoch,best_val_loss,early_stopped
1,HeteroGCNMLPWeights,0.6837553928295771,0.6717014312744141,0.5848479841374752,0.5727503628447025,0.76,5e-05,0.0233384602342637,0.27388623356819153,0,40,0.6125226616859436,1
2,HeteroGCNMLPWeights,0.6675993005434672,0.6616718173027039,0.5645241242564442,0.5492822966507177,0.683,5e-05,0.017788133275431894,0.22896705567836761,0,40,0.6125226616859436,1
3,HeteroGCNMLPWeights,0.6589084267616272,0.656904399394989,0.5662590879048248,0.5534335635920358,0.674,5e-05,0.016653526737823426,0.20954637229442596,0,40,0.6125226616859436,1
4,HeteroGCNMLPWeights,0.6532723059256872,0.6552198529243469,0.5662590879048248,0.5534335635920358,0.701,5e-05,0.013077529562060776,0.16496732831001282,0,40,0.6125226616859436,1
5,HeteroGCNMLPWeights,0.6509820024172465,0.6552093625068665,0.5662590879048248,0.5534335635920358,0.687,5e-05,0.010071142300932699,0.13690708577632904,0,40,0.6125226616859436,1
6,HeteroGCNMLPWeights,0.6503093938032786,0.6542965769767761,0.5662590879048248,0.5534335635920358,0.698,5e-05,0.014310947852065563,0.1659943163394928,0,40,0.6125226616859436,1
7,HeteroGCNMLPWeights,0.6472974816958109,0.653145968914032,0.5736120290812954,0.5624775260697591,0.709,5e-05,0.011589427688002469,0.13647541403770447,0,40,0.6125226616859436,1
8,HeteroGCNMLPWeights,0.6455979943275452,0.650734543800354,0.5753469927296762,0.5662210338680926,0.672,5e-05,0.00930921499460718,0.10290754586458206,0,40,0.6125226616859436,1
9,HeteroGCNMLPWeights,0.645569235086441,0.6489443182945251,0.5770819563780569,0.5697489391796322,0.695,5e-05,0.01161533290991947,0.18138514459133148,0,40,0.6125226616859436,1
10,HeteroGCNMLPWeights,0.6420153578122457,0.64673912525177,0.5658460013218771,0.5592982456140351,0.691,5e-05,0.013465467621026338,0.1725521981716156,0,40,0.6125226616859436,1
11,HeteroGCNMLPWeights,0.6417225450277328,0.6453710794448853,0.5658460013218771,0.5592982456140351,0.67,5e-05,0.011716089849822225,0.15350612998008728,0,40,0.6125226616859436,1
12,HeteroGCNMLPWeights,0.6401198854049047,0.6434643268585205,0.5658460013218771,0.5592982456140351,0.688,5e-05,0.011946394519082082,0.14789876341819763,0,40,0.6125226616859436,1
13,HeteroGCNMLPWeights,0.6390246202548345,0.6414927840232849,0.5731989424983477,0.5677954992353069,0.668,5e-05,0.01097596632962669,0.20587053894996643,0,40,0.6125226616859436,1
14,HeteroGCNMLPWeights,0.6376809527476629,0.6398422122001648,0.5714639788499669,0.5645225201426496,0.671,5e-05,0.01374601658924314,0.16320185363292694,0,40,0.6125226616859436,1
15,HeteroGCNMLPWeights,0.634369487563769,0.6383410692214966,0.5770819563780569,0.5697489391796322,0.69,5e-05,0.01350061959442004,0.16410525143146515,0,40,0.6125226616859436,1
16,HeteroGCNMLPWeights,0.6342209577560425,0.6364880204200745,0.5805518836748182,0.5761929641239986,0.699,5e-05,0.013979046794151918,0.2076021134853363,0,40,0.6125226616859436,1
17,HeteroGCNMLPWeights,0.6332457512617111,0.6351206302642822,0.5693159286186384,0.5655482531995849,0.688,5e-05,0.014444898141373381,0.21161474287509918,0,40,0.6125226616859436,1
18,HeteroGCNMLPWeights,0.6300483594338099,0.6339887976646423,0.5693159286186384,0.5655482531995849,0.655,5e-05,0.015191140322574475,0.17614585161209106,0,40,0.6125226616859436,1
19,HeteroGCNMLPWeights,0.6290182123581568,0.6323992609977722,0.5749339061467283,0.5708707536118705,0.672,5e-05,0.014783960594443145,0.1996481567621231,0,40,0.6125226616859436,1
20,HeteroGCNMLPWeights,0.6288747489452362,0.6304378509521484,0.5784038334434898,0.5764569862544426,0.675,5e-05,0.015065076792237564,0.17187301814556122,0,40,0.6125226616859436,1
21,HeteroGCNMLPWeights,0.6261018713315328,0.6288998126983643,0.5710508922670192,0.5683848797250859,0.687,5e-05,0.014271962205870294,0.17654822766780853,0,40,0.6125226616859436,1
22,HeteroGCNMLPWeights,0.6260567108790079,0.6272411942481995,0.5931097157964309,0.5923466564508577,0.69,5e-05,0.01750503490930552,0.37601548433303833,0,40,0.6125226616859436,1
23,HeteroGCNMLPWeights,0.62332916756471,0.6258718967437744,0.6004626569729015,0.6001697792869269,0.658,5e-05,0.018491003875967475,0.26896440982818604,0,40,0.6125226616859436,1
24,HeteroGCNMLPWeights,0.6221506297588348,0.6246696710586548,0.6004626569729015,0.6001697792869269,0.7,5e-05,0.01907457523790131,0.29835188388824463,0,40,0.6125226616859436,1
25,HeteroGCNMLPWeights,0.6206660320361456,0.6228554844856262,0.6004626569729015,0.6001697792869269,0.668,5e-05,0.01706651784906983,0.2648315131664276,0,40,0.6125226616859436,1
26,HeteroGCNMLPWeights,0.6198699871699015,0.6210753917694092,0.6207865168539326,0.6212063492063492,0.674,5e-05,0.01570831244757877,0.28995099663734436,0,40,0.6125226616859436,1
27,HeteroGCNMLPWeights,0.6167585551738739,0.6200578808784485,0.6207865168539326,0.6212063492063492,0.669,5e-05,0.01675058509036947,0.22816884517669678,0,40,0.6125226616859436,1
