model,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,loss
Random,aggregated,0.5075948074458505,0.5074464494351583,0.5071553773490187,0.5074464494351583,0.5061242189467087,0.5074464494351583,0.5121059135646623,0.5075948074458505,0.5087145391479237,0.5074464494351582,17.74808208742325
Majority,aggregated,0.5208403083483522,0.5,0.2604201541741761,0.5,0.34191323428763454,0.5,0.273328050661293,0.5208403083483522,0.3578541481214352,0.5,17.270665843928242
LightGBM,aggregated,0.6956831170617795,0.6954878828403006,0.709521339307772,0.6954878828403006,0.6880107400339268,0.7822842988647388,0.7136876999566244,0.6956831170617795,0.6901193934240458,0.7822842988647388,0.5816145427528516
SVM,aggregated,0.7052366788043108,0.7030330950257638,0.718958241662554,0.7030330950257638,0.6965721323794257,0.7807075764137288,0.7222811351297277,0.7052366788043108,0.6992699307957759,0.7807075764137288,0.5812192163666134
MLP,aggregated,0.6870851173342352,0.6845514738384461,0.7058487505157106,0.6845514738384461,0.6757637207396022,0.7782107139536707,0.7093267769543063,0.6870851173342352,0.6786954971026583,0.7782107139536708,0.5925085273708658
MOMENT_GazeMAE_gaze_pupil,aggregated,0.6557288588774027,0.659132790353313,0.6648572362806756,0.659132790353313,0.652481653578045,0.7303965062275228,0.6702405059862617,0.6557288588774027,0.65353243547424,0.7303965062275227,0.7349259358946473
BasicGCN,aggregated,0.6542522662632597,0.6506753918674816,0.6723605704625916,0.6506753918674816,0.6392471537454273,0.7313657101854184,0.6755810992553296,0.6542522662632597,0.6425297143655844,0.7313657101854185,0.6986727402323768
HeteroGCNMean,aggregated,0.6383172967331715,0.6326185411799499,0.6659872054655935,0.6326185411799499,0.6111455138905036,0.7278437010934039,0.6690507117908355,0.6383172967331715,0.6157673242833902,0.727843701093404,0.7045410360608783
HeteroGCNMLP,aggregated,0.6424875596848637,0.6378746109111467,0.6552599169121434,0.6378746109111467,0.6284189669211113,0.7227482818669697,0.6580631197417934,0.6424875596848637,0.6321233881512319,0.7227482818669698,0.68929047811599
HeteroGCNMLPWeights,aggregated,0.6549581530472829,0.6515424836028939,0.6657979117225212,0.6515424836028939,0.6438413888466991,0.7323054003136363,0.669237203607036,0.6549581530472829,0.6471664612993873,0.7323054003136363,0.680121525412514
