model,fold_id,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,loss
Random,skf_0_P1_P14_P2_P27,aggregated,0.5280898876404494,0.5283176956944455,0.5282694295611827,0.5283176956944455,0.5279558011049723,0.5283176956944455,0.529167139164849,0.5280898876404494,0.528291017443665,0.5283176956944454,17.00936452070697
Random,skf_1_P17_P20_P8,aggregated,0.48249027237354086,0.482127698277953,0.48214285714285715,0.482127698277953,0.48210606060606065,0.48212769827795293,0.4827682045580879,0.48249027237354086,0.48260004716424953,0.48212769827795293,18.652941248064515
Random,skf_2_P13_P28_P30,aggregated,0.49691991786447637,0.4968882817243473,0.4968853399959484,0.4968882817243473,0.4967841251766095,0.4968882817243473,0.4968876451871836,0.49691991786447637,0.49680109926259286,0.49688828172434724,18.1328441074614
Random,skf_3_P19_P22_P4,aggregated,0.4936708860759494,0.4939797663151895,0.49397719173200283,0.4939797663151895,0.49366187152827234,0.4939797663151895,0.49419598148632676,0.4936708860759494,0.4936167987898871,0.4939797663151895,18.24995108309729
Random,skf_4_P10_P16_P5,aggregated,0.4921259842519685,0.4920324900793651,0.4920285359801489,0.4920324900793651,0.492,0.49203249007936506,0.4920610187374221,0.4921259842519685,0.49206299212598426,0.4920324900793651,18.30563498896107
Random,skf_5_P21_P23_P24,aggregated,0.5300970873786408,0.5302975436055284,0.5302929728751169,0.5302975436055284,0.5300953156577082,0.5302975436055284,0.5305323884819211,0.5300970873786408,0.5301148045879667,0.5302975436055284,16.93701770906087
Random,skf_6_P18_P29_P7,aggregated,0.5269709543568465,0.5254531039696149,0.523783271599621,0.5254531039696149,0.517364953886693,0.5254531039696149,0.5567226600909511,0.5269709543568465,0.5348817782734435,0.5254531039696149,17.0496949641467
Majority,skf_0_P1_P14_P2_P27,aggregated,0.5210674157303371,0.5,0.26053370786516855,0.5,0.3425669436749769,0.5,0.27151125173589197,0.5210674157303371,0.35700094411072036,0.5,17.26248006416987
Majority,skf_1_P17_P20_P8,aggregated,0.5175097276264592,0.5,0.2587548638132296,0.5,0.34102564102564104,0.5,0.26781631818801194,0.5175097276264592,0.35296817320163626,0.5,17.390712141052628
Majority,skf_2_P13_P28_P30,aggregated,0.5010266940451745,0.5,0.25051334702258726,0.5,0.3337893296853625,0.5,0.25102774814583695,0.5010266940451745,0.334474728719624,0.5,17.984820890257627
Majority,skf_3_P19_P22_P4,aggregated,0.48945147679324896,0.5,0.24472573839662448,0.5,0.3286118980169972,0.5,0.23956274813509232,0.48945147679324896,0.3216791575525036,0.5,18.402034008789766
Majority,skf_4_P10_P16_P5,aggregated,0.5039370078740157,0.5,0.25196850393700787,0.5,0.33507853403141363,0.5,0.25395250790501583,0.5039370078740157,0.33771694768520427,0.5,17.87992254735732
Majority,skf_5_P21_P23_P24,aggregated,0.4893203883495146,0.5,0.2446601941747573,0.5,0.3285528031290743,0.5,0.23943444245451975,0.4893203883495146,0.3215351704408805,0.5,18.406758915219047
