epoch,model,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,learning_rate,grad_norm_mean,grad_norm_max,is_best_epoch,best_epoch,best_val_loss,early_stopped
1,BasicGCN,0.670776387055715,0.6656585335731506,0.5442002643754131,0.5255494505494506,1.055,5e-05,0.03828521141419445,0.2838636040687561,0,2,0.6648786664009094,1
2,BasicGCN,0.6641056289275488,0.6648786664009094,0.5589061467283543,0.5442670537010159,0.451,5e-05,0.030695002067286394,0.28568094968795776,1,2,0.6648786664009094,1
3,BasicGCN,0.6595157484213511,0.6651462912559509,0.5736120290812954,0.5624775260697591,0.451,5e-05,0.02809774000427122,0.2098722606897354,0,2,0.6648786664009094,1
4,BasicGCN,0.6581661949555079,0.6660630106925964,0.5809649702577661,0.571402998433654,0.424,5e-05,0.026599883984650106,0.21118448674678802,0,2,0.6648786664009094,1
5,BasicGCN,0.6558758517106374,0.6656091809272766,0.6030237937871777,0.597507072135785,0.387,5e-05,0.026721371048971865,0.21242886781692505,0,2,0.6648786664009094,1
6,BasicGCN,0.6542889376481374,0.6657862663269043,0.6030237937871777,0.597507072135785,0.407,5e-05,0.023975081121068054,0.16835539042949677,0,2,0.6648786664009094,1
7,BasicGCN,0.6539982606967291,0.666059672832489,0.5991407799074686,0.5952370548394145,0.417,5e-05,0.02739900597999879,0.19878949224948883,0,2,0.6648786664009094,1
8,BasicGCN,0.6545177648464838,0.6656962633132935,0.5879048248512888,0.5844939042908586,0.415,5e-05,0.02297405628073297,0.1634949892759323,0,2,0.6648786664009094,1
9,BasicGCN,0.6521431108315786,0.6658735275268555,0.5879048248512888,0.5844939042908586,0.397,5e-05,0.02473717203501553,0.17924705147743225,0,2,0.6648786664009094,1
10,BasicGCN,0.6530732015768687,0.6659010648727417,0.5822868473231989,0.5791248702870979,0.399,5e-05,0.0269135905310134,0.2642034590244293,0,2,0.6648786664009094,1
11,BasicGCN,0.650780200958252,0.665739119052887,0.5896397884996695,0.5872872225813403,0.417,5e-05,0.02506992659369317,0.22226472198963165,0,2,0.6648786664009094,1
12,BasicGCN,0.6516822725534439,0.6660757064819336,0.5784038334434898,0.5764569862544426,0.418,5e-05,0.024751858125688534,0.17943882942199707,0,2,0.6648786664009094,1
13,BasicGCN,0.6508532762527466,0.6659992337226868,0.5710508922670192,0.5683848797250859,0.412,5e-05,0.0269381088750472,0.2424255609512329,0,2,0.6648786664009094,1
14,BasicGCN,0.6498169551293055,0.6663017272949219,0.576668869795109,0.5737556561085972,0.412,5e-05,0.027528599761866737,0.2493113875389099,0,2,0.6648786664009094,1
15,BasicGCN,0.6508317639430364,0.6662154793739319,0.5784038334434898,0.5764569862544426,0.384,5e-05,0.026761374937193928,0.29065680503845215,0,2,0.6648786664009094,1
16,BasicGCN,0.6501696854829788,0.6655176281929016,0.5784038334434898,0.5764569862544426,0.392,5e-05,0.027423896002848128,0.2105211317539215,0,2,0.6648786664009094,1
17,BasicGCN,0.6490837683280309,0.6658411026000977,0.576668869795109,0.5737556561085972,0.405,5e-05,0.027263097748800643,0.2023647129535675,0,2,0.6648786664009094,1
18,BasicGCN,0.6499143540859222,0.6654277443885803,0.576668869795109,0.5737556561085972,0.399,5e-05,0.024628688288057445,0.2083715796470642,0,2,0.6648786664009094,1
19,BasicGCN,0.6493858297665914,0.6656008362770081,0.576668869795109,0.5737556561085972,0.416,5e-05,0.02755597367558948,0.19344288110733032,0,2,0.6648786664009094,1
20,BasicGCN,0.6473673035701116,0.6654898524284363,0.5710508922670192,0.5683848797250859,0.401,5e-05,0.02347851229787688,0.1702115833759308,0,2,0.6648786664009094,1
21,BasicGCN,0.6479994008938471,0.6655230522155762,0.5710508922670192,0.5683848797250859,0.412,5e-05,0.03046688733196881,0.22663378715515137,0,2,0.6648786664009094,1
22,BasicGCN,0.6480766137441,0.6653944849967957,0.5784038334434898,0.5764569862544426,0.399,5e-05,0.033056695390256116,0.2948598563671112,0,2,0.6648786664009094,1
