model,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,loss
Random,aggregated,0.5071949985631246,0.5070137970952062,0.5067685141266969,0.5070137970952062,0.5057097325657595,0.5070137970952062,0.5117621482438202,0.5071949985631246,0.5083383625211126,0.5070137970952062,17.762492660214114
Majority,aggregated,0.5215633451161344,0.5,0.2607816725580672,0.5,0.34223034438713745,0.5,0.27406879718982385,0.5215633451161344,0.35866600145799393,0.5,17.24460495728271
LightGBM,aggregated,0.6306245562459365,0.6274013278903823,0.6372520925463044,0.6274013278903823,0.6189987598287933,0.6874015420544562,0.6408499865380669,0.6306245562459365,0.6223303576221607,0.6874015420544562,0.6492784249993099
SVM,aggregated,0.6206447185645096,0.6167019737658981,0.6290204437865148,0.6167019737658981,0.6072075322260577,0.6650443999218004,0.6327765765164839,0.6206447185645096,0.6109734316804397,0.6650443999218004,0.655348439801695
MLP,aggregated,0.6199279133454964,0.6153216929557258,0.6358061629234462,0.6153216929557258,0.6030034855988741,0.6763717231385865,0.6391107410514335,0.6199279133454964,0.6066995169797683,0.6763717231385865,0.6658497415847382
MOMENT_pupil,aggregated,0.6047737021599708,0.6057047402817032,0.6077202373408254,0.6057047402817032,0.6008432291293861,0.648596498116163,0.6126751082620377,0.6047737021599708,0.6029498533387859,0.648596498116163,0.6773973949429178
BasicGCN,aggregated,0.6104819210471736,0.6067410055761372,0.6509254544459383,0.6067410055761372,0.5835936854137552,0.6746923745865304,0.6554708891438812,0.6104819210471736,0.5873030781968797,0.6746923745865302,0.6758531615847633
HeteroGCNMean,aggregated,0.5858081282979121,0.5829755377969621,0.6149229848908261,0.5829755377969621,0.5572952921174207,0.6449574314050006,0.6198926661155667,0.5858081282979121,0.5607457714889366,0.6449574314050006,0.6797102845850445
HeteroGCNMLP,aggregated,0.591479663980501,0.58779789266024,0.6270650714558436,0.58779789266024,0.5603349586724642,0.6492626347807552,0.6316534697552708,0.591479663980501,0.5640432381218277,0.6492626347807551,0.6714278516315277
HeteroGCNMLPWeights,aggregated,0.5842472444175638,0.5806995569832977,0.6241119414242574,0.5806995569832977,0.5446767337975285,0.6643181350200146,0.6286125299078661,0.5842472444175638,0.5484001469215979,0.6643183044229596,0.675448647567204
