signal_set,signal_set_description,experiment_id,experiment_display_name,cv_strategy,source_model,split,fold,class_index,class_name,count,total,proportion
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_0_P1_P14_P2_P27,0,Low valence,370,709,0.5218617771509168
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_0_P1_P14_P2_P27,1,High valence,339,709,0.4781382228490832
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_1_P17_P20_P8,0,Low valence,266,512,0.51953125
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_1_P17_P20_P8,1,High valence,246,512,0.48046875
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_2_P13_P28_P30,0,Low valence,243,486,0.5
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_2_P13_P28_P30,1,High valence,243,486,0.5
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_3_P19_P22_P4,0,Low valence,227,468,0.48504273504273504
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_3_P19_P22_P4,1,High valence,241,468,0.5149572649572649
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_4_P10_P16_P5,0,Low valence,255,507,0.5029585798816568
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_4_P10_P16_P5,1,High valence,252,507,0.4970414201183432
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_5_P21_P23_P24,0,Low valence,252,510,0.49411764705882355
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_5_P21_P23_P24,1,High valence,258,510,0.5058823529411764
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_6_P18_P29_P7,0,Low valence,301,480,0.6270833333333333
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_6_P18_P29_P7,1,High valence,179,480,0.3729166666666667
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_0_P1_P14_P2_P27,0,Low valence,371,712,0.5210674157303371
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_0_P1_P14_P2_P27,1,High valence,341,712,0.4789325842696629
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_1_P17_P20_P8,0,Low valence,270,518,0.5212355212355212
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_1_P17_P20_P8,1,High valence,248,518,0.47876447876447875
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_2_P13_P28_P30,0,Low valence,244,488,0.5
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_2_P13_P28_P30,1,High valence,244,488,0.5
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_3_P19_P22_P4,0,Low valence,232,473,0.4904862579281184
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_3_P19_P22_P4,1,High valence,241,473,0.5095137420718816
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_4_P10_P16_P5,0,Low valence,255,507,0.5029585798816568
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_4_P10_P16_P5,1,High valence,252,507,0.4970414201183432
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_5_P21_P23_P24,0,Low valence,271,534,0.5074906367041199
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_5_P21_P23_P24,1,High valence,263,534,0.49250936329588013
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_6_P18_P29_P7,0,Low valence,304,483,0.629399585921325
