signal_set,signal_set_description,experiment_id,experiment_display_name,cv_strategy,model,model_display,summary_model_name,metric_type,metric,n_folds,mean,std,min,max
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,GCN,BasicGCN,aggregated,accuracy,7,0.5958178480186873,0.084463124474315,0.42578125,0.6916666666666667
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,GCN,BasicGCN,aggregated,balanced_accuracy,7,0.5930015104607167,0.079676748739162,0.4224585854881105,0.6545221700476995
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,GCN,BasicGCN,aggregated,loss,7,0.6729038258393605,0.051581581570512,0.5946440696716309,0.7276013493537903
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,GCN,BasicGCN,aggregated,macro_auc_ovr,7,0.6566205467964739,0.123053148674471,0.3854453206186197,0.748324950351714
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,GCN,BasicGCN,aggregated,macro_f1,7,0.5763765034323762,0.0849355309520565,0.4197964847363552,0.6582972582972583
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,GCN,BasicGCN,aggregated,macro_precision,7,0.6151508287509354,0.0890096633228154,0.4204353007589537,0.6884870782483847
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,GCN,BasicGCN,aggregated,macro_recall,7,0.5930015104607167,0.079676748739162,0.4224585854881105,0.6545221700476995
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,GCN,BasicGCN,aggregated,weighted_auc_ovr,7,0.6566205467964739,0.123053148674471,0.3854453206186197,0.7483249503517141
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,GCN,BasicGCN,aggregated,weighted_f1,7,0.5793512234090351,0.0897306653861673,0.4220983175300647,0.6854377104377104
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,GCN,BasicGCN,aggregated,weighted_precision,7,0.6189077027742069,0.0913076901175137,0.4217081458163457,0.6950805305998053
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,GCN,BasicGCN,aggregated,weighted_recall,7,0.5958178480186873,0.084463124474315,0.42578125,0.6916666666666667
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,HeteroGCN-MLP,HeteroGCNMLP,aggregated,accuracy,7,0.6053982737051512,0.0666084467349068,0.501953125,0.6875
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,HeteroGCN-MLP,HeteroGCNMLP,aggregated,balanced_accuracy,7,0.5987384448605765,0.0630765827103744,0.4844580964606638,0.68468720821662
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,HeteroGCN-MLP,HeteroGCNMLP,aggregated,loss,7,0.691810782466616,0.0807265678635782,0.610340029001236,0.8236750960350037
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,HeteroGCN-MLP,HeteroGCNMLP,aggregated,macro_auc_ovr,7,0.6901559401416393,0.0620997642510488,0.573063756953359,0.7481637099284157
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,HeteroGCN-MLP,HeteroGCNMLP,aggregated,macro_f1,7,0.5655355188884175,0.1065154770969297,0.3631933978139038,0.6838757949869061
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,HeteroGCN-MLP,HeteroGCNMLP,aggregated,macro_precision,7,0.6134810310270025,0.0934675991297642,0.4223367697594501,0.6990825984430016
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,HeteroGCN-MLP,HeteroGCNMLP,aggregated,macro_recall,7,0.5987384448605765,0.0630765827103744,0.4844580964606638,0.68468720821662
