signal_set,experiment_id,experiment_display_name,cv_strategy,signal_set_description,model_order,model,accuracy,macro_f1,balanced_accuracy,weighted_f1,loss
all_signals,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",1,Naključni,0.5086666301040107,0.507208745681868,0.5085280657142158,0.5097752892977953,17.70944968303792
all_signals,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",2,Večinski,0.5215136174953522,0.3422174448163131,0.5,0.3585923453580781,17.24639732241005
all_signals,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",3,SVM,0.6855416897221992,0.6760563784480496,0.6827138395252598,0.6787599319734064,0.6001140159736701
all_signals,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",4,LightGBM,0.6901982363059979,0.6825720190233763,0.6900329984485715,0.6844928480839255,0.5858101890096012
all_signals,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",5,MLP,0.6724547757216088,0.6621669141459762,0.6710562465944998,0.664505792144367,0.6900601647047315
all_signals,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",6,GazeMAE/MOMENT,0.6612415413722434,0.6564519964549824,0.6628378235163828,0.6581057933298297,0.7420538021296561
all_signals,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",7,GCN,0.5958178480186873,0.5763765034323762,0.5930015104607167,0.5793512234090352,0.6729038258393606
all_signals,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",8,HeteroGCN-mean,0.6180137719908164,0.5969238903053427,0.6127922144973328,0.6008271679267789,0.675074414128349
all_signals,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",9,HeteroGCN-MLP,0.6053982737051512,0.5655355188884175,0.5987384448605765,0.5705982167387988,0.691810782466616
all_signals,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",10,HeteroGCN-MLP-w,0.627436866151065,0.6084123468578333,0.6234397238206267,0.6116553424092773,0.6843751555397396
gaze_only,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Gaze x/y nodes with temporal and spatial graph relations.,1,Naključni,0.502143722158088,0.5005757636489282,0.5018226182426754,0.5033113494500314,17.944559116129877
gaze_only,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Gaze x/y nodes with temporal and spatial graph relations.,2,Večinski,0.524662571057297,0.3435980740566061,0.5,0.3621289940013816,17.132897531684893
