model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc
Mean,aggregated,0.5628806609029111,0.5,0.6567403351314133,0.5628806609029111,0.95,0.5
Mean,emotion_emotion-control,0.5628806609029111,0.5,0.6567403351314133,0.5628806609029111,0.95,0.5
SVM,aggregated,0.5925130662072714,0.6344425836057827,0.6057547690854612,0.6123712470619884,0.734190816630233,0.6908930698106946
SVM,emotion_emotion-control,0.5925130662072714,0.6344425836057827,0.6057547690854612,0.6123712470619884,0.734190816630233,0.6908930698106946
LightGBM,aggregated,0.5933044115985908,0.6411684259278001,0.6068058592895961,0.6175126146682761,0.7295797973353382,0.7489351762225701
LightGBM,emotion_emotion-control,0.5933044115985908,0.6411684259278001,0.6068058592895961,0.6175126146682761,0.7295797973353382,0.7489351762225701
MLP,aggregated,0.6207416810522638,0.656087775777429,0.5968850478569767,0.6305865532453374,0.6687849927479014,0.743917196365334
MLP,emotion_emotion-control,0.6207416810522638,0.656087775777429,0.5968850478569767,0.6305865532453374,0.6687849927479014,0.743917196365334
GNN,aggregated,0.6442800926595049,0.6813363728318621,0.6358631431696213,0.6490661567190121,0.7511419939172751,0.7797956360501698
GNN,emotion_emotion-control,0.6442800926595049,0.6813363728318621,0.6358631431696213,0.6490661567190121,0.7511419939172751,0.7797956360501698
