model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc
Mean,aggregated,0.5734396850321224,0.5,0.6868122381592252,0.5734396850321224,1.0,0.5
Mean,emotion_emotion-predictability,0.5734396850321224,0.5,0.6868122381592252,0.5734396850321224,1.0,0.5
SVM,aggregated,0.5291954948373221,0.4989480627518122,0.6281053964655803,0.5718565481918503,0.8366804453572824,0.4752711854700716
SVM,emotion_emotion-predictability,0.5291954948373221,0.4989480627518122,0.6281053964655803,0.5718565481918503,0.8366804453572824,0.4752711854700716
LightGBM,aggregated,0.4987291526901368,0.4918027333532404,0.580872757033139,0.5654049384251104,0.7278700182587035,0.488337954841536
LightGBM,emotion_emotion-predictability,0.4987291526901368,0.4918027333532404,0.580872757033139,0.5654049384251104,0.7278700182587035,0.488337954841536
MLP,aggregated,0.5230330080608738,0.500507127708438,0.5827200130973927,0.5716947075229367,0.7047825965689847,0.477960295849624
MLP,emotion_emotion-predictability,0.5230330080608738,0.500507127708438,0.5827200130973927,0.5716947075229367,0.7047825965689847,0.477960295849624
GNN,aggregated,0.5356345022533071,0.4891296281430499,0.6133632567976012,0.5691934754981569,0.7768375553915494,0.47684039149456664
GNN,emotion_emotion-predictability,0.5356345022533071,0.4891296281430499,0.6133632567976012,0.5691934754981569,0.7768375553915494,0.47684039149456664
