model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc
Mean,aggregated,0.24781805788115346,0.5,0.25954589188282345,0.21389520256745306,0.45,0.5
Mean,emotion_emotion-valence,0.24781805788115346,0.5,0.25954589188282345,0.21389520256745306,0.45,0.5
SVM,aggregated,0.5340220663093027,0.5476940655165995,0.4746006879529904,0.5359218489109229,0.5205426142150786,0.595333297877767
SVM,emotion_emotion-valence,0.5340220663093027,0.5476940655165995,0.4746006879529904,0.5359218489109229,0.5205426142150786,0.595333297877767
LightGBM,aggregated,0.5491631212983317,0.5597771473036959,0.4765431867006228,0.5384867226097064,0.5144952697606213,0.5983371707639441
LightGBM,emotion_emotion-valence,0.5491631212983317,0.5597771473036959,0.4765431867006228,0.5384867226097064,0.5144952697606213,0.5983371707639441
MLP,aggregated,0.5440938539486624,0.5506050926959649,0.4685786647038726,0.5397764468240349,0.4886110672055654,0.6101110921785847
MLP,emotion_emotion-valence,0.5440938539486624,0.5506050926959649,0.4685786647038726,0.5397764468240349,0.4886110672055654,0.6101110921785847
GNN,aggregated,0.5474834072752577,0.5501689246566571,0.4740985380251102,0.535646785862914,0.503247290102147,0.5653313499813462
GNN,emotion_emotion-valence,0.5474834072752577,0.5501689246566571,0.4740985380251102,0.535646785862914,0.503247290102147,0.5653313499813462
