model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc
Mean,aggregated,0.5769230769230769,0.5,0.0,0.0,0.0,0.5
Mean,emotion_tag-agree,0.5769230769230769,0.5,0.0,0.0,0.0,0.5
SVM,aggregated,0.6880827505827505,0.7524463383838383,0.34941746477439134,0.48871753246753247,0.29021920539777685,0.841903409090909
SVM,emotion_tag-agree,0.6880827505827505,0.7524463383838383,0.34941746477439134,0.48871753246753247,0.29021920539777685,0.841903409090909
LightGBM,aggregated,0.6879697683269111,0.7474116161616161,0.37049678101492417,0.4778344671201814,0.31840580054865775,0.7880366161616161
LightGBM,emotion_tag-agree,0.6879697683269111,0.7474116161616161,0.37049678101492417,0.4778344671201814,0.31840580054865775,0.7880366161616161
MLP,aggregated,0.686848865420294,0.7751893939393939,0.36005318679722087,0.4659992784992785,0.30919378240806816,0.8113005050505051
MLP,emotion_tag-agree,0.686848865420294,0.7751893939393939,0.36005318679722087,0.4659992784992785,0.30919378240806816,0.8113005050505051
GNN,aggregated,0.696273964131107,0.759832702020202,0.3587819177240701,0.4863365800865801,0.3073062849848564,0.8435132575757576
GNN,emotion_tag-agree,0.696273964131107,0.759832702020202,0.3587819177240701,0.4863365800865801,0.3073062849848564,0.8435132575757576
