model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc
Mean,aggregated,0.5539420896563753,0.5,0.0,0.0,0.0,0.5
Mean,emotion_tag-agree,0.5539420896563753,0.5,0.0,0.0,0.0,0.5
SVM,aggregated,0.6661098821813107,0.752432216905901,0.3701172418222797,0.4865349927849928,0.33209300620014903,0.8207004253056884
SVM,emotion_tag-agree,0.6661098821813107,0.752432216905901,0.3701172418222797,0.4865349927849928,0.33209300620014903,0.8207004253056884
LightGBM,aggregated,0.6693568336425479,0.7256379585326954,0.37259821632891454,0.4816408128908128,0.3269543948115377,0.7859615895800107
LightGBM,emotion_tag-agree,0.6693568336425479,0.7256379585326954,0.37259821632891454,0.4816408128908128,0.3269543948115377,0.7859615895800107
MLP,aggregated,0.6653037438751723,0.7669059011164274,0.37240665554955116,0.48931277056277056,0.3265123765123765,0.8189825890483785
MLP,emotion_tag-agree,0.6653037438751723,0.7669059011164274,0.37240665554955116,0.48931277056277056,0.3265123765123765,0.8189825890483785
GNN,aggregated,0.6675314764600477,0.730841307814992,0.401351558694228,0.4799573112073112,0.37666024451738744,0.857097288676236
GNN,emotion_tag-agree,0.6675314764600477,0.730841307814992,0.401351558694228,0.4799573112073112,0.37666024451738744,0.857097288676236
