model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc
Mean,aggregated,0.17307692307692307,0.5,0.1785714285714286,0.16797488226059656,0.21428571428571427,0.5
Mean,emotion_tag-agree,0.17307692307692307,0.5,0.1785714285714286,0.16797488226059656,0.21428571428571427,0.5
SVM,aggregated,0.5506826506826508,0.5912878787878788,0.3602887050655929,0.49212018140589564,0.3292285095856524,0.6465909090909091
SVM,emotion_tag-agree,0.5506826506826508,0.5912878787878788,0.3602887050655929,0.49212018140589564,0.3292285095856524,0.6465909090909091
LightGBM,aggregated,0.5505411255411256,0.5410984848484848,0.3493453611941968,0.48603896103896105,0.29523274344702916,0.6446969696969697
LightGBM,emotion_tag-agree,0.5505411255411256,0.5410984848484848,0.3493453611941968,0.48603896103896105,0.29523274344702916,0.6446969696969697
MLP,aggregated,0.5471855525426954,0.6670454545454545,0.3665844262526185,0.4946428571428571,0.3241532277246563,0.6672348484848485
MLP,emotion_tag-agree,0.5471855525426954,0.6670454545454545,0.3665844262526185,0.4946428571428571,0.3241532277246563,0.6672348484848485
GNN,aggregated,0.6312996527282241,0.6799242424242424,0.41568000581199344,0.49923687423687424,0.3919681508967224,0.640719696969697
GNN,emotion_tag-agree,0.6312996527282241,0.6799242424242424,0.41568000581199344,0.49923687423687424,0.3919681508967224,0.640719696969697
