model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc,suite_experiment_id,experiment_id,scope,task_type,experiment_group,strategy,trainer_run_dir,label_entropy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,f1_comparable,auc_comparable
Mean,aggregated,0.2478180578811534,0.5,0.2595458918828234,0.213895202567453,0.45,0.5,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-05_13-04-55/binary_emotion_valence_emotion-elicitation_2026-03-05_13-05-10,0.9988076247019424,,,,,,,,,0.2595458918828234,0.5
SVM,aggregated,0.5340220663093027,0.5476940655165995,0.4746006879529904,0.5359218489109229,0.5205426142150786,0.595333297877767,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-05_13-04-55/binary_emotion_valence_emotion-elicitation_2026-03-05_13-05-10,0.9988076247019424,,,,,,,,,0.4746006879529904,0.595333297877767
LightGBM,aggregated,0.5491631212983317,0.5597771473036959,0.4765431867006228,0.5384867226097064,0.5144952697606213,0.5983371707639441,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-05_13-04-55/binary_emotion_valence_emotion-elicitation_2026-03-05_13-05-10,0.9988076247019424,,,,,,,,,0.4765431867006228,0.5983371707639441
MLP,aggregated,0.5440938539486624,0.5506050926959649,0.4685786647038726,0.5397764468240349,0.4886110672055654,0.6101110921785847,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-05_13-04-55/binary_emotion_valence_emotion-elicitation_2026-03-05_13-05-10,0.9988076247019424,,,,,,,,,0.4685786647038726,0.6101110921785847
GNN,aggregated,0.5474834072752577,0.5501689246566571,0.4740985380251102,0.535646785862914,0.503247290102147,0.5653313499813462,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-05_13-04-55/binary_emotion_valence_emotion-elicitation_2026-03-05_13-05-10,0.9988076247019424,,,,,,,,,0.4740985380251102,0.5653313499813462
Mean,aggregated,0.5732066105269837,0.5,0.6865809672871273,0.5732066105269837,0.95,0.5,binary_emotion_arousal_emotion-elicitation,binary_emotion_arousal,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-05_13-04-55/binary_emotion_arousal_emotion-elicitation_2026-03-05_13-10-32,0.98585684967919,,,,,,,,,0.6865809672871273,0.5
SVM,aggregated,0.5671128142798894,0.521926035669968,0.6298428200277251,0.5832708018260936,0.7516610125710709,0.5453853778056151,binary_emotion_arousal_emotion-elicitation,binary_emotion_arousal,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-05_13-04-55/binary_emotion_arousal_emotion-elicitation_2026-03-05_13-10-32,0.98585684967919,,,,,,,,,0.6298428200277251,0.5453853778056151
LightGBM,aggregated,0.5542315841150318,0.5220320558289684,0.6030119832514911,0.5853363746710772,0.683399149274641,0.5444725045893091,binary_emotion_arousal_emotion-elicitation,binary_emotion_arousal,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-05_13-04-55/binary_emotion_arousal_emotion-elicitation_2026-03-05_13-10-32,0.98585684967919,,,,,,,,,0.6030119832514911,0.5444725045893091
MLP,aggregated,0.5453314057064823,0.5176394837401034,0.5762984725140341,0.5908348962196789,0.6137835290655019,0.5335505465165084,binary_emotion_arousal_emotion-elicitation,binary_emotion_arousal,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-05_13-04-55/binary_emotion_arousal_emotion-elicitation_2026-03-05_13-10-32,0.98585684967919,,,,,,,,,0.5762984725140341,0.5335505465165084
GNN,aggregated,0.5210647876813594,0.4958369858193845,0.570993562300562,0.5768193632170652,0.6375302802346142,0.5101561980140322,binary_emotion_arousal_emotion-elicitation,binary_emotion_arousal,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-05_13-04-55/binary_emotion_arousal_emotion-elicitation_2026-03-05_13-10-32,0.98585684967919,,,,,,,,,0.570993562300562,0.5101561980140322
