model,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr
Mean,aggregated,0.021470771144278606,0.05,0.0023856412382531784,0.01111111111111111,0.00386892177589852,0.5,0.005084308131296255,0.021470771144278606,0.008121246305470533,0.5
Mean,emotion_multiclass,0.021470771144278606,0.05,0.0023856412382531784,0.01111111111111111,0.00386892177589852,0.5,0.005084308131296255,0.021470771144278606,0.008121246305470533,0.5
SVM,aggregated,0.15325660647241315,0.15915182906027955,0.08868345155392009,0.04307407525889662,0.04686744141456961,0.5458761485950968,0.47582102850666663,0.15325660647241315,0.19796774234909587,0.5492785535663601
SVM,emotion_multiclass,0.15325660647241315,0.15915182906027955,0.08868345155392009,0.04307407525889662,0.04686744141456961,0.5458761485950968,0.47582102850666663,0.15325660647241315,0.19796774234909587,0.5492785535663601
LightGBM,aggregated,0.17592715546192048,0.16141507417893397,0.1025566998361116,0.04272439674729742,0.051776458455886354,0.5422596662639633,0.5434626706731153,0.17592715546192048,0.2385484253330965,0.5437189747385944
LightGBM,emotion_multiclass,0.17592715546192048,0.16141507417893397,0.1025566998361116,0.04272439674729742,0.051776458455886354,0.5422596662639633,0.5434626706731153,0.17592715546192048,0.2385484253330965,0.5437189747385944
MLP,aggregated,0.18075845589410203,0.1768408204691559,0.09018814338595268,0.047373509315892806,0.05282036663935684,0.5460671972004288,0.4872451317665855,0.18075845589410203,0.23425625632722596,0.5577602461635965
MLP,emotion_multiclass,0.18075845589410203,0.1768408204691559,0.09018814338595268,0.047373509315892806,0.05282036663935684,0.5460671972004288,0.4872451317665855,0.18075845589410203,0.23425625632722596,0.5577602461635965
GNN,aggregated,0.1800987195449973,0.1802750885781921,0.09691110329592856,0.048629761261323255,0.05098787596845759,0.546312681376462,0.4696460650927854,0.1800987195449973,0.2154567662555297,0.5551447719279657
GNN,emotion_multiclass,0.1800987195449973,0.1802750885781921,0.09691110329592856,0.048629761261323255,0.05098787596845759,0.546312681376462,0.4696460650927854,0.1800987195449973,0.2154567662555297,0.5551447719279657
