model,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr
Mean,aggregated,0.27960728487359005,0.17105263157894737,0.06990182121839751,0.125,0.08371421536142958,0.5,0.19810789438912485,0.27960728487359005,0.22435770830146176,0.5
Mean,emotion_multiclass,0.27960728487359005,0.17105263157894737,0.06990182121839751,0.125,0.08371421536142958,0.5,0.19810789438912485,0.27960728487359005,0.22435770830146176,0.5
SVM,aggregated,0.35163842729032285,0.29494395153827935,0.3043575987951642,0.19143912968922638,0.20720369090624652,0.5570502141028305,0.6163148144084832,0.35163842729032285,0.40496820179041515,0.5386147066589516
SVM,emotion_multiclass,0.35163842729032285,0.29494395153827935,0.3043575987951642,0.19143912968922638,0.20720369090624652,0.5570502141028305,0.6163148144084832,0.35163842729032285,0.40496820179041515,0.5386147066589516
LightGBM,aggregated,0.3415168060362845,0.2951725270179144,0.292511046930762,0.1863994392684794,0.20447232962206238,0.5495562289165413,0.603138633737565,0.3415168060362845,0.4010634498505172,0.5429268725891354
LightGBM,emotion_multiclass,0.3415168060362845,0.2951725270179144,0.292511046930762,0.1863994392684794,0.20447232962206238,0.5495562289165413,0.603138633737565,0.3415168060362845,0.4010634498505172,0.5429268725891354
MLP,aggregated,0.34048371195940635,0.2939028583456522,0.3007165446866414,0.18896381970099763,0.2070988352326367,0.5409837785715779,0.6062412596022095,0.34048371195940635,0.4008277863856775,0.5285175747496428
MLP,emotion_multiclass,0.34048371195940635,0.2939028583456522,0.3007165446866414,0.18896381970099763,0.2070988352326367,0.5409837785715779,0.6062412596022095,0.34048371195940635,0.4008277863856775,0.5285175747496428
GNN,aggregated,0.3283691269002127,0.2865881129470931,0.28711689263645357,0.1754211032114799,0.18842415539032437,0.5368595404660617,0.5893773658149493,0.3283691269002127,0.37258660841452795,0.5324205026586347
GNN,emotion_multiclass,0.3283691269002127,0.2865881129470931,0.28711689263645357,0.1754211032114799,0.18842415539032437,0.5368595404660617,0.5893773658149493,0.3283691269002127,0.37258660841452795,0.5324205026586347
