model,metric_type,mae,ccc,spearman
Mean,aggregated,2.265707610967058,0.0,0.0
Mean,emotion_emotion-valence,2.265707610967058,0.0,0.0
SVM,aggregated,2.2189614095534926,0.03525284029143522,0.05892443679482168
SVM,emotion_emotion-valence,2.2189614095534926,0.03525284029143522,0.05892443679482168
LightGBM,aggregated,2.202958029046653,0.035206986150353926,0.10382606503550448
LightGBM,emotion_emotion-valence,2.202958029046653,0.035206986150353926,0.10382606503550448
MLP,aggregated,2.1681614284141597,0.057408228505852324,0.11733976919292181
MLP,emotion_emotion-valence,2.1681614284141597,0.057408228505852324,0.11733976919292181
GNN,aggregated,2.100808560848236,0.028729271586053075,0.07935114680583695
GNN,emotion_emotion-valence,2.100808560848236,0.028729271586053075,0.07935114680583695
