model,metric_type,mae,ccc,spearman,suite_experiment_id,experiment_id,scope,task_type,experiment_group,strategy,trainer_run_dir,label_entropy
Mean,aggregated,2.265707610967058,0.0,0.0,regression_emotion_valence_emotion-elicitation,regression_emotion_valence,emotion-elicitation,regression,regression,recording_loo,results/suite/2026-03-05_13-04-55/regression_emotion_valence_emotion-elicitation_2026-03-05_14-44-55,
SVM,aggregated,2.2189614095534926,0.0352528402914352,0.0589244367948216,regression_emotion_valence_emotion-elicitation,regression_emotion_valence,emotion-elicitation,regression,regression,recording_loo,results/suite/2026-03-05_13-04-55/regression_emotion_valence_emotion-elicitation_2026-03-05_14-44-55,
LightGBM,aggregated,2.202958029046653,0.0352069861503539,0.1038260650355044,regression_emotion_valence_emotion-elicitation,regression_emotion_valence,emotion-elicitation,regression,regression,recording_loo,results/suite/2026-03-05_13-04-55/regression_emotion_valence_emotion-elicitation_2026-03-05_14-44-55,
MLP,aggregated,2.16816142841416,0.0574082285058523,0.1173397691929218,regression_emotion_valence_emotion-elicitation,regression_emotion_valence,emotion-elicitation,regression,regression,recording_loo,results/suite/2026-03-05_13-04-55/regression_emotion_valence_emotion-elicitation_2026-03-05_14-44-55,
GNN,aggregated,2.100808560848236,0.028729271586053,0.0793511468058369,regression_emotion_valence_emotion-elicitation,regression_emotion_valence,emotion-elicitation,regression,regression,recording_loo,results/suite/2026-03-05_13-04-55/regression_emotion_valence_emotion-elicitation_2026-03-05_14-44-55,
Mean,aggregated,1.9687354282789609,0.0,0.0,regression_emotion_arousal_emotion-elicitation,regression_emotion_arousal,emotion-elicitation,regression,regression,recording_loo,results/suite/2026-03-05_13-04-55/regression_emotion_arousal_emotion-elicitation_2026-03-05_14-54-21,
SVM,aggregated,1.9689575704148607,0.0412985055996049,0.0811166334479755,regression_emotion_arousal_emotion-elicitation,regression_emotion_arousal,emotion-elicitation,regression,regression,recording_loo,results/suite/2026-03-05_13-04-55/regression_emotion_arousal_emotion-elicitation_2026-03-05_14-54-21,
LightGBM,aggregated,1.9421569252279405,0.0633554337908677,0.0964342875235864,regression_emotion_arousal_emotion-elicitation,regression_emotion_arousal,emotion-elicitation,regression,regression,recording_loo,results/suite/2026-03-05_13-04-55/regression_emotion_arousal_emotion-elicitation_2026-03-05_14-54-21,
MLP,aggregated,1.9272786795039651,0.0931861148436481,0.1118738570540638,regression_emotion_arousal_emotion-elicitation,regression_emotion_arousal,emotion-elicitation,regression,regression,recording_loo,results/suite/2026-03-05_13-04-55/regression_emotion_arousal_emotion-elicitation_2026-03-05_14-54-21,
GNN,aggregated,1.9766964137554168,0.0668477745493874,0.0899672777565747,regression_emotion_arousal_emotion-elicitation,regression_emotion_arousal,emotion-elicitation,regression,regression,recording_loo,results/suite/2026-03-05_13-04-55/regression_emotion_arousal_emotion-elicitation_2026-03-05_14-54-21,
