suite_experiment_id,experiment_id,scope,task_type,experiment_group,task_suite_root,status,error,trainer_run_dir,snapshot_csv,snapshot_manifest,eda_summary_path,resolved_config_path,label_entropy
binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,results/suite/2026-03-05_13-04-55,success,,results/suite/2026-03-05_13-04-55/binary_emotion_valence_emotion-elicitation_2026-03-05_13-05-10,results/suite/2026-03-05_13-04-55/experiments/binary_emotion_valence_emotion-elicitation/snapshot.csv,results/suite/2026-03-05_13-04-55/experiments/binary_emotion_valence_emotion-elicitation/snapshot_manifest.yaml,results/suite/2026-03-05_13-04-55/experiments/binary_emotion_valence_emotion-elicitation/eda_summary.txt,results/suite/2026-03-05_13-04-55/experiments/binary_emotion_valence_emotion-elicitation/resolved_trainer_config.yaml,0.9988076247019424
binary_emotion_arousal_emotion-elicitation,binary_emotion_arousal,emotion-elicitation,binary,emotion,results/suite/2026-03-05_13-04-55,success,,results/suite/2026-03-05_13-04-55/binary_emotion_arousal_emotion-elicitation_2026-03-05_13-10-32,results/suite/2026-03-05_13-04-55/experiments/binary_emotion_arousal_emotion-elicitation/snapshot.csv,results/suite/2026-03-05_13-04-55/experiments/binary_emotion_arousal_emotion-elicitation/snapshot_manifest.yaml,results/suite/2026-03-05_13-04-55/experiments/binary_emotion_arousal_emotion-elicitation/eda_summary.txt,results/suite/2026-03-05_13-04-55/experiments/binary_emotion_arousal_emotion-elicitation/resolved_trainer_config.yaml,0.98585684967919
binary_emotion_control_emotion-elicitation,binary_emotion_control,emotion-elicitation,binary,emotion,results/suite/2026-03-05_13-04-55,success,,results/suite/2026-03-05_13-04-55/binary_emotion_control_emotion-elicitation_2026-03-05_13-15-54,results/suite/2026-03-05_13-04-55/experiments/binary_emotion_control_emotion-elicitation/snapshot.csv,results/suite/2026-03-05_13-04-55/experiments/binary_emotion_control_emotion-elicitation/snapshot_manifest.yaml,results/suite/2026-03-05_13-04-55/experiments/binary_emotion_control_emotion-elicitation/eda_summary.txt,results/suite/2026-03-05_13-04-55/experiments/binary_emotion_control_emotion-elicitation/resolved_trainer_config.yaml,0.989609634494256
binary_emotion_predictability_emotion-elicitation,binary_emotion_predictability,emotion-elicitation,binary,emotion,results/suite/2026-03-05_13-04-55,success,,results/suite/2026-03-05_13-04-55/binary_emotion_predictability_emotion-elicitation_2026-03-05_13-21-18,results/suite/2026-03-05_13-04-55/experiments/binary_emotion_predictability_emotion-elicitation/snapshot.csv,results/suite/2026-03-05_13-04-55/experiments/binary_emotion_predictability_emotion-elicitation/snapshot_manifest.yaml,results/suite/2026-03-05_13-04-55/experiments/binary_emotion_predictability_emotion-elicitation/eda_summary.txt,results/suite/2026-03-05_13-04-55/experiments/binary_emotion_predictability_emotion-elicitation/resolved_trainer_config.yaml,0.9762541744389432
binary_tag_agree_image-tagging-1,binary_tag_agree,image-tagging-1,binary,tagging,results/suite/2026-03-05_13-04-55,success,,results/suite/2026-03-05_13-04-55/binary_tag_agree_image-tagging-1_2026-03-05_13-26-41,results/suite/2026-03-05_13-04-55/experiments/binary_tag_agree_image-tagging-1/snapshot.csv,results/suite/2026-03-05_13-04-55/experiments/binary_tag_agree_image-tagging-1/snapshot_manifest.yaml,results/suite/2026-03-05_13-04-55/experiments/binary_tag_agree_image-tagging-1/eda_summary.txt,results/suite/2026-03-05_13-04-55/experiments/binary_tag_agree_image-tagging-1/resolved_trainer_config.yaml,0.9947669491824866
binary_tag_agree_image-tagging-2,binary_tag_agree,image-tagging-2,binary,tagging,results/suite/2026-03-05_13-04-55,success,,results/suite/2026-03-05_13-04-55/binary_tag_agree_image-tagging-2_2026-03-05_13-29-56,results/suite/2026-03-05_13-04-55/experiments/binary_tag_agree_image-tagging-2/snapshot.csv,results/suite/2026-03-05_13-04-55/experiments/binary_tag_agree_image-tagging-2/snapshot_manifest.yaml,results/suite/2026-03-05_13-04-55/experiments/binary_tag_agree_image-tagging-2/eda_summary.txt,results/suite/2026-03-05_13-04-55/experiments/binary_tag_agree_image-tagging-2/resolved_trainer_config.yaml,0.9949880489088705
binary_tag_agree_video-tagging,binary_tag_agree,video-tagging,binary,tagging,results/suite/2026-03-05_13-04-55,success,,results/suite/2026-03-05_13-04-55/binary_tag_agree_video-tagging_2026-03-05_13-33-20,results/suite/2026-03-05_13-04-55/experiments/binary_tag_agree_video-tagging/snapshot.csv,results/suite/2026-03-05_13-04-55/experiments/binary_tag_agree_video-tagging/snapshot_manifest.yaml,results/suite/2026-03-05_13-04-55/experiments/binary_tag_agree_video-tagging/eda_summary.txt,results/suite/2026-03-05_13-04-55/experiments/binary_tag_agree_video-tagging/resolved_trainer_config.yaml,0.9990810949000621
binary_tag_agree_pooled-tagging,binary_tag_agree,pooled-tagging,binary,tagging,results/suite/2026-03-05_13-04-55,success,,results/suite/2026-03-05_13-04-55/binary_tag_agree_pooled-tagging_2026-03-05_13-36-56,results/suite/2026-03-05_13-04-55/experiments/binary_tag_agree_pooled-tagging/snapshot.csv,results/suite/2026-03-05_13-04-55/experiments/binary_tag_agree_pooled-tagging/snapshot_manifest.yaml,results/suite/2026-03-05_13-04-55/experiments/binary_tag_agree_pooled-tagging/eda_summary.txt,results/suite/2026-03-05_13-04-55/experiments/binary_tag_agree_pooled-tagging/resolved_trainer_config.yaml,0.9988966199946839
binary_tag_valid_image-tagging-1,binary_tag_valid,image-tagging-1,binary,tagging,results/suite/2026-03-05_13-04-55,success,,results/suite/2026-03-05_13-04-55/binary_tag_valid_image-tagging-1_2026-03-05_13-57-10,results/suite/2026-03-05_13-04-55/experiments/binary_tag_valid_image-tagging-1/snapshot.csv,results/suite/2026-03-05_13-04-55/experiments/binary_tag_valid_image-tagging-1/snapshot_manifest.yaml,results/suite/2026-03-05_13-04-55/experiments/binary_tag_valid_image-tagging-1/eda_summary.txt,results/suite/2026-03-05_13-04-55/experiments/binary_tag_valid_image-tagging-1/resolved_trainer_config.yaml,0.9922071475131791
binary_tag_valid_image-tagging-2,binary_tag_valid,image-tagging-2,binary,tagging,results/suite/2026-03-05_13-04-55,success,,results/suite/2026-03-05_13-04-55/binary_tag_valid_image-tagging-2_2026-03-05_14-00-40,results/suite/2026-03-05_13-04-55/experiments/binary_tag_valid_image-tagging-2/snapshot.csv,results/suite/2026-03-05_13-04-55/experiments/binary_tag_valid_image-tagging-2/snapshot_manifest.yaml,results/suite/2026-03-05_13-04-55/experiments/binary_tag_valid_image-tagging-2/eda_summary.txt,results/suite/2026-03-05_13-04-55/experiments/binary_tag_valid_image-tagging-2/resolved_trainer_config.yaml,0.9974759584526365
