model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc
Mean,aggregated,0.403187639916879,0.5,0.29340789941496315,0.22828111874875012,0.5,0.5
Mean,emotion_emotion-arousal,0.403187639916879,0.5,0.29340789941496315,0.22828111874875012,0.5,0.5
SVM,aggregated,0.5785480507010627,0.5557672763102033,0.5245323943958562,0.5441195403729164,0.5646303965738506,0.5781627082548957
SVM,emotion_emotion-arousal,0.5785480507010627,0.5557672763102033,0.5245323943958562,0.5441195403729164,0.5646303965738506,0.5781627082548957
LightGBM,aggregated,0.5862128224831461,0.5618733488892692,0.5178158591239324,0.5514193063391921,0.5358780442360184,0.5860199358676137
LightGBM,emotion_emotion-arousal,0.5862128224831461,0.5618733488892692,0.5178158591239324,0.5514193063391921,0.5358780442360184,0.5860199358676137
MLP,aggregated,0.597472330804732,0.5852075845118199,0.5304126828974722,0.5704018706215338,0.5527485483788929,0.6165806687647324
MLP,emotion_emotion-arousal,0.597472330804732,0.5852075845118199,0.5304126828974722,0.5704018706215338,0.5527485483788929,0.6165806687647324
GNN,aggregated,0.5729979047714431,0.5552900574869585,0.5126848110806909,0.5550209413515254,0.5443043575729075,0.6058000741367522
GNN,emotion_emotion-arousal,0.5729979047714431,0.5552900574869585,0.5126848110806909,0.5550209413515254,0.5443043575729075,0.6058000741367522
