model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc
Mean,aggregated,0.3670008811033247,0.5,0.14468711164650203,0.09809415063490669,0.3333333333333333,0.5
Mean,emotion_emotion-arousal,0.3670008811033247,0.5,0.14468711164650203,0.09809415063490669,0.3333333333333333,0.5
SVM,aggregated,0.5539978808363527,0.5725939557410492,0.509948097190358,0.5676273204971949,0.5769587871232463,0.6174129512476784
SVM,emotion_emotion-arousal,0.5539978808363527,0.5725939557410492,0.509948097190358,0.5676273204971949,0.5769587871232463,0.6174129512476784
LightGBM,aggregated,0.5695754849246432,0.5678283692040886,0.5156510823570318,0.556313931165324,0.56429460738455,0.6067500957292533
LightGBM,emotion_emotion-arousal,0.5695754849246432,0.5678283692040886,0.5156510823570318,0.556313931165324,0.56429460738455,0.6067500957292533
MLP,aggregated,0.5834981945646323,0.5639956054411579,0.5141667447127971,0.5728647137364594,0.5494647994828379,0.5944010508768384
MLP,emotion_emotion-arousal,0.5834981945646323,0.5639956054411579,0.5141667447127971,0.5728647137364594,0.5494647994828379,0.5944010508768384
GNN,aggregated,0.5588524794853034,0.5753577469758672,0.5473351640797827,0.558090329619934,0.6674840917305797,0.6205284898206712
GNN,emotion_emotion-arousal,0.5588524794853034,0.5753577469758672,0.5473351640797827,0.558090329619934,0.6674840917305797,0.6205284898206712
