model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc
Mean,aggregated,0.5340550082064056,0.5,0.6916886493606585,0.5340550082064056,1.0,0.5
Mean,emotion_emotion-valence,0.5340550082064056,0.5,0.6916886493606585,0.5340550082064056,1.0,0.5
SVM,aggregated,0.6333798016265914,0.6303661216449093,0.6737577621402431,0.653832325681656,0.775893868134288,0.6915001593016723
SVM,emotion_emotion-valence,0.6333798016265914,0.6303661216449093,0.6737577621402431,0.653832325681656,0.775893868134288,0.6915001593016723
LightGBM,aggregated,0.6058497730577784,0.6037078634768317,0.6476313067311134,0.6215129773329163,0.7400556683547933,0.6828667006548801
LightGBM,emotion_emotion-valence,0.6058497730577784,0.6037078634768317,0.6476313067311134,0.6215129773329163,0.7400556683547933,0.6828667006548801
MLP,aggregated,0.6165587023355821,0.6093594550223393,0.6486637903961894,0.6279657615023209,0.7248220985657293,0.6697155358427501
MLP,emotion_emotion-valence,0.6165587023355821,0.6093594550223393,0.6486637903961894,0.6279657615023209,0.7248220985657293,0.6697155358427501
GNN,aggregated,0.6392209355337877,0.635396470929393,0.6276540648011175,0.6834023824257717,0.6651109818153412,0.7372838260734408
GNN,emotion_emotion-valence,0.6392209355337877,0.635396470929393,0.6276540648011175,0.6834023824257717,0.6651109818153412,0.7372838260734408
