model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc,suite_experiment_id,experiment_id,scope,task_type,experiment_group,strategy,trainer_run_dir,label_entropy,f1_comparable,auc_comparable
Mean,aggregated,0.4041845571689498,0.5,0.4616099383667535,0.3963427020447114,0.75,0.5,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-25_14-10-00/binary_emotion_valence_emotion-elicitation_2026-03-25_14-10-29,0.995975254951815,0.4616099383667535,0.5
SVM,aggregated,0.5885947274566227,0.5234712176270844,0.5225168337657398,0.5465999077882563,0.5853094950593418,0.5416264685189918,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-25_14-10-00/binary_emotion_valence_emotion-elicitation_2026-03-25_14-10-29,0.995975254951815,0.5225168337657398,0.5416264685189918
LightGBM,aggregated,0.5900409817387244,0.5081767803642083,0.524885979563109,0.5443594593229225,0.5969089849663083,0.5392989738547329,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-25_14-10-00/binary_emotion_valence_emotion-elicitation_2026-03-25_14-10-29,0.995975254951815,0.524885979563109,0.5392989738547329
MLP,aggregated,0.5887209578962396,0.5104296055392423,0.516006180576988,0.5445913886835593,0.5661167427702407,0.5217224634144699,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-25_14-10-00/binary_emotion_valence_emotion-elicitation_2026-03-25_14-10-29,0.995975254951815,0.516006180576988,0.5217224634144699
GNN,aggregated,0.585359297375678,0.5117730659403836,0.5428621238382664,0.5457865641451585,0.6519052384518075,0.5181417614211874,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-25_14-10-00/binary_emotion_valence_emotion-elicitation_2026-03-25_14-10-29,0.995975254951815,0.5428621238382664,0.5181417614211874
Mean,aggregated,0.5340550082064056,0.5,0.6916886493606585,0.5340550082064056,1.0,0.5,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,subject_loo,results/suite/2026-03-25_14-10-00/binary_emotion_valence_emotion-elicitation_2026-03-25_14-10-29,0.995975254951815,0.6916886493606585,0.5
SVM,aggregated,0.6333798016265914,0.6303661216449093,0.6737577621402431,0.653832325681656,0.775893868134288,0.6915001593016723,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,subject_loo,results/suite/2026-03-25_14-10-00/binary_emotion_valence_emotion-elicitation_2026-03-25_14-10-29,0.995975254951815,0.6737577621402431,0.6915001593016723
LightGBM,aggregated,0.6058497730577784,0.6037078634768317,0.6476313067311134,0.6215129773329163,0.7400556683547933,0.6828667006548801,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,subject_loo,results/suite/2026-03-25_14-10-00/binary_emotion_valence_emotion-elicitation_2026-03-25_14-10-29,0.995975254951815,0.6476313067311134,0.6828667006548801
MLP,aggregated,0.6165587023355821,0.6093594550223393,0.6486637903961894,0.6279657615023209,0.7248220985657293,0.6697155358427501,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,subject_loo,results/suite/2026-03-25_14-10-00/binary_emotion_valence_emotion-elicitation_2026-03-25_14-10-29,0.995975254951815,0.6486637903961894,0.6697155358427501
GNN,aggregated,0.6392209355337877,0.635396470929393,0.6276540648011175,0.6834023824257717,0.6651109818153412,0.7372838260734408,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,subject_loo,results/suite/2026-03-25_14-10-00/binary_emotion_valence_emotion-elicitation_2026-03-25_14-10-29,0.995975254951815,0.6276540648011175,0.7372838260734408
