model,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,suite_experiment_id,experiment_id,scope,task_type,experiment_group,strategy,trainer_run_dir,label_entropy,f1_comparable,auc_comparable
Mean,aggregated,0.471855109384414,0.3333333333333333,0.1572850364614713,0.3333333333333333,0.213582142267261,0.5,0.2233271435809227,0.471855109384414,0.3029637919670449,0.5,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/suite/2026-04-02_17-56-07/multiclass_table6_arousal_3class_emotion-elicitation_2026-04-02_17-56-37,1.4834347732444344,0.213582142267261,0.5
SVM,aggregated,0.4815876683093245,0.3791610891355329,0.456814349238466,0.3791610891355329,0.3404624474603226,0.599162026056406,0.4759222403962173,0.4815876683093245,0.4189798184191091,0.5966592317704513,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/suite/2026-04-02_17-56-07/multiclass_table6_arousal_3class_emotion-elicitation_2026-04-02_17-56-37,1.4834347732444344,0.3404624474603226,0.599162026056406
LightGBM,aggregated,0.4562766625079902,0.3716567643644644,0.3915786600218097,0.3716567643644644,0.3463756723332771,0.5818788259542576,0.4308725466462106,0.4562766625079902,0.4162514889283157,0.5769644727128209,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/suite/2026-04-02_17-56-07/multiclass_table6_arousal_3class_emotion-elicitation_2026-04-02_17-56-37,1.4834347732444344,0.3463756723332771,0.5818788259542576
MLP,aggregated,0.4452426059792153,0.3658343299238187,0.3810473105397952,0.3658343299238187,0.3470956262558941,0.581510074588048,0.4213368639524139,0.4452426059792153,0.4111501737004293,0.577428199629479,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/suite/2026-04-02_17-56-07/multiclass_table6_arousal_3class_emotion-elicitation_2026-04-02_17-56-37,1.4834347732444344,0.3470956262558941,0.581510074588048
GNN,aggregated,0.5383918599803773,0.4477979553405906,0.4921237674630285,0.4477979553405906,0.438686030469113,0.6760574860412178,0.5276646217983757,0.5383918599803773,0.5088294777434507,0.6811855231360833,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/suite/2026-04-02_17-56-07/multiclass_table6_arousal_3class_emotion-elicitation_2026-04-02_17-56-37,1.4834347732444344,0.438686030469113,0.6760574860412178
Mean,aggregated,0.3393175647956554,0.3333333333333333,0.1131058549318851,0.3333333333333333,0.1686531977852403,0.5,0.1160119352839529,0.3393175647956554,0.1726755362355899,0.5,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/suite/2026-04-02_17-56-07/multiclass_table6_valence_3class_emotion-elicitation_2026-04-02_18-08-57,1.5727777140024457,0.1686531977852403,0.5
SVM,aggregated,0.4609775906008453,0.4486081957153848,0.4838140527227292,0.4486081957153848,0.4259405421695134,0.6468466629330838,0.4887584264315637,0.4609775906008453,0.4368830203556483,0.6500074643416732,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/suite/2026-04-02_17-56-07/multiclass_table6_valence_3class_emotion-elicitation_2026-04-02_18-08-57,1.5727777140024457,0.4259405421695134,0.6468466629330838
LightGBM,aggregated,0.445528792775043,0.4349935129553496,0.4525483910995159,0.4349935129553496,0.4171723236721569,0.6260861021139142,0.4611911818083903,0.445528792775043,0.4276584017192674,0.6290240586109916,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/suite/2026-04-02_17-56-07/multiclass_table6_valence_3class_emotion-elicitation_2026-04-02_18-08-57,1.5727777140024457,0.4171723236721569,0.6260861021139142
MLP,aggregated,0.4338486639843774,0.4270099010101865,0.438513863353921,0.4270099010101865,0.4125146290846076,0.6193836326931386,0.4479050942249624,0.4338486639843774,0.4207985402680967,0.6221197002845291,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/suite/2026-04-02_17-56-07/multiclass_table6_valence_3class_emotion-elicitation_2026-04-02_18-08-57,1.5727777140024457,0.4125146290846076,0.6193836326931386
GNN,aggregated,0.5382282183749829,0.532236708066194,0.5916727773371864,0.532236708066194,0.5205173069818326,0.7154809663089166,0.5898605879554439,0.5382282183749829,0.5246848295728703,0.7166424776091406,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_kfold,results/suite/2026-04-02_17-56-07/multiclass_table6_valence_3class_emotion-elicitation_2026-04-02_18-08-57,1.5727777140024457,0.5205173069818326,0.7154809663089166
