model,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr
Mean,aggregated,0.471855109384414,0.3333333333333333,0.15728503646147135,0.3333333333333333,0.21358214226726102,0.5,0.2233271435809227,0.471855109384414,0.3029637919670449,0.5
Mean,emotion_multiclass,0.471855109384414,0.3333333333333333,0.15728503646147135,0.3333333333333333,0.21358214226726102,0.5,0.2233271435809227,0.471855109384414,0.3029637919670449,0.5
SVM,aggregated,0.48158766830932453,0.3791610891355329,0.45681434923846603,0.3791610891355329,0.3404624474603226,0.599162026056406,0.47592224039621733,0.48158766830932453,0.41897981841910914,0.5966592317704513
SVM,emotion_multiclass,0.48158766830932453,0.3791610891355329,0.45681434923846603,0.3791610891355329,0.3404624474603226,0.599162026056406,0.47592224039621733,0.48158766830932453,0.41897981841910914,0.5966592317704513
LightGBM,aggregated,0.45627666250799026,0.3716567643644644,0.39157866002180974,0.3716567643644644,0.34637567233327715,0.5818788259542576,0.4308725466462106,0.45627666250799026,0.4162514889283157,0.5769644727128209
LightGBM,emotion_multiclass,0.45627666250799026,0.3716567643644644,0.39157866002180974,0.3716567643644644,0.34637567233327715,0.5818788259542576,0.4308725466462106,0.45627666250799026,0.4162514889283157,0.5769644727128209
MLP,aggregated,0.44524260597921533,0.3658343299238187,0.38104731053979524,0.3658343299238187,0.34709562625589413,0.581510074588048,0.42133686395241393,0.44524260597921533,0.4111501737004293,0.577428199629479
MLP,emotion_multiclass,0.44524260597921533,0.3658343299238187,0.38104731053979524,0.3658343299238187,0.34709562625589413,0.581510074588048,0.42133686395241393,0.44524260597921533,0.4111501737004293,0.577428199629479
GNN,aggregated,0.5383918599803773,0.44779795534059064,0.49212376746302855,0.44779795534059064,0.438686030469113,0.6760574860412178,0.5276646217983757,0.5383918599803773,0.5088294777434507,0.6811855231360833
GNN,emotion_multiclass,0.5383918599803773,0.44779795534059064,0.49212376746302855,0.44779795534059064,0.438686030469113,0.6760574860412178,0.5276646217983757,0.5383918599803773,0.5088294777434507,0.6811855231360833
