model,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr
Mean,aggregated,0.33931756479565545,0.3333333333333333,0.11310585493188516,0.3333333333333333,0.16865319778524032,0.5,0.1160119352839529,0.33931756479565545,0.1726755362355899,0.5
Mean,emotion_multiclass,0.33931756479565545,0.3333333333333333,0.11310585493188516,0.3333333333333333,0.16865319778524032,0.5,0.1160119352839529,0.33931756479565545,0.1726755362355899,0.5
SVM,aggregated,0.4609775906008453,0.4486081957153848,0.4838140527227292,0.4486081957153848,0.4259405421695134,0.6468466629330838,0.48875842643156375,0.4609775906008453,0.43688302035564835,0.6500074643416732
SVM,emotion_multiclass,0.4609775906008453,0.4486081957153848,0.4838140527227292,0.4486081957153848,0.4259405421695134,0.6468466629330838,0.48875842643156375,0.4609775906008453,0.43688302035564835,0.6500074643416732
LightGBM,aggregated,0.445528792775043,0.4349935129553496,0.45254839109951595,0.4349935129553496,0.41717232367215695,0.6260861021139142,0.4611911818083903,0.445528792775043,0.42765840171926744,0.6290240586109916
LightGBM,emotion_multiclass,0.445528792775043,0.4349935129553496,0.45254839109951595,0.4349935129553496,0.41717232367215695,0.6260861021139142,0.4611911818083903,0.445528792775043,0.42765840171926744,0.6290240586109916
MLP,aggregated,0.4338486639843774,0.42700990101018654,0.43851386335392106,0.42700990101018654,0.4125146290846076,0.6193836326931386,0.4479050942249624,0.4338486639843774,0.42079854026809677,0.6221197002845291
MLP,emotion_multiclass,0.4338486639843774,0.42700990101018654,0.43851386335392106,0.42700990101018654,0.4125146290846076,0.6193836326931386,0.4479050942249624,0.4338486639843774,0.42079854026809677,0.6221197002845291
GNN,aggregated,0.5382282183749829,0.532236708066194,0.5916727773371864,0.532236708066194,0.5205173069818326,0.7154809663089166,0.5898605879554439,0.5382282183749829,0.5246848295728703,0.7166424776091406
GNN,emotion_multiclass,0.5382282183749829,0.532236708066194,0.5916727773371864,0.532236708066194,0.5205173069818326,0.7154809663089166,0.5898605879554439,0.5382282183749829,0.5246848295728703,0.7166424776091406
