model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc
Mean,aggregated,0.6558781445342629,0.5,0.6119439049666661,0.5226102809517579,0.85,0.5
Mean,emotion_emotion-control,0.6558781445342629,0.5,0.6119439049666661,0.5226102809517579,0.85,0.5
SVM,aggregated,0.6272872998220701,0.5155650330610562,0.5781030156619027,0.5574618664819673,0.6820592360707358,0.5452295546323468
SVM,emotion_emotion-control,0.6272872998220701,0.5155650330610562,0.5781030156619027,0.5574618664819673,0.6820592360707358,0.5452295546323468
LightGBM,aggregated,0.621036463164178,0.5373963842608175,0.5672048866990691,0.5658934874350334,0.6409726233737588,0.5821029178865753
LightGBM,emotion_emotion-control,0.621036463164178,0.5373963842608175,0.5672048866990691,0.5658934874350334,0.6409726233737588,0.5821029178865753
MLP,aggregated,0.6022395622972332,0.5225763672315803,0.5429959778293971,0.5554247184740784,0.5982070651046312,0.5546413693864912
MLP,emotion_emotion-control,0.6022395622972332,0.5225763672315803,0.5429959778293971,0.5554247184740784,0.5982070651046312,0.5546413693864912
GNN,aggregated,0.6322761032306147,0.5340467211008478,0.5833861411305068,0.5856866340098171,0.6910217470085904,0.5686555001162861
GNN,emotion_emotion-control,0.6322761032306147,0.5340467211008478,0.5833861411305068,0.5856866340098171,0.6910217470085904,0.5686555001162861
