model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc
Mean,aggregated,0.5339724548928536,0.5,0.673495921040643,0.5339724548928536,1.0,0.5
Mean,emotion_emotion-predictability,0.5339724548928536,0.5,0.673495921040643,0.5339724548928536,1.0,0.5
SVM,aggregated,0.519275465251192,0.5262762937390051,0.6128271058672787,0.5486007025133784,0.8056483029077095,0.5462616400211926
SVM,emotion_emotion-predictability,0.519275465251192,0.5262762937390051,0.6128271058672787,0.5486007025133784,0.8056483029077095,0.5462616400211926
LightGBM,aggregated,0.4994365433693215,0.5130274579941478,0.5688185104432913,0.5415481410311385,0.6958996798940297,0.52342359905553
LightGBM,emotion_emotion-predictability,0.4994365433693215,0.5130274579941478,0.5688185104432913,0.5415481410311385,0.6958996798940297,0.52342359905553
MLP,aggregated,0.5191592822488792,0.5175087182500973,0.5739868379493425,0.5441015672264028,0.6750135104504784,0.5223084017065138
MLP,emotion_emotion-predictability,0.5191592822488792,0.5175087182500973,0.5739868379493425,0.5441015672264028,0.6750135104504784,0.5223084017065138
GNN,aggregated,0.5441807289780817,0.5351598008668821,0.6089534929515992,0.5546503270149008,0.7583182266551032,0.5340818085223976
GNN,emotion_emotion-predictability,0.5441807289780817,0.5351598008668821,0.6089534929515992,0.5546503270149008,0.7583182266551032,0.5340818085223976
