model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc
Mean,aggregated,0.5084600572751896,0.5,0.0,0.0,0.0,0.5
Mean,emotion_tag-agree,0.5084600572751896,0.5,0.0,0.0,0.0,0.5
SVM,aggregated,0.6566803202052592,0.742363509105044,0.36057926152989567,0.49410097372282247,0.3209613864690433,0.8148698253206864
SVM,emotion_tag-agree,0.6566803202052592,0.742363509105044,0.36057926152989567,0.49410097372282247,0.3209613864690433,0.8148698253206864
LightGBM,aggregated,0.624886988031634,0.7355930567640574,0.35504206465099847,0.49324126155838677,0.31280815849309296,0.8344194515160077
LightGBM,emotion_tag-agree,0.624886988031634,0.7355930567640574,0.35504206465099847,0.49324126155838677,0.31280815849309296,0.8344194515160077
MLP,aggregated,0.6326309278832453,0.7344963732843667,0.3627859850312544,0.4937980696738004,0.3213808175691656,0.8289092807875231
MLP,emotion_tag-agree,0.6326309278832453,0.7344963732843667,0.3627859850312544,0.4937980696738004,0.3213808175691656,0.8289092807875231
GNN,aggregated,0.6037225035712712,0.6945395781173656,0.35329095626495677,0.49422848871985364,0.31903782587068374,0.8340944659818145
GNN,emotion_tag-agree,0.6037225035712712,0.6945395781173656,0.35329095626495677,0.49422848871985364,0.31903782587068374,0.8340944659818145
