model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc
Mean,aggregated,0.18226151508066404,0.5,0.18367267890227074,0.17648770555685453,0.2857142857142857,0.5
Mean,emotion_tag-agree,0.18226151508066404,0.5,0.18367267890227074,0.17648770555685453,0.2857142857142857,0.5
SVM,aggregated,0.4829814283869576,0.6427924430641823,0.32224141483843977,0.5039960832817976,0.334044661342798,0.6033616934092477
SVM,emotion_tag-agree,0.4829814283869576,0.6427924430641823,0.32224141483843977,0.5039960832817976,0.334044661342798,0.6033616934092477
LightGBM,aggregated,0.4766915827394008,0.5959654287439613,0.32153372119546775,0.4982824312520707,0.32566146955676684,0.6225300854037267
LightGBM,emotion_tag-agree,0.4766915827394008,0.5959654287439613,0.32153372119546775,0.4982824312520707,0.32566146955676684,0.6225300854037267
MLP,aggregated,0.46407776581913257,0.5367980072463768,0.30980333474491567,0.49703021676898185,0.28462644012056165,0.6180016390614217
MLP,emotion_tag-agree,0.46407776581913257,0.5367980072463768,0.30980333474491567,0.49703021676898185,0.28462644012056165,0.6180016390614217
GNN,aggregated,0.5847864263778926,0.5150658859558316,0.3584487559651416,0.4985603115705156,0.3548718239883945,0.5414035541752933
GNN,emotion_tag-agree,0.5847864263778926,0.5150658859558316,0.3584487559651416,0.4985603115705156,0.3548718239883945,0.5414035541752933
