model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc,suite_experiment_id,experiment_id,scope,task_type,experiment_group,strategy,trainer_run_dir,label_entropy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,f1_comparable,auc_comparable
Mean,aggregated,0.4041845571689498,0.5,0.4616099383667535,0.3963427020447114,0.75,0.5,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_emotion_valence_emotion-elicitation_2026-03-05_13-26-12,0.995975254951815,,,,,,,,,0.4616099383667535,0.5
SVM,aggregated,0.5885947274566227,0.5234712176270844,0.5225168337657398,0.5465999077882563,0.5853094950593418,0.5416264685189918,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_emotion_valence_emotion-elicitation_2026-03-05_13-26-12,0.995975254951815,,,,,,,,,0.5225168337657398,0.5416264685189918
LightGBM,aggregated,0.5900409817387244,0.5081767803642083,0.524885979563109,0.5443594593229225,0.5969089849663083,0.5392989738547329,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_emotion_valence_emotion-elicitation_2026-03-05_13-26-12,0.995975254951815,,,,,,,,,0.524885979563109,0.5392989738547329
MLP,aggregated,0.5887209578962396,0.5104296055392423,0.516006180576988,0.5445913886835593,0.5661167427702407,0.5217224634144699,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_emotion_valence_emotion-elicitation_2026-03-05_13-26-12,0.995975254951815,,,,,,,,,0.516006180576988,0.5217224634144699
GNN,aggregated,0.5807707672197749,0.5169473070619606,0.5265563310416461,0.5448562055998486,0.6038468508983985,0.5222857744269338,binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_emotion_valence_emotion-elicitation_2026-03-05_13-26-12,0.995975254951815,,,,,,,,,0.5265563310416461,0.5222857744269338
Mean,aggregated,0.403187639916879,0.5,0.2934078994149631,0.2282811187487501,0.5,0.5,binary_emotion_arousal_emotion-elicitation,binary_emotion_arousal,emotion-elicitation,binary,emotion,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_emotion_arousal_emotion-elicitation_2026-03-05_13-44-27,0.9999794559056452,,,,,,,,,0.2934078994149631,0.5
SVM,aggregated,0.5785480507010627,0.5557672763102033,0.5245323943958562,0.5441195403729164,0.5646303965738506,0.5781627082548957,binary_emotion_arousal_emotion-elicitation,binary_emotion_arousal,emotion-elicitation,binary,emotion,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_emotion_arousal_emotion-elicitation_2026-03-05_13-44-27,0.9999794559056452,,,,,,,,,0.5245323943958562,0.5781627082548957
LightGBM,aggregated,0.5862128224831461,0.5618733488892692,0.5178158591239324,0.5514193063391921,0.5358780442360184,0.5860199358676137,binary_emotion_arousal_emotion-elicitation,binary_emotion_arousal,emotion-elicitation,binary,emotion,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_emotion_arousal_emotion-elicitation_2026-03-05_13-44-27,0.9999794559056452,,,,,,,,,0.5178158591239324,0.5860199358676137
MLP,aggregated,0.597472330804732,0.5852075845118199,0.5304126828974722,0.5704018706215338,0.5527485483788929,0.6165806687647324,binary_emotion_arousal_emotion-elicitation,binary_emotion_arousal,emotion-elicitation,binary,emotion,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_emotion_arousal_emotion-elicitation_2026-03-05_13-44-27,0.9999794559056452,,,,,,,,,0.5304126828974722,0.6165806687647324
GNN,aggregated,0.5881697322909345,0.5856248680133813,0.5196753726077776,0.5718477935670182,0.5417114767268039,0.6229830646770664,binary_emotion_arousal_emotion-elicitation,binary_emotion_arousal,emotion-elicitation,binary,emotion,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_emotion_arousal_emotion-elicitation_2026-03-05_13-44-27,0.9999794559056452,,,,,,,,,0.5196753726077776,0.6229830646770664
