model,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr
Mean,aggregated,0.06288535622145863,0.11166666666666666,0.0069872618023842925,0.05,0.011761877139841673,0.5,0.012390625830515535,0.06288535622145863,0.01991381818434219,0.5
Mean,emotion_multiclass,0.06288535622145863,0.11166666666666666,0.0069872618023842925,0.05,0.011761877139841673,0.5,0.012390625830515535,0.06288535622145863,0.01991381818434219,0.5
SVM,aggregated,0.16520146415507636,0.14928001557420628,0.08448246815279362,0.058877196509504015,0.044395388831940774,0.5124455155471586,0.3934788632891507,0.16520146415507636,0.18285672506738332,0.511588951000211
SVM,emotion_multiclass,0.16520146415507636,0.14928001557420628,0.08448246815279362,0.058877196509504015,0.044395388831940774,0.5124455155471586,0.3934788632891507,0.16520146415507636,0.18285672506738332,0.511588951000211
LightGBM,aggregated,0.17198491587812745,0.14828131439387288,0.11880706248882751,0.05846922618185603,0.05294522731476432,0.5202542205844587,0.5443617827286801,0.17198491587812745,0.21101821141573796,0.5126674504056885
LightGBM,emotion_multiclass,0.17198491587812745,0.14828131439387288,0.11880706248882751,0.05846922618185603,0.05294522731476432,0.5202542205844587,0.5443617827286801,0.17198491587812745,0.21101821141573796,0.5126674504056885
MLP,aggregated,0.18459916187350592,0.15256486612581588,0.10427723946544454,0.05950687012989765,0.05380308706259555,0.5257463290399579,0.48910657545140024,0.18459916187350592,0.21991015971095978,0.508888340898427
MLP,emotion_multiclass,0.18459916187350592,0.15256486612581588,0.10427723946544454,0.05950687012989765,0.05380308706259555,0.5257463290399579,0.48910657545140024,0.18459916187350592,0.21991015971095978,0.508888340898427
GNN,aggregated,0.20704467415583147,0.17035311142377077,0.10107478945582833,0.06639924593093596,0.05828418625507807,0.5171104964843768,0.4841059283755227,0.20704467415583147,0.23940207496406768,0.5051048545460674
GNN,emotion_multiclass,0.20704467415583147,0.17035311142377077,0.10107478945582833,0.06639924593093596,0.05828418625507807,0.5171104964843768,0.4841059283755227,0.20704467415583147,0.23940207496406768,0.5051048545460674
