model,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr
Mean,aggregated,0.1868360414317019,0.20833333333333331,0.046709010357925476,0.1625,0.061150394471450285,0.5,0.10863545275359773,0.1868360414317019,0.1290705049776026,0.5
Mean,emotion_multiclass,0.1868360414317019,0.20833333333333331,0.046709010357925476,0.1625,0.061150394471450285,0.5,0.10863545275359773,0.1868360414317019,0.1290705049776026,0.5
SVM,aggregated,0.38246363947213513,0.30311891596504836,0.28336426211319554,0.23248971522076062,0.19975525215065443,0.5673703684256299,0.5584841320141101,0.38246363947213513,0.3913715690234897,0.5569766591215822
SVM,emotion_multiclass,0.38246363947213513,0.30311891596504836,0.28336426211319554,0.23248971522076062,0.19975525215065443,0.5673703684256299,0.5584841320141101,0.38246363947213513,0.3913715690234897,0.5569766591215822
LightGBM,aggregated,0.3858816890228486,0.31803274509770213,0.3116486854805913,0.24301748858945538,0.22304907832579352,0.5731552444275377,0.592419852542333,0.3858816890228486,0.40985386799193824,0.5696474861660988
LightGBM,emotion_multiclass,0.3858816890228486,0.31803274509770213,0.3116486854805913,0.24301748858945538,0.22304907832579352,0.5731552444275377,0.592419852542333,0.3858816890228486,0.40985386799193824,0.5696474861660988
MLP,aggregated,0.3833260784616498,0.32149355147167347,0.2997937349958587,0.24628623743273687,0.23270091559884315,0.5813555219783316,0.575277481774642,0.3833260784616498,0.4179937404633611,0.5824186644970512
MLP,emotion_multiclass,0.3833260784616498,0.32149355147167347,0.2997937349958587,0.24628623743273687,0.23270091559884315,0.5813555219783316,0.575277481774642,0.3833260784616498,0.4179937404633611,0.5824186644970512
GNN,aggregated,0.39594997617239863,0.3229196957616457,0.3333516959444376,0.24566147867954555,0.23206914937095086,0.5870744394919115,0.61065046881622,0.39594997617239863,0.4222128371629372,0.5878115959457133
GNN,emotion_multiclass,0.39594997617239863,0.3229196957616457,0.3333516959444376,0.24566147867954555,0.23206914937095086,0.5870744394919115,0.61065046881622,0.39594997617239863,0.4222128371629372,0.5878115959457133
