model,metric_type,mae,ccc,spearman
Mean,aggregated,1.9347495763139713,0.0,0.0
Mean,emotion_emotion-arousal,1.9347495763139713,0.0,0.0
SVM,aggregated,1.8386078490103817,0.09601645757237834,0.16128703942930206
SVM,emotion_emotion-arousal,1.8386078490103817,0.09601645757237834,0.16128703942930206
LightGBM,aggregated,1.8091592264323566,0.10236602779216893,0.19625258343254154
LightGBM,emotion_emotion-arousal,1.8091592264323566,0.10236602779216893,0.19625258343254154
MLP,aggregated,1.821425308817465,0.13918527152369337,0.23823755241090067
MLP,emotion_emotion-arousal,1.821425308817465,0.13918527152369337,0.23823755241090067
GNN,aggregated,1.7903219997882842,0.12909309044480324,0.20075943022823473
GNN,emotion_emotion-arousal,1.7903219997882842,0.12909309044480324,0.20075943022823473
