model,metric_type,mae,ccc,spearman
Mean,aggregated,2.0110636965528395,0.0,0.0
Mean,emotion_emotion-valence,2.0110636965528395,0.0,0.0
SVM,aggregated,1.8934801299342574,0.04715040438196143,0.07635776946915529
SVM,emotion_emotion-valence,1.8934801299342574,0.04715040438196143,0.07635776946915529
LightGBM,aggregated,1.8978038251708846,0.038215174708735866,0.07574977160908569
LightGBM,emotion_emotion-valence,1.8978038251708846,0.038215174708735866,0.07574977160908569
MLP,aggregated,1.916304246592602,0.046409580307259383,0.07392739728544034
MLP,emotion_emotion-valence,1.916304246592602,0.046409580307259383,0.07392739728544034
GNN,aggregated,1.8856869459152221,0.04488357537193224,0.07334944089444251
GNN,emotion_emotion-valence,1.8856869459152221,0.04488357537193224,0.07334944089444251
