model,metric_type,mae,ccc,spearman,suite_experiment_id,experiment_id,scope,task_type,experiment_group,strategy,trainer_run_dir,label_entropy
Mean,aggregated,2.0110636965528395,0.0,0.0,regression_emotion_valence_emotion-elicitation,regression_emotion_valence,emotion-elicitation,regression,regression,recording_loo,results/suite_FULL/2026-03-05_13-25-29/regression_emotion_valence_emotion-elicitation_2026-03-05_17-54-05,
SVM,aggregated,1.8934801299342572,0.0471504043819614,0.0763577694691552,regression_emotion_valence_emotion-elicitation,regression_emotion_valence,emotion-elicitation,regression,regression,recording_loo,results/suite_FULL/2026-03-05_13-25-29/regression_emotion_valence_emotion-elicitation_2026-03-05_17-54-05,
LightGBM,aggregated,1.8978038251708849,0.0382151747087358,0.0757497716090856,regression_emotion_valence_emotion-elicitation,regression_emotion_valence,emotion-elicitation,regression,regression,recording_loo,results/suite_FULL/2026-03-05_13-25-29/regression_emotion_valence_emotion-elicitation_2026-03-05_17-54-05,
MLP,aggregated,1.916304246592602,0.0464095803072593,0.0739273972854403,regression_emotion_valence_emotion-elicitation,regression_emotion_valence,emotion-elicitation,regression,regression,recording_loo,results/suite_FULL/2026-03-05_13-25-29/regression_emotion_valence_emotion-elicitation_2026-03-05_17-54-05,
GNN,aggregated,1.885686945915222,0.0448835753719322,0.0733494408944425,regression_emotion_valence_emotion-elicitation,regression_emotion_valence,emotion-elicitation,regression,regression,recording_loo,results/suite_FULL/2026-03-05_13-25-29/regression_emotion_valence_emotion-elicitation_2026-03-05_17-54-05,
Mean,aggregated,1.9347495763139717,0.0,0.0,regression_emotion_arousal_emotion-elicitation,regression_emotion_arousal,emotion-elicitation,regression,regression,recording_loo,results/suite_FULL/2026-03-05_13-25-29/regression_emotion_arousal_emotion-elicitation_2026-03-05_18-09-59,
SVM,aggregated,1.8386078490103817,0.0960164575723783,0.161287039429302,regression_emotion_arousal_emotion-elicitation,regression_emotion_arousal,emotion-elicitation,regression,regression,recording_loo,results/suite_FULL/2026-03-05_13-25-29/regression_emotion_arousal_emotion-elicitation_2026-03-05_18-09-59,
LightGBM,aggregated,1.8091592264323568,0.1023660277921689,0.1962525834325415,regression_emotion_arousal_emotion-elicitation,regression_emotion_arousal,emotion-elicitation,regression,regression,recording_loo,results/suite_FULL/2026-03-05_13-25-29/regression_emotion_arousal_emotion-elicitation_2026-03-05_18-09-59,
MLP,aggregated,1.821425308817465,0.1391852715236933,0.2382375524109006,regression_emotion_arousal_emotion-elicitation,regression_emotion_arousal,emotion-elicitation,regression,regression,recording_loo,results/suite_FULL/2026-03-05_13-25-29/regression_emotion_arousal_emotion-elicitation_2026-03-05_18-09-59,
GNN,aggregated,1.7903219997882842,0.1290930904448032,0.2007594302282347,regression_emotion_arousal_emotion-elicitation,regression_emotion_arousal,emotion-elicitation,regression,regression,recording_loo,results/suite_FULL/2026-03-05_13-25-29/regression_emotion_arousal_emotion-elicitation_2026-03-05_18-09-59,
