suite_experiment_id,experiment_id,scope,task_type,experiment_group,task_suite_root,status,error,trainer_run_dir,snapshot_csv,snapshot_manifest,eda_summary_path,resolved_config_path,label_entropy
binary_emotion_valence_emotion-elicitation,binary_emotion_valence,emotion-elicitation,binary,emotion,results/suite_FULL/2026-03-05_13-25-29,success,,results/suite_FULL/2026-03-05_13-25-29/binary_emotion_valence_emotion-elicitation_2026-03-05_13-26-12,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_emotion_valence_emotion-elicitation/snapshot.csv,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_emotion_valence_emotion-elicitation/snapshot_manifest.yaml,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_emotion_valence_emotion-elicitation/eda_summary.txt,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_emotion_valence_emotion-elicitation/resolved_trainer_config.yaml,0.995975254951815
binary_emotion_arousal_emotion-elicitation,binary_emotion_arousal,emotion-elicitation,binary,emotion,results/suite_FULL/2026-03-05_13-25-29,success,,results/suite_FULL/2026-03-05_13-25-29/binary_emotion_arousal_emotion-elicitation_2026-03-05_13-44-27,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_emotion_arousal_emotion-elicitation/snapshot.csv,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_emotion_arousal_emotion-elicitation/snapshot_manifest.yaml,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_emotion_arousal_emotion-elicitation/eda_summary.txt,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_emotion_arousal_emotion-elicitation/resolved_trainer_config.yaml,0.9999794559056451
binary_emotion_control_emotion-elicitation,binary_emotion_control,emotion-elicitation,binary,emotion,results/suite_FULL/2026-03-05_13-25-29,success,,results/suite_FULL/2026-03-05_13-25-29/binary_emotion_control_emotion-elicitation_2026-03-05_14-03-22,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_emotion_control_emotion-elicitation/snapshot.csv,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_emotion_control_emotion-elicitation/snapshot_manifest.yaml,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_emotion_control_emotion-elicitation/eda_summary.txt,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_emotion_control_emotion-elicitation/resolved_trainer_config.yaml,0.9895592491795363
binary_emotion_predictability_emotion-elicitation,binary_emotion_predictability,emotion-elicitation,binary,emotion,results/suite_FULL/2026-03-05_13-25-29,success,,results/suite_FULL/2026-03-05_13-25-29/binary_emotion_predictability_emotion-elicitation_2026-03-05_14-22-32,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_emotion_predictability_emotion-elicitation/snapshot.csv,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_emotion_predictability_emotion-elicitation/snapshot_manifest.yaml,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_emotion_predictability_emotion-elicitation/eda_summary.txt,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_emotion_predictability_emotion-elicitation/resolved_trainer_config.yaml,0.9930463678833457
binary_tag_agree_image-tagging-1,binary_tag_agree,image-tagging-1,binary,tagging,results/suite_FULL/2026-03-05_13-25-29,success,,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_image-tagging-1_2026-03-05_14-43-00,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_agree_image-tagging-1/snapshot.csv,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_agree_image-tagging-1/snapshot_manifest.yaml,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_agree_image-tagging-1/eda_summary.txt,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_agree_image-tagging-1/resolved_trainer_config.yaml,0.9970426559269275
binary_tag_agree_image-tagging-2,binary_tag_agree,image-tagging-2,binary,tagging,results/suite_FULL/2026-03-05_13-25-29,success,,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_image-tagging-2_2026-03-05_14-52-45,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_agree_image-tagging-2/snapshot.csv,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_agree_image-tagging-2/snapshot_manifest.yaml,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_agree_image-tagging-2/eda_summary.txt,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_agree_image-tagging-2/resolved_trainer_config.yaml,0.9987522351733555
binary_tag_agree_video-tagging,binary_tag_agree,video-tagging,binary,tagging,results/suite_FULL/2026-03-05_13-25-29,success,,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_video-tagging_2026-03-05_15-04-28,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_agree_video-tagging/snapshot.csv,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_agree_video-tagging/snapshot_manifest.yaml,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_agree_video-tagging/eda_summary.txt,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_agree_video-tagging/resolved_trainer_config.yaml,0.9999816088200213
binary_tag_agree_pooled-tagging,binary_tag_agree,pooled-tagging,binary,tagging,results/suite_FULL/2026-03-05_13-25-29,success,,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_pooled-tagging_2026-03-05_15-14-07,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_agree_pooled-tagging/snapshot.csv,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_agree_pooled-tagging/snapshot_manifest.yaml,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_agree_pooled-tagging/eda_summary.txt,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_agree_pooled-tagging/resolved_trainer_config.yaml,0.9993134180503211
binary_tag_valid_image-tagging-1,binary_tag_valid,image-tagging-1,binary,tagging,results/suite_FULL/2026-03-05_13-25-29,success,,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_image-tagging-1_2026-03-05_16-05-48,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_valid_image-tagging-1/snapshot.csv,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_valid_image-tagging-1/snapshot_manifest.yaml,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_valid_image-tagging-1/eda_summary.txt,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_valid_image-tagging-1/resolved_trainer_config.yaml,0.998830066905287
binary_tag_valid_image-tagging-2,binary_tag_valid,image-tagging-2,binary,tagging,results/suite_FULL/2026-03-05_13-25-29,success,,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_image-tagging-2_2026-03-05_16-12-36,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_valid_image-tagging-2/snapshot.csv,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_valid_image-tagging-2/snapshot_manifest.yaml,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_valid_image-tagging-2/eda_summary.txt,results/suite_FULL/2026-03-05_13-25-29/experiments/binary_tag_valid_image-tagging-2/resolved_trainer_config.yaml,0.9998077571268716
