subject,recording,section,file-name,x-avg,y-avg,emotion-id
P21,69.avi,4,P21-Rec1-All-Data-New_Section_4.csv,1173.571428571429,-96.32142857142856,2
P22,138.avi,6,P22-Rec1-All-Data-New_Section_6.csv,1240.0,402.0,0
P7,146.avi,28,P7-Rec1-All-Data-New_Section_28.csv,-542.0,261.0,5
P29,79.avi,10,P29-Rec1-All-Data-New_Section_10.csv,-397.0,1085.0,4
P7,30.avi,20,P7-Rec1-All-Data-New_Section_20.csv,-335.6666666666667,705.0,3
P16,newyork_f.avi,10,P16-Rec1-All-Data-New_Section_10.csv,1253.0,521.0,0
P27,cats_f.avi,18,P27-Rec1-All-Data-New_Section_18.csv,479.25,-68.5,11
P2,138.avi,8,P2-Rec1-All-Data-New_Section_8.csv,-413.7721518987342,1625.012658227848,5
P30,138.avi,38,P30-Rec1-All-Data-New_Section_38.csv,1305.8666666666666,141.33333333333334,5
P17,funny_f.avi,34,P17-Rec1-All-Data-New_Section_34.csv,660.0,-101.0,6
P17,111.avi,6,P17-Rec1-All-Data-New_Section_6.csv,-780.4615384615385,570.7307692307693,2
P5,58.avi,34,P5-Rec1-All-Data-New_Section_34.csv,570.8,-42.6,4
P13,146.avi,8,P13-Rec1-All-Data-New_Section_8.csv,1260.0,268.0,0
P1,52.avi,14,P1-Rec1-All-Data-New_Section_14.csv,186.0,1892.0,11
P30,30.avi,10,P30-Rec1-All-Data-New_Section_10.csv,1397.0,307.0,2
P16,dallas_f.avi,8,P16-Rec1-All-Data-New_Section_8.csv,-390.1,1943.15,0
P27,funny_f.avi,8,P27-Rec1-All-Data-New_Section_8.csv,607.1428571428571,-30.64285714285714,11
P14,138.avi,32,P14-Rec1-All-Data-New_Section_32.csv,-330.0,764.0,0
P5,58.avi,34,P5-Rec1-All-Data-New_Section_34.csv,927.0,1907.0,4
P5,53.avi,26,P5-Rec1-All-Data-New_Section_26.csv,163.0,-179.5,11
P29,79.avi,10,P29-Rec1-All-Data-New_Section_10.csv,1764.0,1022.0,4
P2,79.avi,6,P2-Rec1-All-Data-New_Section_6.csv,1431.0,602.2307692307693,0
P14,146.avi,14,P14-Rec1-All-Data-New_Section_14.csv,585.0,-348.0,5
P29,dallas_f.avi,36,P29-Rec1-All-Data-New_Section_36.csv,694.0,-69.0,0
P21,90.avi,10,P21-Rec1-All-Data-New_Section_10.csv,-402.72093023255815,1586.1162790697674,11
P27,146.avi,12,P27-Rec1-All-Data-New_Section_12.csv,35.0,-43.5,5
P2,90.avi,2,P2-Rec1-All-Data-New_Section_2.csv,1565.0,605.0,11
P7,30.avi,20,P7-Rec1-All-Data-New_Section_20.csv,-365.0,813.0,3
P13,detroit_f.avi,12,P13-Rec1-All-Data-New_Section_12.csv,-347.0232558139535,1578.2325581395348,0
P28,dallas_f.avi,40,P28-Rec1-All-Data-New_Section_40.csv,1245.0,-77.0,0
P20,funny_f.avi,36,P20-Rec1-All-Data-New_Section_36.csv,1468.0,697.0,0
P14,cats_f.avi,40,P14-Rec1-All-Data-New_Section_40.csv,93.5767634854772,-19.564315352697097,4
P27,69.avi,22,P27-Rec1-All-Data-New_Section_22.csv,-358.5,90.25,2
P17,58.avi,18,P17-Rec1-All-Data-New_Section_18.csv,271.0,1882.0,0
