subject,mean,median,std,count
P28,0.5897878247408529,0.5874700000000006,0.1335839343667321,115697
P24,0.42147698837158787,0.4038055000000007,0.12136897697234307,118538
P19,0.41102523075035546,0.4084635000000003,0.08081874954112638,127948
P1,0.3580694486280044,0.3326236666666671,0.12373588692939089,135679
P18,0.3457186348206033,0.3361386666666668,0.10368827009287464,129423
P8,0.33528349765677684,0.326512785714286,0.08228096714420756,116950
P5,0.31729383329378197,0.2954016666666668,0.11132208600039038,158650
P17,0.2972574597874669,0.2989796666666651,0.08176882982211663,137429
P13,0.2834910582173516,0.2803680000000002,0.08808342331182367,131435
P20,0.22000192388326717,0.20965666666666616,0.09671726864425395,124818
P9,0.16096323072332547,0.14734333333333316,0.08261090731906849,80992
P12,0.15038230978230108,0.1478489999999999,0.08399929946293068,123455
P7,0.13242604358265087,0.06511885606060552,0.23460685010967813,127530
P30,0.1300859167011508,0.12483666666666737,0.06481236683541822,124818
P29,0.12803568590339778,0.12456699999999943,0.07478412767235135,119705
P23,0.11761249965947096,0.10566966666666677,0.07182567362322057,136826
P14,0.09770721342336232,0.08116524999999974,0.07795143435119922,118268
P16,0.0943694004240011,0.09143549999999867,0.051114256754079906,110674
P10,0.09279859889979673,0.08709983333333349,0.05886431859039873,129776
P2,0.07773198908476761,0.06477716666666677,0.07585320227879604,133476
P21,0.06749708396165653,0.05029816666666598,0.07695454313713698,129602
P27,0.058757622772111474,0.04786416666666704,0.06042704573755098,129658
P22,0.05745059819440206,0.04816866666666675,0.05260024472630129,117470
P4,0.05644909739568892,0.0421115000000003,0.09088615677769821,139776
